id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
1,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.82,0.47,0.99,143.5,113539
2,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.82,0.18,1.0,19.79,126329
3,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4252.27,35,0,6,0,41,300.0,0.8,0.24,0.99,11.54,146546
4,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.82,0.51,1.0,47.42,152159
5,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.82,0.26,1.0,148.66,154052
6,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4252.27,35,0,6,0,41,300.0,0.79,0.26,0.98,15.79,157047
7,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.82,0.21,1.0,127.52,159788
8,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.81,0.37,0.99,7.56,160250
9,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.84,0.24,0.99,13.56,160286
10,alns_300s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,300.0,0.81,0.3,0.99,23.87,163381
1,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,3600.0,0.82,0.47,0.99,120.52,715228
2,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,3600.01,0.82,0.18,1.0,18.48,824039
3,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4001.51,35,0,4,0,39,3600.0,0.86,0.53,0.99,843.9,874423
4,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4001.51,35,0,4,0,39,3600.01,0.86,0.48,0.99,2235.32,880615
5,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,3600.0,0.82,0.26,1.0,135.85,901062
6,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4001.51,35,0,4,0,39,3600.0,0.87,0.22,1.0,3286.12,899347
7,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,3600.01,0.82,0.21,1.0,119.58,896393
8,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,3600.0,0.81,0.37,0.99,7.26,901770
9,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,3600.0,0.84,0.24,0.99,12.95,901671
10,alns_3600s,set3_t1_corr/I250_C3_1,250,3,1,4126.89,35,0,5,0,40,3600.01,0.81,0.3,0.99,22.82,897985
1,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3851.85,35,3,0,0,38,300.0,0.87,0.41,1.0,81.93,92526
2,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3851.85,35,3,0,0,38,300.0,0.87,0.3,0.99,284.3,131992
3,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3851.85,35,3,0,0,38,300.0,0.87,0.46,1.0,36.88,124703
4,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3803.7,31,6,0,0,37,300.0,0.84,0.4,1.0,187.37,136655
5,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3769.13,33,4,0,0,37,300.0,0.87,0.55,1.0,260.5,140223
6,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3886.41,33,5,0,0,38,300.0,0.84,0.52,0.99,48.04,142864
7,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3751.85,34,3,0,0,37,300.0,0.89,0.52,1.0,263.63,139386
8,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3803.7,31,6,0,0,37,300.0,0.85,0.53,0.99,135.6,145971
9,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3786.41,32,5,0,0,37,300.0,0.86,0.59,1.0,110.01,145909
10,alns_300s,set3_t1_corr/I250_C3_10,250,3,1,3851.85,35,3,0,0,38,300.0,0.87,0.4,1.0,14.52,150369
1,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3751.85,34,3,0,0,37,3600.0,0.89,0.52,1.0,1643.6,687116
2,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3751.85,34,3,0,0,37,3600.0,0.89,0.58,1.0,2495.3,783610
3,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3851.85,35,3,0,0,38,3600.0,0.87,0.46,1.0,26.64,811708
4,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3734.57,35,2,0,0,37,3600.01,0.92,0.46,1.0,2297.96,854241
5,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3734.57,35,2,0,0,37,3600.0,0.92,0.5,1.0,1909.34,851381
6,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3751.85,34,3,0,0,37,3600.0,0.89,0.62,1.0,2887.88,854545
7,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3734.57,35,2,0,0,37,3600.0,0.91,0.72,1.0,1715.67,846855
8,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3751.85,34,3,0,0,37,3600.0,0.9,0.67,1.0,1359.83,848722
9,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3769.13,33,4,0,0,37,3600.01,0.87,0.57,0.99,275.08,850289
10,alns_3600s,set3_t1_corr/I250_C3_10,250,3,1,3769.13,33,4,0,0,37,3600.0,0.88,0.5,1.0,1988.31,857523
1,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.78,0.44,0.99,133.23,102261
2,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.78,0.51,1.0,129.75,122545
3,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.77,0.29,0.99,137.09,128754
4,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.79,0.37,0.99,43.39,133654
5,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.77,0.2,0.99,248.3,139057
6,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.77,0.25,0.99,118.17,142632
7,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.77,0.2,1.0,32.33,147165
8,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.77,0.28,0.99,64.36,156967
9,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4231.71,35,6,0,0,41,300.0,0.8,0.42,0.99,151.77,149236
10,alns_300s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,300.0,0.78,0.36,0.99,13.12,148157
1,alns_3600s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,3600.0,0.78,0.44,0.99,134.69,655382
2,alns_3600s,set3_t1_corr/I250_C3_2,250,3,1,4231.71,35,6,0,0,41,3600.0,0.8,0.35,1.0,3275.41,741375
3,alns_3600s,set3_t1_corr/I250_C3_2,250,3,1,4353.67,35,7,0,0,42,3600.01,0.77,0.29,0.99,116.04,785811
