volume,class_1,class_2,class_3,class_4,class_5
1.76,2,3,16,1,41
1.36,9,12,21,10,16
3.28,4,15,7,13,10
3.63,4,5,12,6,42
2.4,11,12,30,7,14
4.53,0,5,26,3,11
4.87,15,15,23,7,18
2.02,9,8,31,8,8
2.59,15,13,1,1,41
4.62,9,0,13,4,4
3.86,13,0,2,3,44
3.25,14,7,0,3,45
1.14,15,12,0,8,3
4.32,16,8,19,5,4
1.94,12,5,12,12,6
4.43,5,1,6,13,10
3.15,4,3,14,1,35
3.13,11,2,22,5,25
4.88,14,7,25,9,37
1.69,10,14,18,9,27
4.05,2,5,29,7,13
1.51,16,15,28,11,10
3.33,14,5,9,9,0
2.75,13,13,9,11,22
1.38,6,3,24,2,5
1.15,1,13,20,6,29
1.96,4,1,18,10,18
4.31,5,1,4,5,29
1.08,9,16,11,9,44
4.85,12,4,4,5,37
3.7,8,12,25,10,42
3.34,8,3,24,8,46
4.97,10,14,27,3,46
3.46,3,6,23,5,30
1.34,3,3,11,4,8
2.29,15,1,31,2,39
4.54,2,17,12,7,11
2.31,2,14,13,1,5
1.83,4,9,1,6,46
1.89,10,6,15,11,3
1.86,8,1,17,3,31
1.32,15,7,0,6,24
3.62,3,9,1,6,19
3.83,1,10,4,11,9
3.21,10,15,1,3,19
2.76,5,6,14,0,20
3.69,6,17,15,7,8
3.54,11,14,30,3,8
3.34,15,4,24,5,3
3.38,8,15,12,10,17
2.28,6,7,3,1,0
3.13,5,0,10,0,37
4.77,2,11,15,13,8
4.54,15,13,9,4,41
1.85,14,2,25,2,37
2.29,15,7,8,4,16
3.64,1,10,27,5,30
4.1,1,6,5,8,33
2.23,13,15,22,10,25
2.91,14,7,26,10,35
1.76,8,13,16,8,5
1.66,7,9,4,11,4
1.3,3,9,3,0,26
3.62,7,14,30,11,15
3.51,3,3,16,6,25
1.37,5,1,20,1,6
3.98,1,4,16,2,36
2.25,10,0,25,2,26
1.55,9,0,5,8,6
3.49,1,2,21,0,30
4.74,16,11,10,10,7
3.75,2,1,24,11,23
3.87,9,8,28,8,21
1.56,11,17,22,8,35
4.16,13,17,25,12,16
3.68,14,7,29,11,24
3.96,11,6,18,8,12
3.08,9,13,7,8,36
4.12,5,4,8,4,10
4.96,2,9,2,9,3
4.21,0,0,24,13,35
2.04,4,7,22,13,23
1.72,6,16,24,1,23
3.97,11,2,8,7,16
3.56,11,8,2,3,46
1.68,11,11,29,6,24
2.24,15,9,10,13,7
4.64,16,3,29,1,16
4.97,14,9,5,11,15
4.35,12,0,18,1,19
4.98,12,5,21,8,19
3.13,1,10,9,2,19
1.6,11,11,31,9,15
2.71,16,13,17,12,24
1.48,1,11,16,0,16
3.19,8,11,10,12,1
2.77,15,14,4,8,19
3.47,10,0,5,6,18
2.93,0,15,5,12,33
1.3,8,10,26,7,36
1.34,16,6,17,1,14
2.13,0,2,21,5,26
4.62,9,17,4,13,0
1.12,6,16,26,2,27
3.09,5,3,18,10,33
3.04,7,12,24,2,19
2.98,3,16,31,9,17
1.4,0,17,7,11,42
1.55,6,11,29,5,42
1.81,4,10,16,3,24
4.5,2,15,15,3,31
1.9,7,8,3,6,15
2.29,16,1,9,12,3
2.79,1,12,10,7,43
2.78,5,12,4,4,25
4.9,11,13,23,5,17
3.16,1,4,25,1,36
3.68,1,14,25,6,40
4.85,7,17,31,3,38
1.74,0,14,20,1,38
1.95,14,5,26,8,41
2.61,11,9,7,2,45
3.1,14,7,15,5,22
2.55,1,11,3,13,41
2.47,7,8,17,6,42
2.58,4,9,25,5,12
1.43,11,14,20,0,18
2.27,8,1,30,6,8
2.31,1,16,30,8,44
4.23,16,13,9,12,32
3.5,12,16,8,12,3
4.89,0,14,21,2,34
4.59,0,7,30,5,37
2.18,12,17,6,4,44
4.55,10,6,20,9,6
1.61,2,17,18,1,42
1.84,9,2,28,8,25
4.67,6,4,8,4,46
2.1,14,17,15,8,34
2.44,7,7,12,11,44
3.44,16,12,10,10,36
2.48,10,11,11,7,28
1.26,7,11,30,3,17
1.69,16,11,13,7,38
