volume,class_1,class_2
17.3252,5,9
32.5157,3,6
2.6988,8,6
19.3138,2,7
32.2401,4,9
14.4682,5,3
18.5353,4,9
8.8977,3,10
0.6292,0,9
19.8674,6,5
38.6654,6,3
4.2847,4,3
4.0045,1,10
5.8688,2,9
11.3896,7,9
0.5828,2,9
16.9638,4,7
14.0776,8,2
7.2151,2,2
10.9435,7,5
16.6206,4,6
17.4679,3,1
8.39,3,10
2.0695,4,1
8.0378,1,3
23.1691,6,5
15.8248,7,1
18.2943,2,0
23.5771,0,9
17.8514,0,3
5.8086,10,0
1.4387,7,8
8.7676,9,7
6.1968,5,10
17.999000000000002,4,1
1.204,9,2
2.5097,1,3
3.9502,6,3
8.8902,7,7
3.1864,6,2
6.6855,3,3
2.2695,4,7
6.2022,8,9
13.1474,6,3
5.8231,7,4
14.6573,5,7
17.177,9,1
5.9691,3,1
8.908,0,0
5.8443,0,7
14.4353,5,6
4.6855,9,4
1.4161,3,6
3.5416,2,10
3.3275,2,0
13.8279,0,6
10.2389,2,10
23.2564,8,0
11.1688,9,6
33.5701,4,2
4.9218,1,7
0.4942,10,4
31.104,0,0
30.7826,8,0
36.9868,8,2
1.0909,0,4
2.1783,1,6
20.4989,1,3
30.6469,0,7
0.2419,10,2
6.2636,4,10
7.6486,3,10
18.6996,7,6
5.9727,5,10
9.4424,4,4
9.2699,10,10
29.5067,3,3
4.5694,0,9
26.2841,9,2
2.3129,5,6
3.239,9,8
2.1225,10,8
24.1709,0,5
5.3,8,6
6.8396,8,3
19.9334,8,6
14.8033,10,1
4.6225,4,9
4.3523,1,4
14.4938,2,1
9.5808,2,0
24.6596,3,6
25.8042,0,0
1.1887,10,1
21.0025,8,7
2.8947,8,5
8.8597,1,5
19.373,0,2
16.5633,8,0
2.2865,7,10
