volume,class_1,class_2
49,0,20
43,0,5
54,0,0
75,0,18
72,1,21
61,1,17
61,1,6
42,1,0
57,1,22
71,1,22
71,1,5
37,1,23
45,2,23
42,2,12
59,2,9
63,2,22
75,2,2
40,2,6
64,3,6
47,3,0
51,3,13
70,3,12
41,3,22
69,3,19
51,4,11
54,4,3
74,4,10
47,4,14
68,4,21
57,4,7
55,5,8
70,6,24
50,6,11
66,6,0
58,6,14
55,6,6
40,6,7
71,7,19
54,8,15
56,8,7
69,8,14
59,8,11
71,8,18
44,8,9
61,8,13
62,9,0
56,10,18
45,10,9
74,10,24
43,11,17
48,11,20
60,12,16
56,12,13
69,12,10
45,12,16
69,12,16
49,13,4
59,13,4
71,14,20
55,14,23
62,14,8
41,15,11
41,15,15
48,15,19
61,15,18
47,16,14
43,16,15
42,16,18
55,16,18
75,17,15
66,17,10
71,17,8
37,17,19
45,17,8
55,18,15
74,18,4
49,19,9
72,19,16
49,20,21
38,20,8
51,20,1
47,20,5
68,20,17
41,20,5
48,21,24
66,21,24
45,21,24
41,21,9
51,22,6
45,22,0
70,23,20
59,23,3
46,24,4
50,24,13
66,24,13
61,24,16
64,24,12
75,25,23
60,25,9
68,25,5
72,25,1
57,25,6
66,26,1
60,26,19
40,26,11
69,26,2
51,26,10
67,27,13
51,27,6
44,27,15
68,28,16
38,28,17
70,28,1
43,28,7
63,28,1
45,28,11
71,28,1
54,28,2
62,28,16
39,28,22
75,28,6
70,29,11
62,29,22
55,29,12
74,29,5
44,30,7
72,30,0
57,31,2
71,31,3
59,31,24
51,32,8
58,32,2
37,32,1
45,33,23
75,33,19
43,33,21
61,33,3
75,33,21
57,34,14
55,34,14
43,34,12
59,34,21
51,35,20
46,35,19
71,35,17
59,35,12
45,35,14
64,35,24
47,36,24
51,36,7
70,36,7
59,36,23
51,37,10
64,37,9
47,37,10
61,37,23
45,37,16
40,37,13
60,37,21
42,38,2
57,38,5
51,38,22
62,39,4
60,39,0
46,39,2
56,39,14
66,39,12
50,40,21
54,40,18
45,40,15
61,40,20
57,41,17
72,41,9
54,41,13
46,41,3
70,41,20
64,41,1
43,41,15
54,42,17
47,42,8
41,42,12
71,42,23
56,42,3
73,42,5
71,42,10
45,43,4
69,43,4
41,44,11
54,44,18
69,45,7
49,46,2
54,46,4
73,46,10
54,46,17
50,46,8
60,47,20
59,47,22
49,48,3
39,49,19
68,49,3
