volume,class_1,class_2
20,0,1
84,0,25
14,0,8
92,0,16
76,0,24
89,0,18
10,0,8
75,0,15
22,0,26
9,0,30
91,0,32
90,0,10
83,0,47
88,0,21
7,0,29
4,0,27
2,0,24
97,1,39
12,1,42
92,1,26
10,1,12
76,1,9
4,1,1
13,1,17
80,1,3
19,1,38
96,1,7
82,1,8
12,1,36
14,1,19
93,1,15
12,1,28
15,1,9
77,1,27
96,1,0
14,2,18
11,2,35
23,2,25
90,2,33
75,2,6
86,2,5
9,2,19
87,2,1
82,2,3
90,2,2
84,2,8
78,2,35
11,2,4
92,2,14
76,2,45
4,2,28
9,3,23
90,3,26
88,3,11
75,3,41
100,3,37
98,3,27
9,3,18
87,3,11
16,3,2
87,3,47
14,3,29
83,3,31
75,3,3
5,3,23
96,3,4
97,3,21
97,4,25
6,4,45
24,4,20
24,4,26
22,4,44
96,4,22
21,4,42
95,4,38
17,4,45
13,4,6
16,4,11
79,4,5
2,4,35
89,4,2
87,4,17
86,4,5
99,4,0
25,4,48
78,4,44
2,5,17
78,5,13
78,5,48
98,5,42
84,5,46
78,5,12
8,5,1
22,5,33
97,5,5
20,5,36
97,5,19
7,5,4
20,5,15
18,5,34
4,5,9
87,5,13
97,5,45
79,5,28
88,5,47
89,5,23
75,5,20
2,5,22
96,5,0
87,6,32
93,6,2
83,6,32
92,6,49
8,6,40
10,6,35
78,6,27
99,6,46
13,6,18
94,6,40
2,6,0
22,6,48
87,6,6
78,6,14
18,6,39
86,6,37
1,6,12
2,6,25
20,6,7
15,6,44
5,6,4
83,6,15
13,6,31
77,6,33
2,6,37
24,6,30
12,6,41
81,6,31
79,7,16
78,7,7
3,7,46
2,7,14
23,7,38
92,7,39
8,7,41
82,7,32
6,7,34
90,7,48
88,7,29
7,7,12
92,7,30
24,7,36
78,8,10
10,8,44
99,8,24
90,8,33
80,8,47
88,8,49
96,8,7
95,8,43
79,8,13
11,8,41
97,8,49
93,8,39
11,8,37
17,8,34
91,8,20
81,8,21
93,8,14
22,8,13
8,8,21
95,8,36
89,8,6
87,8,34
1,8,38
89,9,16
79,9,22
92,9,19
18,9,31
11,9,24
15,9,20
11,9,40
96,9,10
91,9,3
89,9,40
3,9,42
89,9,22
16,9,23
83,9,28
93,9,49
82,9,46
5,9,9
17,9,17
8,9,29
16,9,11
79,9,43
95,9,10
93,9,43
92,9,16
25,9,43
77,9,30
