bin,item
0,128
0,66
0,15
0,91
0,5
0,129
0,141
0,72
1,179
1,142
1,4
1,195
1,97
1,209
1,38
2,170
2,127
2,57
2,235
2,58
2,90
2,33
2,99
3,87
3,113
3,93
3,46
3,180
3,248
3,63
4,191
4,73
4,159
4,143
4,80
4,150
4,20
5,42
5,161
5,21
5,75
5,126
5,196
5,49
5,6
6,54
6,12
6,85
6,137
6,172
6,48
6,233
7,133
7,31
7,153
7,41
7,24
7,117
7,156
7,11
8,165
8,68
8,29
8,118
8,76
8,157
8,39
8,82
9,119
9,242
9,86
9,96
9,9
9,132
9,26
10,201
10,131
10,186
10,111
10,35
10,166
10,88
10,104
11,0
11,206
11,27
11,28
11,182
11,122
11,152
12,109
12,177
12,112
12,168
12,71
12,107
12,162
12,2
12,8
12,160
13,115
13,203
13,74
13,234
13,120
13,78
14,51
14,60
14,17
14,208
14,176
14,145
14,138
14,81
14,188
15,67
15,220
15,148
15,135
15,94
15,32
15,44
15,19
16,139
16,144
16,116
16,123
16,211
16,136
16,169
16,106
16,95
17,237
17,37
17,216
17,134
17,25
18,189
18,217
18,98
18,7
18,110
18,226
19,64
19,228
19,40
19,22
19,223
19,151
19,36
19,69
20,62
20,18
20,59
20,221
20,3
20,108
20,124
20,16
21,79
21,236
21,14
21,207
21,61
21,101
21,102
22,202
22,197
22,1
22,149
22,167
22,200
22,171
63,214
63,174
63,173
63,225
63,103
63,34
63,83
63,77
63,100
64,240
64,45
64,50
64,10
64,147
64,229
64,114
64,222
64,65
65,199
65,224
65,204
65,232
65,193
65,219
65,185
65,84
65,175
66,245
66,89
66,238
66,183
66,125
66,247
66,194
66,181
66,55
67,241
67,213
67,210
67,130
67,190
67,154
67,105
67,92
67,205
68,146
68,192
68,53
68,198
68,184
68,246
68,218
68,30
68,249
68,56
68,158
69,187
69,227
69,13
69,215
69,163
69,212
69,230
69,243
69,43
69,178
69,121
70,239
70,244
70,164
70,23
70,231
70,155
70,140
70,47
70,52
70,70
