volume,class_1
119,0
18,0
146,0
16,0
37,0
141,0
19,0
31,0
125,0
22,0
119,0
126,1
124,1
132,1
134,1
16,1
5,1
148,1
32,1
142,1
34,1
36,1
29,2
131,2
27,2
8,2
144,2
121,2
15,2
133,3
6,3
25,3
23,3
123,3
113,3
120,3
21,4
125,4
144,4
139,4
136,4
24,5
138,5
8,5
7,5
11,5
122,5
14,5
133,5
141,5
142,5
19,6
9,6
131,6
10,6
129,6
138,6
21,6
134,6
11,6
144,6
7,6
126,6
122,7
35,7
137,7
148,7
19,7
24,7
9,7
129,7
7,7
30,7
22,7
133,7
20,8
116,8
134,8
139,8
131,8
130,8
122,8
128,8
5,8
118,9
29,9
140,9
19,9
35,9
30,9
127,9
116,10
23,10
150,10
143,11
36,11
36,11
9,11
23,11
3,11
118,11
114,11
16,11
33,12
16,12
119,12
135,12
3,12
5,12
25,12
131,12
127,13
117,13
14,13
134,13
25,13
125,13
25,13
144,13
17,13
1,14
126,14
141,14
140,14
134,14
3,14
144,14
141,14
2,15
26,15
134,15
9,15
4,15
137,15
35,15
123,15
140,15
14,15
13,15
13,15
116,16
3,16
24,16
27,16
34,17
27,17
2,17
4,17
137,17
149,17
144,17
10,17
19,17
35,17
25,18
19,18
117,18
140,18
120,18
124,18
114,18
30,18
11,19
131,19
121,19
18,19
141,19
135,19
134,19
5,19
148,20
120,20
14,20
120,20
147,20
6,20
31,21
144,21
21,21
140,21
142,21
129,22
34,22
119,22
3,22
115,22
4,22
128,23
144,23
117,23
121,23
115,23
119,23
124,23
125,24
33,24
35,24
18,24
4,24
143,24
