volume,class_1
29.8273,2
9.1872,9
32.2056,1
39.9855,4
28.035999999999998,1
11.8148,7
2.0023,7
22.3765,7
6.567,10
7.0862,6
2.6966,3
11.6648,1
12.9536,7
8.9668,0
14.0996,6
6.8122,6
9.3826,9
15.9567,0
13.6256,7
41.5477,4
8.53,3
25.188000000000002,9
9.3417,1
8.83,5
11.2043,0
7.6437,0
9.0025,0
7.2243,10
4.3654,8
2.853,0
22.3582,6
1.7573,10
20.148,3
17.3411,6
12.8338,0
0.4821,8
1.9044,3
2.0295,7
20.783,7
17.0814,8
14.4665,3
14.0598,5
9.5952,3
10.8265,10
14.2992,3
15.0367,7
9.011000000000001,4
15.1697,0
45.5918,6
36.0941,8
24.4694,10
2.0713,1
11.3063,2
12.6817,10
21.919,4
13.5165,1
5.2203,5
4.5509,8
1.5,6
12.3768,8
1.7895,10
22.6648,3
24.3014,4
6.4311,4
11.275,9
14.0928,7
20.3604,8
10.4013,6
9.4761,9
8.1245,0
17.8376,7
14.7212,3
1.1272,6
6.4409,6
9.3594,10
20.4745,2
27.7534,5
26.7851,8
6.5441,10
17.218,5
9.0436,1
4.4305,7
26.7557,10
6.098,8
12.8445,1
18.8766,2
14.4829,8
10.0143,6
3.5901,5
20.2025,7
27.5005,0
5.6765,7
15.6558,0
0.4607,4
13.2329,9
10.6368,9
6.1262,9
22.7086,6
7.1282,10
11.4887,2
