volume,class_1,class_2,class_3,class_4
1.24,19,0,19,21
4.5,4,3,4,11
2.81,1,2,6,6
2.98,12,5,3,20
2.6,0,5,8,10
2.15,12,1,9,11
4.38,16,0,20,16
4.48,22,0,13,2
3.87,12,5,11,6
2.72,1,6,21,23
1.88,9,4,11,16
2.9,18,0,2,15
1.12,11,4,10,12
3.78,15,0,18,15
1.29,21,5,1,14
1.4,17,4,13,5
4.42,7,1,2,22
2.11,15,2,9,6
4.67,17,4,10,0
4.9,12,1,9,4
3.72,21,2,16,18
3.79,22,6,19,23
1.25,18,6,12,2
3.66,14,4,6,17
3.52,2,1,3,20
3.12,19,6,0,6
1.3,22,5,4,16
3.63,5,6,4,21
4.27,22,1,10,19
3.45,22,3,11,15
3.84,16,4,3,16
1.86,0,4,4,3
1.84,4,4,10,13
4.82,0,6,10,6
2.3,6,4,4,7
2.13,3,4,10,10
3.32,9,0,6,10
1.02,5,3,21,2
1.71,5,0,6,1
1.69,18,3,6,2
2.49,1,2,9,11
4.08,2,5,4,8
4.67,4,6,7,16
4.84,22,0,1,18
4.62,15,2,6,13
1.36,5,4,22,4
3.8,19,2,19,21
3.93,7,4,11,8
1.62,12,3,19,12
4.37,2,1,8,17
4.64,17,6,10,9
2.06,4,6,20,3
4.23,16,6,14,6
3.78,17,3,18,6
4.49,1,1,16,20
4.62,11,6,22,12
2.07,3,5,20,15
4.33,0,4,7,19
2.98,10,3,12,23
3.66,15,3,22,5
3.8,16,2,19,21
3.7,0,6,11,20
3.47,18,1,8,23
1.67,22,4,9,4
3.7,18,1,17,14
3.18,14,0,17,13
4.83,22,6,1,9
2.09,7,6,2,6
3.56,2,0,0,22
2.21,9,0,6,4
3.81,9,3,9,5
2.72,1,2,11,19
1.09,0,1,5,1
2.67,10,6,2,2
2.75,22,0,12,10
1.41,22,0,22,12
1.16,14,4,2,5
1.22,1,3,16,13
2.87,8,4,6,19
1.4,1,4,18,1
2.53,12,2,10,14
2.84,7,0,8,6
4.13,12,2,7,18
2.47,2,1,13,0
4.43,5,1,16,10
3.82,9,1,22,13
1.23,3,6,9,12
4.04,14,1,18,18
2.67,20,1,10,19
3.24,5,6,0,0
3.45,11,2,22,8
1.78,9,5,17,8
2.53,3,3,2,4
4.56,2,6,17,12
3.65,13,2,14,22
2.49,5,1,12,2
2.75,0,3,20,15
3.1,11,0,11,17
1.69,15,2,17,1
3.92,3,3,9,12
4.74,21,0,19,11
2.51,9,4,9,3
4.87,8,6,5,3
1.66,3,2,18,17
4.84,0,6,0,4
2.05,9,5,4,9
2.91,20,4,19,18
2.06,21,5,4,10
1.87,19,3,19,18
4.49,11,5,4,3
4.88,4,0,6,20
3.1,4,5,21,10
3.89,20,3,10,23
3.55,12,2,18,8
3.61,6,3,18,5
4.24,11,5,21,9
3.14,12,1,12,23
4.89,18,0,3,1
2.94,9,4,21,12
1.87,16,5,8,12
2.39,15,2,20,23
4.58,13,5,0,20
4.99,3,5,9,2
4.45,8,0,3,22
1.87,17,5,3,12
9.88,5,1,3,20
8.44,8,0,12,19
5.99,9,0,19,18
6.42,6,6,10,9
7.93,17,6,13,4
5.3,3,0,0,13
7.77,18,1,18,21
9.76,2,0,0,11
6.96,20,3,16,1
9.91,0,3,14,11
6.39,18,6,11,3
5.46,10,3,21,20
9.69,10,2,0,21
5.63,13,4,0,20
6.03,4,3,14,9
7.7,5,3,19,6
6.05,21,2,1,0
7.1,18,0,16,15
9.1,22,4,2,20
6.19,2,2,22,10
5.4,11,1,10,11
9.45,14,1,7,2
5.51,12,3,6,19
5.15,5,0,15,11
7.11,9,4,1,10
5.07,3,0,2,2
7.65,20,4,11,21
8.32,2,0,5,17
6.24,17,0,7,4
7.34,5,6,0,7
7.85,4,5,7,23
7.97,2,0,4,5
8.99,3,1,6,3
8.02,2,2,7,22
5.22,16,0,18,5
6.72,17,2,13,22
7.96,9,0,10,1
5.59,16,6,13,11
6.37,19,2,18,21
6.59,7,0,18,3
8.83,11,6,6,0
6.35,7,0,1,13
5.08,5,1,11,15
6.05,19,5,0,2
7.13,3,1,16,5
5.84,11,5,21,4
7.78,18,5,9,12
9.77,8,4,14,22
7.68,18,6,4,3
5.81,15,0,22,15
8.78,16,3,13,17
6.23,12,3,20,11
9.06,12,1,17,9
9.84,6,0,13,11
5.04,8,2,15,23
6.97,14,6,0,20
6.85,1,0,21,7
9.24,4,2,0,4
6.71,7,1,10,9
7.83,2,3,4,1
5.92,4,6,6,22
9.66,5,3,15,17
7.71,2,6,14,22
7.13,8,5,12,16
9.59,2,1,15,8
6.15,22,5,13,23
5.54,5,4,3,21
7.47,7,4,1,0
8.3,18,3,1,16
