volume,class_1,class_2
29.8273,2,9
9.1872,1,4
32.2056,1,7
39.9855,7,7
28.035999999999998,10,6
11.8148,3,1
2.0023,7,0
22.3765,6,6
6.567,9,0
7.0862,7,4
2.6966,3,9
11.6648,1,5
12.9536,0,0
8.9668,0,10
14.0996,8,0
6.8122,6,10
9.3826,3,6
15.9567,0,8
13.6256,3,7
41.5477,7,8
8.53,3,5
25.188000000000002,3,10
9.3417,3,7
8.83,4,0
11.2043,6,8
7.6437,10,1
9.0025,2,10
7.2243,4,1
4.3654,5,8
2.853,6,8
22.3582,10,3
1.7573,4,4
20.148,9,7
17.3411,8,6
12.8338,9,0
0.4821,7,3
1.9044,6,6
2.0295,10,2
20.783,5,8
17.0814,10,5
14.4665,1,7
14.0598,10,8
9.5952,1,2
10.8265,8,6
14.2992,5,7
15.0367,0,7
9.011000000000001,0,4
15.1697,9,9
45.5918,9,6
36.0941,10,2
24.4694,2,8
2.0713,3,0
11.3063,3,8
12.6817,8,3
21.919,6,8
13.5165,5,9
5.2203,5,7
4.5509,4,10
1.5,8,9
12.3768,0,6
1.7895,8,2
22.6648,8,8
24.3014,3,6
6.4311,0,7
11.275,5,9
14.0928,8,3
20.3604,8,6
10.4013,7,5
9.4761,6,5
8.1245,0,8
17.8376,8,9
14.7212,9,5
1.1272,7,9
6.4409,0,3
9.3594,10,2
20.4745,8,9
27.7534,2,1
26.7851,8,4
6.5441,0,10
17.218,1,1
9.0436,0,7
4.4305,0,4
26.7557,3,4
6.098,1,9
12.8445,2,5
18.8766,4,1
14.4829,2,2
10.0143,4,8
3.5901,2,10
20.2025,4,10
27.5005,4,7
5.6765,5,7
15.6558,7,1
0.4607,0,4
13.2329,6,5
10.6368,6,3
6.1262,4,1
22.7086,4,8
7.1282,3,9
11.4887,6,0
