volume,class_1
96,0
196,0
61,0
134,0
9,0
170,0
188,0
3,0
93,0
18,0
125,0
168,0
21,0
163,0
24,0
90,0
163,0
2,0
55,1
41,1
113,1
125,1
172,1
167,1
2,1
71,1
10,1
127,1
75,1
177,1
45,1
137,1
172,1
33,1
197,1
96,1
42,1
43,1
191,1
139,1
129,2
6,2
114,2
75,2
172,2
20,2
52,2
193,2
118,2
166,2
27,2
169,2
138,2
22,2
116,2
51,2
66,2
168,2
101,2
131,2
188,2
87,2
104,3
126,3
130,3
117,3
184,3
90,3
172,3
125,3
52,3
176,3
20,3
15,3
24,3
145,3
95,3
192,3
83,3
32,3
11,3
45,3
93,3
95,3
130,3
77,4
150,4
182,4
80,4
159,4
136,4
28,4
47,4
41,4
72,4
9,4
58,4
114,4
135,4
47,4
63,4
186,4
89,4
73,4
147,4
186,4
138,4
116,4
170,4
180,4
158,5
79,5
86,5
165,5
170,5
26,5
144,5
119,5
88,5
170,5
99,5
111,5
77,5
72,5
186,5
194,5
73,5
75,5
179,6
100,6
120,6
190,6
112,6
150,6
97,6
79,6
144,6
82,6
47,6
150,6
11,6
148,6
106,6
62,6
179,6
127,7
55,7
57,7
197,7
8,7
111,7
152,7
71,7
55,7
45,7
169,7
147,7
45,7
189,7
165,7
119,7
93,8
113,8
172,8
168,8
117,8
192,8
30,8
120,8
13,8
181,8
117,8
167,8
122,8
11,8
72,8
92,8
51,8
51,8
187,9
33,9
100,9
180,9
126,9
85,9
42,9
53,9
179,9
111,9
80,9
27,9
2,9
149,9
79,9
96,9
34,9
179,9
189,9
196,9
68,9
