volume,class_1,class_2
21,0,6
146,0,0
5,0,9
37,0,1
32,0,2
16,0,5
130,0,8
20,0,8
131,0,0
113,0,2
119,1,6
120,1,0
31,1,3
150,1,6
126,1,0
29,2,6
120,2,9
142,2,1
134,2,3
22,3,4
120,3,2
144,3,9
3,3,5
17,3,9
147,3,1
123,3,1
131,3,0
8,4,0
139,4,4
26,4,5
141,4,5
142,4,9
124,4,7
4,4,5
31,4,1
23,4,3
118,4,4
22,4,9
117,4,1
112,4,0
132,4,9
29,5,4
121,5,4
3,5,8
120,5,3
27,5,3
135,5,1
1,5,0
6,5,6
113,6,0
10,6,7
30,6,6
9,6,1
37,6,2
33,6,4
139,6,3
146,6,3
115,6,9
127,6,9
5,7,0
131,7,9
3,7,3
136,7,5
140,7,3
145,7,2
123,7,8
16,7,1
10,8,2
113,8,4
135,8,7
144,8,6
128,8,9
5,8,7
11,8,4
11,8,6
12,8,6
139,8,7
18,9,6
35,9,5
37,9,2
126,9,7
119,9,6
19,9,1
116,9,6
25,9,0
5,9,3
122,9,7
24,9,5
150,9,7
30,9,3
146,9,8
145,10,3
144,10,7
32,10,0
22,10,5
146,10,2
37,10,5
5,10,8
149,10,1
21,11,8
146,11,9
26,11,7
133,11,2
121,11,5
27,11,0
113,11,6
10,11,8
31,11,7
21,11,7
15,11,4
146,11,5
24,11,7
7,12,4
23,12,9
143,12,6
128,12,9
13,12,8
144,12,4
140,12,7
7,12,0
18,12,2
140,13,6
123,13,2
149,13,9
126,13,0
140,13,4
5,13,6
133,13,0
35,13,8
29,13,1
120,13,8
124,14,0
35,14,6
8,14,8
4,14,3
3,14,4
28,14,8
127,14,4
121,14,0
10,15,9
150,15,2
141,15,1
5,15,2
37,15,9
37,15,5
148,15,5
37,15,0
133,15,4
36,16,5
18,16,1
118,16,5
131,16,5
23,17,2
33,17,2
126,17,4
34,17,8
15,17,1
147,17,9
31,17,8
37,18,1
10,19,2
148,19,9
30,19,7
112,19,8
14,19,2
123,19,3
1,19,3
126,19,4
123,20,7
134,20,2
119,20,4
12,20,1
125,20,7
140,20,8
7,20,7
25,20,5
132,20,5
30,20,0
114,20,3
20,21,3
127,21,8
112,21,8
118,21,8
150,22,2
127,23,6
9,23,4
19,23,9
133,23,7
18,23,1
136,24,1
26,24,2
30,24,3
13,24,4
35,24,3
113,24,6
138,24,6
2,24,5
149,24,1
14,24,3
18,24,7
