volume,class_1
41,0
16,0
179,1
189,1
200,1
197,2
159,3
46,3
12,3
45,4
158,5
3,5
185,5
22,6
192,6
181,6
6,6
25,7
11,7
1,7
44,7
195,7
189,8
162,8
24,8
32,8
185,8
194,8
15,8
167,9
180,9
167,9
159,9
199,10
151,10
42,11
7,11
195,11
186,11
48,12
157,12
34,13
194,13
44,13
13,13
15,13
45,13
38,14
25,14
168,14
194,14
31,14
195,14
180,15
15,15
156,15
11,16
10,16
37,16
179,16
187,17
186,17
6,18
31,18
11,18
192,18
14,18
183,18
151,18
26,19
50,20
155,20
7,21
188,22
191,22
28,22
159,23
199,23
198,23
174,23
8,23
191,23
45,24
39,24
173,24
170,24
176,25
177,25
190,25
27,25
39,25
182,26
8,26
182,26
171,26
165,26
27,26
11,26
166,27
22,27
12,27
23,27
19,27
187,27
42,27
24,28
6,28
11,28
5,28
25,29
39,29
41,29
153,29
196,30
164,30
1,31
179,31
158,31
186,31
9,31
182,31
177,32
22,32
161,33
40,33
10,33
161,33
34,33
162,33
160,33
178,34
21,34
49,34
23,34
187,35
183,35
18,35
49,35
182,35
192,36
153,36
40,36
192,36
13,36
14,36
179,36
4,36
182,37
193,37
157,37
192,37
181,37
6,38
36,38
192,38
19,38
35,38
161,38
6,39
191,39
172,40
47,41
185,41
199,41
184,41
18,41
161,41
40,41
176,42
12,42
23,42
37,42
190,42
195,43
187,43
43,43
191,43
33,44
189,44
187,45
36,45
192,45
45,45
188,46
173,47
41,47
9,47
50,47
192,47
194,47
153,48
161,48
24,48
27,48
42,48
176,49
157,49
190,49
155,49
181,49
