volume,class_1,class_2,class_3,class_4,class_5
1.38,38,2,83,94,1
4.84,26,6,66,19,20
2.58,51,23,26,80,4
3.86,28,1,85,94,20
4.29,27,1,73,96,10
4.35,52,9,23,42,16
4.3,18,13,89,0,4
2.71,63,27,31,84,6
4.67,8,6,78,33,20
4.31,34,20,76,78,15
1.16,38,5,79,96,9
4.95,14,21,56,48,4
4.13,25,23,86,44,2
2.01,36,18,92,13,24
3.6,35,18,53,60,2
2.98,42,1,71,71,0
1.0,49,22,26,8,24
4.77,51,5,9,78,1
2.36,14,23,76,5,4
2.1,6,8,59,21,15
1.96,53,18,51,60,10
2.35,57,14,20,58,0
3.04,52,23,88,15,19
4.29,32,15,60,30,5
3.52,6,24,28,1,8
1.8,42,5,85,38,7
4.93,60,15,36,12,11
1.86,64,24,39,53,4
3.42,8,5,49,31,11
1.71,52,20,22,51,18
4.34,38,25,18,77,10
2.82,0,7,61,14,1
3.18,40,6,35,27,19
4.99,32,17,76,81,3
4.99,43,10,31,13,17
3.62,46,7,27,91,12
3.46,46,17,8,26,16
3.53,55,26,41,54,23
4.08,3,12,84,9,18
1.1,7,0,22,24,11
4.21,7,2,8,4,11
1.33,49,19,76,1,21
4.05,27,17,63,39,20
1.41,48,2,20,89,3
1.22,52,8,44,62,0
4.35,55,25,21,60,11
1.23,61,26,60,2,24
1.38,29,14,70,47,0
3.57,59,26,50,47,13
3.41,55,17,88,15,15
3.63,61,7,26,48,8
3.46,21,19,27,51,1
4.43,0,4,46,14,7
1.9,59,19,49,90,10
1.1,50,12,2,0,7
4.36,29,4,71,86,11
1.64,40,8,42,5,19
2.95,50,16,65,73,10
3.62,36,4,23,15,22
1.86,45,19,71,32,5
4.45,66,18,10,56,16
1.06,8,17,62,66,7
3.54,27,0,67,13,13
4.69,20,4,48,57,20
2.16,40,4,4,37,20
3.22,32,26,77,16,1
1.51,25,15,92,85,2
4.82,43,17,46,26,12
2.7,10,6,34,93,12
1.73,39,19,2,11,9
1.84,65,17,12,77,18
2.27,63,0,27,94,5
4.14,19,17,52,25,13
