volume,class_1
11.0619,2
0.0121,8
9.7555,3
3.4156,0
9.362,3
26.4227,8
6.9026,8
14.525,3
34.4553,6
17.4301,8
28.0822,5
24.3061,9
14.2491,5
9.9277,7
27.4131,4
3.1066,10
25.7447,8
9.3961,9
5.6591,0
15.8279,6
21.0763,8
10.4189,2
1.713,8
2.9453,8
4.1244,3
26.1453,6
6.8637,0
16.6449,7
8.1817,5
17.6971,9
8.1268,8
17.4452,3
3.6549,8
13.4701,6
7.3774,7
5.8368,5
30.1139,6
1.0103,5
7.4418,0
5.6753,8
25.107,8
20.5216,9
8.0758,9
6.3574,5
26.3415,7
31.2334,9
7.0108,0
18.0113,3
8.8966,10
0.6697,2
1.9344,8
1.8087,9
19.3258,2
16.2144,1
41.5514,8
12.7124,4
15.1062,0
12.9366,10
9.3702,1
27.7581,1
6.4354,0
9.2877,7
6.3542,0
8.6875,4
11.8738,3
2.6114,4
2.0947,1
1.2242,9
20.96,2
28.7348,5
24.5658,4
17.1751,1
26.5466,2
10.4464,2
4.7331,4
14.1489,8
2.5163,2
6.6047,10
18.5608,4
19.7707,10
26.1251,4
18.8133,7
2.8815,5
10.3707,7
12.7987,7
18.6432,1
38.9747,0
16.128,4
4.0945,6
8.2595,5
3.2164,6
5.9301,3
1.2922,4
14.6221,1
7.815,4
13.4917,8
21.7311,3
9.7553,9
7.4444,6
18.5985,0
