bin,item
0,83
0,138
0,153
0,132
0,12
1,164
1,119
1,40
1,75
1,154
1,39
2,82
2,107
2,30
2,53
2,111
2,0
3,142
3,55
3,189
3,95
3,35
3,184
3,197
3,68
4,108
4,96
4,122
4,190
4,56
4,51
4,106
5,175
5,67
5,88
5,99
5,97
5,92
5,26
5,50
5,133
5,29
6,159
6,150
6,130
6,158
6,115
6,183
6,129
6,131
6,110
7,137
7,140
7,84
7,13
7,166
7,126
8,180
8,47
8,41
8,57
8,27
8,21
8,87
9,1
9,173
9,94
9,25
9,11
9,143
9,169
9,31
10,8
10,2
10,46
10,9
10,34
10,44
10,145
10,16
10,179
11,160
11,32
11,59
11,118
11,23
12,186
12,187
12,62
12,125
12,182
12,192
12,181
13,3
13,193
13,127
13,15
13,58
13,191
14,90
14,177
14,105
14,61
14,18
14,10
14,141
14,156
15,72
15,162
15,167
15,163
15,146
15,60
15,151
16,17
16,136
16,199
16,86
16,70
16,71
16,78
17,185
17,124
17,24
17,79
17,91
17,149
17,52
17,188
17,14
18,109
18,63
18,116
18,114
18,89
18,144
19,171
19,161
19,22
19,117
19,168
19,194
19,28
19,37
19,157
20,7
20,19
20,45
20,112
20,170
20,43
20,4
21,48
21,42
21,49
21,121
21,147
21,152
21,165
21,54
22,104
22,6
22,195
22,102
22,176
22,80
22,33
22,74
23,76
23,178
23,139
23,174
23,64
23,155
23,103
23,73
24,69
24,198
24,128
24,77
24,85
24,5
24,20
24,134
24,65
25,101
25,66
25,100
25,196
25,148
25,120
25,98
26,135
26,172
26,81
26,36
26,38
26,93
26,123
26,113
