volume,class_1,class_2,class_3
1.91,5,8,73
1.46,3,9,21
1.97,33,4,84
1.49,31,3,12
4.73,14,7,22
1.56,15,5,73
1.76,25,28,70
2.77,12,15,19
4.33,20,22,62
3.96,18,34,34
2.42,29,22,86
1.91,1,35,44
3.27,8,9,26
3.15,3,18,23
2.59,29,15,37
3.31,32,10,34
1.22,7,28,49
3.01,21,23,2
1.99,24,7,37
1.44,7,22,18
2.08,32,6,76
2.55,25,11,50
4.84,6,14,7
2.56,8,13,34
3.95,31,7,48
3.5,14,2,51
1.12,32,13,4
1.72,22,27,54
1.84,13,18,78
1.83,24,18,31
1.64,23,4,31
4.0,29,24,60
3.31,17,35,47
2.49,13,34,77
1.96,33,0,48
2.55,6,37,4
1.8,32,16,56
2.69,3,30,83
3.34,26,9,48
2.35,3,5,5
3.6,4,37,30
3.48,28,35,29
2.86,12,14,4
3.91,5,16,55
2.45,19,10,79
1.49,9,34,38
4.5,30,14,85
3.76,10,10,31
4.64,4,4,26
2.62,10,15,34
4.52,21,0,52
1.08,26,7,61
1.82,6,19,79
1.2,15,1,23
2.67,31,24,14
1.43,32,1,35
4.79,26,38,64
1.99,21,22,14
1.41,15,14,63
1.27,21,11,58
4.86,21,37,17
4.36,30,19,17
2.35,27,14,49
2.52,15,22,68
1.64,27,12,65
3.51,33,16,81
2.03,5,15,57
2.08,16,19,77
2.74,20,9,74
2.48,31,19,50
2.25,26,23,59
2.41,4,32,12
1.47,15,37,66
2.28,29,15,49
2.58,25,26,15
1.01,23,6,21
4.16,30,0,53
3.81,3,27,21
3.01,31,31,32
2.87,32,16,2
2.07,31,36,14
3.52,19,19,9
4.87,17,8,35
2.61,24,29,87
4.92,22,16,14
3.49,25,21,20
1.64,16,17,65
2.5,19,9,10
3.53,22,22,24
3.67,7,15,77
4.82,3,9,2
4.58,13,36,28
1.81,20,27,45
2.5,16,5,31
2.87,3,32,76
4.09,5,4,78
2.3,23,20,82
4.89,0,8,49
4.73,3,15,44
2.59,6,29,39
2.95,12,36,55
4.52,19,37,32
2.0,19,23,60
4.67,18,37,24
3.29,32,29,14
3.41,21,16,57
1.59,30,35,71
1.56,9,33,14
4.83,27,36,46
4.52,29,12,13
3.24,20,31,56
3.69,23,38,16
3.75,11,14,54
1.99,33,14,6
1.08,9,31,61
1.47,27,20,33
1.96,16,0,50
4.27,10,32,85
4.84,1,7,12
1.1,1,32,50
4.79,18,30,59
3.24,16,27,38
1.45,17,28,56
1.89,26,25,35
3.84,31,36,55
4.99,10,30,23
2.71,33,18,81
3.95,31,27,24
1.95,21,15,41
2.81,22,6,52
3.34,25,2,51
1.48,26,11,25
3.3,7,15,55
1.88,4,17,61
