volume,class_1,class_2,class_3
3.71,21,13,4
4.22,19,8,2
1.65,15,8,6
2.62,18,6,11
4.13,1,15,9
4.42,3,14,7
4.02,6,12,3
1.64,18,8,9
3.23,10,1,10
3.57,12,13,7
4.01,20,4,8
4.06,14,4,4
1.26,5,4,0
3.06,20,18,3
3.41,5,3,2
1.83,11,5,3
3.4,9,5,7
2.49,7,5,0
1.8,5,6,3
4.49,17,12,2
1.97,20,9,6
1.61,19,6,1
2.86,14,18,8
2.04,0,0,9
2.0,18,14,1
2.21,9,15,11
1.19,15,18,6
2.29,23,19,3
3.93,21,16,3
1.9,19,1,7
2.83,6,18,8
4.19,23,18,2
1.54,11,12,9
4.69,16,2,4
1.08,22,8,7
3.98,4,2,0
3.85,6,1,0
2.52,0,4,11
4.46,13,18,5
4.63,11,17,1
4.96,12,1,11
1.97,14,18,4
4.23,23,1,1
4.32,21,7,12
3.4,6,1,10
4.7,11,5,0
4.99,23,18,11
1.83,8,0,4
3.45,1,16,2
3.8,19,5,12
2.27,21,15,12
2.75,2,13,6
1.73,21,13,4
1.03,7,11,7
1.37,3,7,12
1.09,22,11,0
4.43,10,3,11
4.7,14,7,1
2.87,22,0,8
1.47,2,13,5
1.32,16,15,1
3.48,18,6,3
2.45,14,10,9
1.34,19,4,0
4.64,13,17,10
4.96,20,2,12
1.21,6,4,5
2.91,9,18,2
1.14,20,15,12
4.65,19,5,1
2.5,18,2,8
2.4,1,13,1
4.35,18,1,9
4.26,1,3,3
4.87,8,11,1
4.06,7,9,5
1.36,21,13,2
2.99,0,7,1
3.76,12,14,3
2.23,23,1,9
3.15,19,11,4
2.46,15,3,11
4.81,9,14,9
1.0,9,0,0
1.66,7,13,6
3.38,20,4,8
1.52,9,16,9
1.02,12,1,1
1.47,17,18,1
2.79,14,9,9
4.1,20,4,4
4.07,9,5,10
2.1,18,10,3
3.0,19,15,0
4.28,9,15,4
1.16,16,16,1
4.46,13,12,11
4.39,20,4,4
4.78,13,11,2
1.98,6,0,5
2.56,19,17,8
1.62,2,19,3
4.13,14,8,4
4.25,20,19,8
1.36,3,10,8
1.52,8,1,3
1.2,11,9,0
1.33,4,0,4
1.33,9,14,11
1.32,7,14,11
2.08,15,8,4
3.38,2,0,10
2.17,19,12,6
2.82,3,11,8
3.6,13,1,12
1.02,4,11,3
1.37,3,14,9
3.92,13,19,12
4.92,7,19,11
4.07,11,0,11
3.37,10,18,12
3.51,4,3,0
4.66,2,11,12
3.89,15,14,9
2.52,21,6,2
5.31,1,0,10
8.3,10,12,4
9.17,11,1,10
8.43,7,6,0
9.12,14,19,12
7.67,4,2,6
5.6,12,19,0
9.59,7,19,5
8.01,13,11,7
8.72,5,1,11
6.24,17,14,3
7.05,23,5,0
9.05,21,12,12
7.54,19,1,5
9.09,18,11,2
5.05,12,1,6
8.88,1,3,6
8.47,22,16,0
5.39,5,5,9
8.04,5,0,8
9.18,17,16,1
6.74,19,5,2
7.95,7,5,1
6.27,3,10,0
6.99,13,16,1
9.29,23,19,7
5.56,19,18,2
6.36,9,2,6
7.21,14,9,4
9.33,23,13,1
8.23,7,11,0
7.68,12,10,3
6.72,13,6,1
6.35,13,16,9
7.28,15,15,3
5.87,1,0,1
6.69,18,7,5
8.55,17,10,4
6.62,18,6,4
9.54,22,2,8
7.21,7,3,9
5.48,16,13,10
9.08,15,19,11
8.04,9,7,10
5.74,1,4,3
8.34,1,0,11
5.4,15,0,5
5.88,16,9,11
6.4,9,11,0
8.66,17,14,9
7.83,7,17,10
9.62,0,7,7
9.76,18,17,9
7.45,22,15,8
9.47,9,16,1
9.65,16,14,7
5.87,8,7,6
5.34,1,13,8
7.97,4,4,3
8.28,14,14,6
8.62,5,12,1
6.63,22,8,7
5.39,4,4,5
8.92,6,7,5
8.18,18,9,1
7.32,14,5,4
9.18,2,14,8
6.68,7,2,3
7.95,1,17,7
9.72,5,16,7
5.62,18,19,5
7.54,10,2,12
5.37,9,6,12
9.93,13,16,5
7.88,10,9,0
8.01,2,11,3
5.32,14,17,12
8.59,20,17,5
6.17,23,3,0
6.31,6,5,7
9.43,8,1,8
9.99,12,13,12
5.29,0,19,12
8.87,23,19,2
5.81,17,5,3
5.38,15,4,9
5.23,5,14,5
7.56,13,9,7
14.08,15,17,3
11.19,5,17,8
13.52,23,13,0
10.06,0,15,2
13.65,13,4,10
10.49,2,13,10
11.41,18,1,12
11.57,10,4,7
10.39,3,1,0
12.72,11,8,8
12.84,13,7,8
10.74,7,6,2
14.82,12,11,3
14.13,10,19,12
11.04,11,16,1
10.54,23,18,1
13.03,8,10,2
11.6,8,10,1
13.46,14,0,4
11.59,1,8,11
10.05,15,0,4
12.73,19,7,9
12.77,0,19,12
10.56,0,6,9
14.24,2,10,1
13.23,19,0,5
11.27,23,8,8
10.17,3,17,5
13.86,21,14,4
12.09,17,1,11
12.66,17,8,1
13.76,19,9,11
11.77,16,16,7
10.55,2,17,2
11.52,11,8,12
13.8,18,11,7
13.39,23,3,10
