volume,class_1,class_2,class_3
11.0619,8,3,4
0.0121,5,9,8
9.7555,4,5,5
3.4156,5,1,4
9.362,3,9,7
26.4227,2,9,8
6.9026,1,5,0
14.525,6,1,6
34.4553,2,2,5
17.4301,1,9,9
28.0822,6,1,9
24.3061,8,3,9
14.2491,1,4,5
9.9277,4,9,8
27.4131,1,7,4
3.1066,1,0,4
25.7447,0,9,10
9.3961,0,1,6
5.6591,1,0,3
15.8279,3,9,6
21.0763,2,1,7
10.4189,2,10,3
1.713,2,1,6
2.9453,6,8,4
4.1244,8,4,7
26.1453,5,1,3
6.8637,10,5,0
16.6449,0,0,4
8.1817,9,5,7
17.6971,6,5,6
8.1268,1,1,5
17.4452,9,7,1
3.6549,4,3,9
13.4701,8,7,10
7.3774,5,4,2
5.8368,8,3,4
30.1139,3,3,5
1.0103,1,4,1
7.4418,7,1,10
5.6753,9,10,5
25.107,3,6,4
20.5216,0,5,2
8.0758,5,9,4
6.3574,3,5,1
26.3415,8,9,9
31.2334,9,1,3
7.0108,3,0,3
18.0113,6,1,4
8.8966,8,1,1
0.6697,0,10,0
1.9344,4,5,7
1.8087,7,2,1
19.3258,8,5,1
16.2144,8,10,2
41.5514,2,2,2
12.7124,5,4,1
15.1062,8,9,4
12.9366,2,3,2
9.3702,8,0,5
27.7581,9,10,8
6.4354,3,2,4
9.2877,6,8,2
6.3542,0,10,3
8.6875,4,1,10
11.8738,7,6,8
2.6114,4,8,7
2.0947,8,7,0
1.2242,6,5,2
20.96,4,7,0
28.7348,10,6,9
24.5658,0,0,5
17.1751,9,2,9
26.5466,2,2,4
10.4464,4,6,9
4.7331,6,2,9
14.1489,1,3,7
2.5163,0,2,8
6.6047,5,8,10
18.5608,7,10,10
19.7707,3,3,5
26.1251,7,10,7
18.8133,3,6,5
2.8815,8,9,10
10.3707,4,10,3
12.7987,0,1,8
18.6432,10,5,2
38.9747,8,3,4
16.128,4,4,8
4.0945,5,2,7
8.2595,9,1,1
3.2164,9,8,9
5.9301,6,2,2
1.2922,4,6,3
14.6221,9,0,7
7.815,10,6,10
13.4917,5,6,8
21.7311,2,8,0
9.7553,8,1,4
7.4444,10,1,4
18.5985,1,2,9
