volume,class_1,class_2,class_3,class_4,class_5
2.65,2,5,15,2,2
1.99,7,9,10,4,9
3.82,8,2,6,9,9
3.06,4,5,20,10,6
4.6,8,5,3,7,10
1.61,10,0,1,0,3
4.3,2,8,13,4,0
2.46,9,5,12,8,6
4.97,10,5,14,4,8
3.48,1,0,17,0,1
2.48,9,8,15,1,10
3.57,5,8,6,5,9
4.92,4,8,13,10,10
1.31,7,10,14,9,7
2.27,5,0,1,0,3
3.47,5,9,14,8,9
2.52,8,11,10,4,0
4.54,5,2,2,4,9
3.37,4,12,5,5,8
3.21,10,11,5,1,10
2.49,0,8,16,8,5
2.51,4,2,3,9,8
1.62,5,8,8,3,0
4.39,2,6,2,1,7
1.54,5,1,6,0,5
3.51,9,0,15,5,6
1.64,5,3,20,6,8
3.14,5,4,13,5,1
2.26,5,8,16,0,5
4.32,1,0,3,0,7
3.41,0,12,1,4,4
4.95,4,11,11,9,5
3.68,2,11,10,7,2
3.75,6,4,18,8,4
3.57,8,13,13,9,0
1.14,0,2,14,6,10
1.36,5,11,18,7,0
2.95,5,13,12,7,1
3.69,0,3,16,3,0
4.3,10,4,10,8,6
4.19,2,12,12,1,2
2.56,3,6,19,9,5
3.17,1,3,11,5,5
1.5,1,11,6,7,3
4.29,1,10,4,10,6
4.66,0,3,5,4,9
3.13,7,12,13,7,5
4.67,7,3,7,7,4
2.07,1,0,3,10,2
4.89,10,6,10,8,4
3.44,5,3,15,10,8
3.92,3,10,8,0,8
2.53,4,11,19,5,3
1.7,2,4,18,2,5
4.12,2,9,9,2,10
3.38,4,11,4,3,7
2.2,7,13,14,9,8
2.07,4,13,4,3,5
1.48,3,13,2,10,2
3.67,10,11,16,1,5
1.45,5,1,9,1,6
1.27,10,7,12,8,1
4.61,8,9,19,2,9
8.62,2,10,0,8,7
7.96,1,8,9,8,3
6.19,5,4,14,8,2
8.17,8,0,19,8,7
7.51,5,12,14,5,5
8.29,10,10,14,4,6
5.51,6,0,8,10,3
8.07,4,10,12,6,8
5.0,0,6,13,6,6
5.78,2,9,16,9,4
5.87,9,0,13,2,3
8.31,10,10,14,0,8
9.33,5,2,19,3,8
7.07,6,10,9,10,7
6.83,3,1,19,3,7
7.67,0,0,2,10,4
7.45,5,0,17,10,9
9.03,3,1,14,10,7
8.38,6,7,0,1,4
7.8,4,6,11,0,7
9.42,10,13,9,3,2
6.84,9,10,12,5,8
9.82,8,2,8,1,6
9.23,8,8,20,9,1
5.38,6,0,5,1,6
8.51,1,6,12,4,5
9.89,5,9,4,0,9
9.18,5,11,7,10,9
8.25,1,10,4,0,8
7.45,10,5,11,2,1
7.92,9,3,17,1,9
5.52,4,8,7,9,1
6.28,9,10,5,8,0
6.71,5,1,12,3,1
9.79,5,2,2,1,9
7.49,6,6,8,7,7
7.76,1,5,9,10,1
9.34,9,2,11,0,6
5.78,10,1,5,0,3
