volume,class_1,class_2
50,0,0
61,0,10
72,0,0
67,0,23
60,0,23
67,0,15
72,0,9
70,0,8
58,0,13
75,0,0
59,0,20
69,0,6
47,0,5
48,1,12
68,1,19
58,1,14
54,1,10
65,1,8
58,1,18
59,1,7
51,1,4
58,2,0
63,2,2
47,2,23
63,2,20
40,2,6
40,3,10
61,3,6
48,3,11
60,3,14
50,3,3
40,3,10
51,4,5
71,4,3
61,4,23
58,4,14
56,4,2
67,4,22
57,4,14
44,4,5
64,5,17
64,5,15
62,5,4
56,5,17
42,5,12
68,5,11
63,5,4
59,5,9
48,5,24
44,6,19
43,6,14
53,6,18
46,7,16
54,7,18
61,7,7
45,7,8
60,7,22
45,7,20
47,7,6
38,7,6
69,8,15
44,8,1
70,8,23
57,9,18
44,9,11
66,9,14
72,9,1
72,9,24
69,9,19
74,9,18
75,10,9
37,10,12
67,10,7
46,10,13
71,10,4
42,10,5
51,10,7
61,10,21
67,11,11
59,11,14
73,11,22
39,11,5
67,11,20
51,11,13
44,11,22
58,12,9
71,12,10
48,12,7
51,12,21
40,12,3
75,13,4
42,13,13
59,13,21
64,13,2
62,13,14
37,13,1
50,13,2
55,13,13
47,14,12
53,14,10
57,14,15
45,14,2
57,14,6
50,14,9
44,14,11
52,14,19
59,14,17
47,14,4
49,15,9
57,15,4
61,15,24
56,15,0
74,15,21
63,15,18
39,15,15
57,15,19
47,16,16
46,16,24
75,16,20
38,16,22
37,16,15
52,16,19
38,16,8
55,17,19
70,17,8
43,17,12
73,17,23
38,17,24
71,17,16
53,17,7
53,17,6
41,17,21
43,17,5
75,17,2
42,17,1
49,17,16
65,18,10
71,18,15
43,18,23
54,18,11
56,18,21
39,18,16
43,18,11
61,19,16
67,19,1
46,19,22
49,19,8
47,19,1
44,19,0
56,19,17
38,19,0
73,19,3
68,20,22
69,20,24
71,20,5
60,20,5
71,20,22
65,20,24
38,20,3
46,20,23
56,20,2
55,20,7
65,20,12
57,21,20
69,21,18
50,21,17
49,21,9
42,21,12
69,21,6
49,21,20
63,21,17
58,21,8
44,22,7
44,22,2
45,22,13
53,22,13
41,22,21
71,22,3
38,22,16
44,22,1
65,22,17
61,22,3
58,22,16
53,22,1
70,23,13
51,23,19
43,23,3
64,23,12
74,23,4
56,23,18
45,23,11
50,23,17
64,23,0
45,23,9
55,24,20
57,24,10
62,24,15
49,24,8
70,24,21
42,24,24
