id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap,termination_reason,columns,iterations,iterations_heuristic,iterations_exact,frac_iter_heuristic,frac_iter_exact,time_master,time_sub,time_sub_heuristic,time_sub_exact,frac_time_master,frac_time_sub,frac_time_sub_heuristic,frac_time_sub_exact
1,colgen,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2432.21,9.28,2432.21,0,OPTIMAL,1195,244,212,32,0.87,0.13,1.21,7.39,6.02,1.37,0.13,0.8,0.65,0.15
1,colgen,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2432.09,24.32,2432.09,0,OPTIMAL,1802,393,320,73,0.81,0.19,2.6,20.83,8.09,12.74,0.11,0.86,0.33,0.52
1,colgen,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2432.09,43.25,2432.09,0,OPTIMAL,2105,443,317,126,0.72,0.28,3.64,38.47,10.0,28.47,0.08,0.89,0.23,0.66
1,colgen,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2432.09,38.08,2432.09,0,OPTIMAL,2189,484,352,132,0.73,0.27,3.89,33.05,10.56,22.49,0.1,0.87,0.28,0.59
1,colgen,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2383.19,9.21,2383.19,0,OPTIMAL,1139,225,190,35,0.84,0.16,1.05,7.51,5.68,1.82,0.11,0.82,0.62,0.2
1,colgen,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2383.09,27.8,2383.09,0,OPTIMAL,1755,389,296,93,0.76,0.24,2.73,24.12,8.66,15.46,0.1,0.87,0.31,0.56
1,colgen,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2383.09,27.51,2383.09,0,OPTIMAL,2060,472,349,123,0.74,0.26,4.01,22.45,10.47,11.98,0.15,0.82,0.38,0.44
1,colgen,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2383.09,21.06,2383.09,0,OPTIMAL,2052,400,294,106,0.73,0.27,3.34,16.75,8.91,7.84,0.16,0.8,0.42,0.37
1,colgen,set1/ID3_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2298.24,10.29,2298.24,0,OPTIMAL,1177,246,210,36,0.85,0.15,1.44,8.18,6.21,1.97,0.14,0.8,0.6,0.19
1,colgen,set1/ID3_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2298.17,32.53,2298.17,0,OPTIMAL,1750,351,270,81,0.77,0.23,2.63,28.98,8.17,20.81,0.08,0.89,0.25,0.64
1,colgen,set1/ID3_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2298.16,26.95,2298.16,0,OPTIMAL,2053,439,339,100,0.77,0.23,3.75,22.2,10.06,12.14,0.14,0.82,0.37,0.45
1,colgen,set1/ID3_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2298.16,22.56,2298.16,0,OPTIMAL,2009,412,319,93,0.77,0.23,3.28,18.38,9.41,8.96,0.15,0.81,0.42,0.4
1,colgen,set1/ID4_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2298.13,11.17,2298.13,0,OPTIMAL,1306,272,234,38,0.86,0.14,1.41,9.07,6.42,2.65,0.13,0.81,0.57,0.24
1,colgen,set1/ID4_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2298.07,32.54,2298.07,0,OPTIMAL,1706,384,299,85,0.78,0.22,2.74,28.91,8.86,20.05,0.08,0.89,0.27,0.62
1,colgen,set1/ID4_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2298.06,23.09,2298.06,0,OPTIMAL,1955,391,296,95,0.76,0.24,3.2,18.98,9.17,9.81,0.14,0.82,0.4,0.42
1,colgen,set1/ID4_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2298.06,25.36,2298.06,0,OPTIMAL,2122,407,295,112,0.72,0.28,3.71,20.64,9.82,10.81,0.15,0.81,0.39,0.43
1,colgen,set1/ID5_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2168.97,11.03,2168.97,0,OPTIMAL,1214,226,192,34,0.85,0.15,1.22,9.1,5.89,3.21,0.11,0.83,0.53,0.29
1,colgen,set1/ID5_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2168.91,36.17,2168.91,0,OPTIMAL,1744,370,284,86,0.77,0.23,2.9,32.31,8.67,23.65,0.08,0.89,0.24,0.65
1,colgen,set1/ID5_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2168.91,24.57,2168.91,0,OPTIMAL,1997,420,331,89,0.79,0.21,3.3,20.31,9.92,10.39,0.13,0.83,0.4,0.42
1,colgen,set1/ID5_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2168.91,20.97,2168.91,0,OPTIMAL,2068,406,324,82,0.8,0.2,3.38,16.64,9.52,7.12,0.16,0.79,0.45,0.34
1,colgen,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R2,100,2,1,2488.4,4.47,2488.4,0,OPTIMAL,730,95,86,9,0.91,0.09,0.34,3.58,3.48,0.1,0.08,0.8,0.78,0.02
1,colgen,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R2,100,2,1,2432.13,17.61,2432.13,0,OPTIMAL,1146,239,189,50,0.79,0.21,1.37,15.54,6.19,9.35,0.08,0.88,0.35,0.53
