id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap,termination_reason,columns,iterations,iterations_heuristic,iterations_exact,frac_iter_heuristic,frac_iter_exact,time_master,time_sub,time_sub_heuristic,time_sub_exact,frac_time_master,frac_time_sub,frac_time_sub_heuristic,frac_time_sub_exact
1,colgen,set2/Q1C1N3B1W1_0_BPP,200,1,1,10150.0,6.29,10150.0,0,OPTIMAL,739,199,198,1,0.99,0.01,0.53,5.22,5.22,0.0,0.08,0.83,0.83,0.0
1,colgen,set2/Q1C1N3B1W1_1_BPP,200,1,1,10733.33,8.08,10733.33,0,OPTIMAL,749,228,204,24,0.89,0.11,0.5,7.02,7.0,0.03,0.06,0.87,0.87,0.0
1,colgen,set2/Q1C1N3B1W1_2_BPP,200,1,1,9975.0,9.01,9975.0,0,OPTIMAL,1035,324,285,39,0.88,0.12,0.73,7.65,7.58,0.08,0.08,0.85,0.84,0.01
1,colgen,set2/Q1C1N3B1W1_3_BPP,200,1,1,11250.0,5.62,11250.0,0,OPTIMAL,555,180,179,1,0.99,0.01,0.28,4.76,4.75,0.0,0.05,0.85,0.85,0.0
1,colgen,set2/Q1C1N3B1W1_4_BPP,200,1,1,10575.0,8.12,10575.0,0,OPTIMAL,726,233,212,21,0.91,0.09,0.45,7.06,7.03,0.03,0.06,0.87,0.87,0.0
1,colgen,set2/Q1C1N3B1W1_5_BPP,200,1,1,9800.0,6.66,9800.0,0,OPTIMAL,735,203,202,1,1.0,0.0,0.61,5.45,5.45,0.0,0.09,0.82,0.82,0.0
1,colgen,set2/Q1C1N3B1W1_6_BPP,200,1,1,10750.0,5.0,10750.0,0,OPTIMAL,528,133,132,1,0.99,0.01,0.28,4.21,4.21,0.0,0.06,0.84,0.84,0.0
1,colgen,set2/Q1C1N3B1W1_7_BPP,200,1,1,10750.0,5.11,10750.0,0,OPTIMAL,631,144,143,1,0.99,0.01,0.38,4.19,4.19,0.0,0.08,0.82,0.82,0.0
1,colgen,set2/Q1C1N3B1W1_8_BPP,200,1,1,10850.0,6.34,10850.0,0,OPTIMAL,676,205,204,1,1.0,0.0,0.47,5.31,5.31,0.0,0.07,0.84,0.84,0.0
1,colgen,set2/Q1C1N3B1W1_9_BPP,200,1,1,11300.0,5.26,11300.0,0,OPTIMAL,532,153,152,1,0.99,0.01,0.25,4.46,4.46,0.0,0.05,0.85,0.85,0.0
1,colgen,set2/Q1C1N3B2W1_0_BPP,200,1,1,9750.0,7.54,9750.0,0,OPTIMAL,951,249,241,8,0.97,0.03,0.62,6.31,6.31,0.01,0.08,0.84,0.84,0.0
1,colgen,set2/Q1C1N3B2W1_1_BPP,200,1,1,10200.0,7.55,10200.0,0,OPTIMAL,777,265,264,1,1.0,0.0,0.64,6.35,6.35,0.0,0.08,0.84,0.84,0.0
1,colgen,set2/Q1C1N3B2W1_2_BPP,200,1,1,10500.0,7.13,10500.0,0,OPTIMAL,702,248,247,1,1.0,0.0,0.45,6.12,6.12,0.0,0.06,0.86,0.86,0.0
1,colgen,set2/Q1C1N3B2W1_3_BPP,200,1,1,10800.0,6.2,10800.0,0,OPTIMAL,647,198,197,1,0.99,0.01,0.43,5.24,5.24,0.0,0.07,0.85,0.85,0.0
1,colgen,set2/Q1C1N3B2W1_4_BPP,200,1,1,9400.0,6.49,9400.0,0,OPTIMAL,839,199,197,2,0.99,0.01,0.56,5.38,5.37,0.01,0.09,0.83,0.83,0.0
1,colgen,set2/Q1C1N3B2W1_5_BPP,200,1,1,10425.0,5.76,10425.0,0,OPTIMAL,627,172,169,3,0.98,0.02,0.32,4.91,4.9,0.01,0.06,0.85,0.85,0.0
1,colgen,set2/Q1C1N3B2W1_6_BPP,200,1,1,10716.67,9.24,10716.67,0,OPTIMAL,911,309,279,30,0.9,0.1,0.64,7.95,7.91,0.04,0.07,0.86,0.86,0.0
1,colgen,set2/Q1C1N3B2W1_7_BPP,200,1,1,9925.0,7.65,9925.0,0,OPTIMAL,660,186,160,26,0.86,0.14,0.47,6.61,6.57,0.04,0.06,0.86,0.86,0.01
1,colgen,set2/Q1C1N3B2W1_8_BPP,200,1,1,9350.0,9.82,9350.0,0,OPTIMAL,969,314,269,45,0.86,0.14,0.86,8.27,8.16,0.11,0.09,0.84,0.83,0.01
1,colgen,set2/Q1C1N3B2W1_9_BPP,200,1,1,9825.0,6.84,9825.0,0,OPTIMAL,761,213,203,10,0.95,0.05,0.52,5.74,5.74,0.01,0.08,0.84,0.84,0.0
1,colgen,set2/Q1C1N3B3W1_0_BPP,200,1,1,10483.33,7.08,10483.33,0,OPTIMAL,676,198,181,17,0.91,0.09,0.4,6.12,6.11,0.01,0.06,0.86,0.86,0.0
1,colgen,set2/Q1C1N3B3W1_1_BPP,200,1,1,10550.0,5.84,10550.0,0,OPTIMAL,542,181,180,1,0.99,0.01,0.32,5.0,5.0,0.0,0.05,0.86,0.86,0.0
1,colgen,set2/Q1C1N3B3W1_2_BPP,200,1,1,10375.0,8.14,10375.0,0,OPTIMAL,619,216,182,34,0.84,0.16,0.47,7.11,7.08,0.03,0.06,0.87,0.87,0.0
1,colgen,set2/Q1C1N3B3W1_3_BPP,200,1,1,10750.0,5.76,10750.0,0,OPTIMAL,636,176,175,1,0.99,0.01,0.4,4.85,4.85,0.0,0.07,0.84,0.84,0.0
1,colgen,set2/Q1C1N3B3W1_4_BPP,200,1,1,10900.0,7.4,10900.0,0,OPTIMAL,702,244,229,15,0.94,0.06,0.44,6.44,6.43,0.0,0.06,0.87,0.87,0.0
1,colgen,set2/Q1C1N3B3W1_5_BPP,200,1,1,10866.67,6.3,10866.67,0,OPTIMAL,604,173,155,18,0.9,0.1,0.29,5.46,5.45,0.01,0.05,0.87,0.86,0.0
1,colgen,set2/Q1C1N3B3W1_6_BPP,200,1,1,10173.97,10.0,10173.97,0,OPTIMAL,1054,355,286,69,0.81,0.19,0.77,8.56,8.46,0.1,0.08,0.86,0.85,0.01
1,colgen,set2/Q1C1N3B3W1_7_BPP,200,1,1,10250.0,6.58,10250.0,0,OPTIMAL,660,211,210,1,1.0,0.0,0.51,5.57,5.57,0.0,0.08,0.85,0.85,0.0
1,colgen,set2/Q1C1N3B3W1_8_BPP,200,1,1,10000.0,7.26,10000.0,0,OPTIMAL,762,244,243,1,1.0,0.0,0.6,6.07,6.07,0.0,0.08,0.84,0.84,0.0
1,colgen,set2/Q1C1N3B3W1_9_BPP,200,1,1,9650.0,8.26,9650.0,0,OPTIMAL,915,270,255,15,0.94,0.06,0.68,6.98,6.96,0.02,0.08,0.85,0.84,0.0
1,colgen,set2/Q1C2N3B1W1_0_BPP,200,1,1,10358.33,8.78,10358.33,0,OPTIMAL,873,249,207,42,0.83,0.17,0.63,7.53,7.44,0.08,0.07,0.86,0.85,0.01
1,colgen,set2/Q1C2N3B1W1_1_BPP,200,1,1,10543.75,6.81,10543.75,0,OPTIMAL,715,185,169,16,0.91,0.09,0.45,5.77,5.75,0.02,0.07,0.85,0.84,0.0
1,colgen,set2/Q1C2N3B1W1_2_BPP,200,1,1,9950.0,6.63,9950.0,0,OPTIMAL,775,190,189,1,0.99,0.01,0.57,5.49,5.49,0.0,0.09,0.83,0.83,0.0
1,colgen,set2/Q1C2N3B1W1_3_BPP,200,1,1,10425.0,9.09,10425.0,0,OPTIMAL,754,250,202,48,0.81,0.19,0.54,7.97,7.93,0.04,0.06,0.88,0.87,0.0
1,colgen,set2/Q1C2N3B1W1_4_BPP,200,1,1,11600.0,5.26,11600.0,0,OPTIMAL,529,146,145,1,0.99,0.01,0.26,4.44,4.44,0.0,0.05,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B1W1_5_BPP,200,1,1,10016.67,7.24,10016.67,0,OPTIMAL,851,209,189,20,0.9,0.1,0.55,6.07,6.04,0.02,0.08,0.84,0.84,0.0
1,colgen,set2/Q1C2N3B1W1_6_BPP,200,1,1,11050.0,6.72,11050.0,0,OPTIMAL,669,239,238,1,1.0,0.0,0.44,5.79,5.79,0.0,0.07,0.86,0.86,0.0
1,colgen,set2/Q1C2N3B1W1_7_BPP,200,1,1,10066.67,9.65,10066.67,0,OPTIMAL,968,270,217,53,0.8,0.2,0.68,8.28,8.2,0.08,0.07,0.86,0.85,0.01
1,colgen,set2/Q1C2N3B1W1_8_BPP,200,1,1,10800.0,5.19,10800.0,0,OPTIMAL,553,136,135,1,0.99,0.01,0.29,4.41,4.41,0.0,0.06,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B1W1_9_BPP,200,1,1,10025.0,7.81,10025.0,0,OPTIMAL,972,246,234,12,0.95,0.05,0.69,6.48,6.47,0.01,0.09,0.83,0.83,0.0
1,colgen,set2/Q1C2N3B2W1_0_BPP,200,1,1,9900.0,8.1,9900.0,0,OPTIMAL,963,250,242,8,0.97,0.03,0.77,6.77,6.76,0.01,0.1,0.84,0.83,0.0
1,colgen,set2/Q1C2N3B2W1_1_BPP,200,1,1,10450.0,8.86,10450.0,0,OPTIMAL,809,254,207,47,0.81,0.19,0.58,7.66,7.5,0.16,0.07,0.86,0.85,0.02
1,colgen,set2/Q1C2N3B2W1_2_BPP,200,1,1,11550.0,7.32,11550.0,0,OPTIMAL,663,244,243,1,1.0,0.0,0.53,6.22,6.22,0.0,0.07,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B2W1_3_BPP,200,1,1,9894.81,12.88,9894.81,0,OPTIMAL,1301,391,342,49,0.87,0.13,1.1,11.04,10.93,0.1,0.09,0.86,0.85,0.01
1,colgen,set2/Q1C2N3B2W1_4_BPP,200,1,1,10900.0,5.78,10900.0,0,OPTIMAL,619,166,165,1,0.99,0.01,0.37,4.86,4.86,0.0,0.06,0.84,0.84,0.0
1,colgen,set2/Q1C2N3B2W1_5_BPP,200,1,1,10500.0,5.88,10500.0,0,OPTIMAL,613,165,164,1,0.99,0.01,0.39,4.96,4.96,0.0,0.07,0.84,0.84,0.0
1,colgen,set2/Q1C2N3B2W1_6_BPP,200,1,1,11350.0,5.26,11350.0,0,OPTIMAL,557,149,148,1,0.99,0.01,0.28,4.47,4.47,0.0,0.05,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B2W1_7_BPP,200,1,1,10900.0,7.36,10900.0,0,OPTIMAL,633,246,245,1,1.0,0.0,0.4,6.39,6.39,0.0,0.05,0.87,0.87,0.0
1,colgen,set2/Q1C2N3B2W1_8_BPP,200,1,1,11407.14,8.74,11407.14,0,OPTIMAL,720,220,176,44,0.8,0.2,0.46,7.69,7.57,0.11,0.05,0.88,0.87,0.01
1,colgen,set2/Q1C2N3B2W1_9_BPP,200,1,1,10350.0,7.52,10350.0,0,OPTIMAL,813,219,210,9,0.96,0.04,0.62,6.33,6.32,0.01,0.08,0.84,0.84,0.0
1,colgen,set2/Q1C2N3B3W1_0_BPP,200,1,1,10050.0,8.64,10050.0,0,OPTIMAL,937,246,225,21,0.91,0.09,0.72,7.37,7.34,0.02,0.08,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B3W1_1_BPP,200,1,1,9966.67,10.86,9966.67,0,OPTIMAL,1157,329,296,33,0.9,0.1,0.88,9.33,9.24,0.1,0.08,0.86,0.85,0.01
1,colgen,set2/Q1C2N3B3W1_2_BPP,200,1,1,9900.0,6.16,9900.0,0,OPTIMAL,767,169,166,3,0.98,0.02,0.5,5.13,5.12,0.0,0.08,0.83,0.83,0.0
1,colgen,set2/Q1C2N3B3W1_3_BPP,200,1,1,11050.0,8.17,11050.0,0,OPTIMAL,703,221,194,27,0.88,0.12,0.45,7.14,7.09,0.05,0.06,0.87,0.87,0.01
1,colgen,set2/Q1C2N3B3W1_4_BPP,200,1,1,10850.0,5.83,10850.0,0,OPTIMAL,630,162,161,1,0.99,0.01,0.38,4.96,4.96,0.0,0.07,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B3W1_5_BPP,200,1,1,9800.0,8.38,9800.0,0,OPTIMAL,848,262,261,1,1.0,0.0,0.77,7.01,7.01,0.0,0.09,0.84,0.84,0.0
1,colgen,set2/Q1C2N3B3W1_6_BPP,200,1,1,11050.0,6.08,11050.0,0,OPTIMAL,657,175,174,1,0.99,0.01,0.41,5.14,5.14,0.0,0.07,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B3W1_7_BPP,200,1,1,11400.0,6.17,11400.0,0,OPTIMAL,589,184,183,1,0.99,0.01,0.36,5.3,5.3,0.0,0.06,0.86,0.86,0.0
1,colgen,set2/Q1C2N3B3W1_8_BPP,200,1,1,10233.33,6.79,10233.33,0,OPTIMAL,801,182,169,13,0.93,0.07,0.47,5.77,5.76,0.01,0.07,0.85,0.85,0.0
1,colgen,set2/Q1C2N3B3W1_9_BPP,200,1,1,10141.67,9.59,10141.67,0,OPTIMAL,957,276,227,49,0.82,0.18,0.74,8.23,8.18,0.05,0.08,0.86,0.85,0.01
1,colgen,set2/Q1C3N3B1W1_0_BPP,200,1,1,10200.0,5.93,10200.0,0,OPTIMAL,713,183,182,1,0.99,0.01,0.42,4.97,4.97,0.0,0.07,0.84,0.84,0.0
1,colgen,set2/Q1C3N3B1W1_1_BPP,200,1,1,9850.0,5.6,9850.0,0,OPTIMAL,636,159,158,1,0.99,0.01,0.43,4.66,4.65,0.0,0.08,0.83,0.83,0.0
1,colgen,set2/Q1C3N3B1W1_2_BPP,200,1,1,10250.0,6.81,10250.0,0,OPTIMAL,700,227,226,1,1.0,0.0,0.48,5.77,5.77,0.0,0.07,0.85,0.85,0.0
1,colgen,set2/Q1C3N3B1W1_3_BPP,200,1,1,10300.0,5.87,10300.0,0,OPTIMAL,604,173,172,1,0.99,0.01,0.44,4.88,4.88,0.0,0.08,0.83,0.83,0.0
1,colgen,set2/Q1C3N3B1W1_4_BPP,200,1,1,9862.5,8.47,9862.5,0,OPTIMAL,997,261,242,19,0.93,0.07,0.69,7.11,7.1,0.01,0.08,0.84,0.84,0.0
1,colgen,set2/Q1C3N3B1W1_5_BPP,200,1,1,11616.67,6.03,11616.67,0,OPTIMAL,392,197,121,76,0.61,0.39,0.17,5.33,5.3,0.03,0.03,0.88,0.88,0.01
1,colgen,set2/Q1C3N3B1W1_6_BPP,200,1,1,11675.0,9.49,11675.0,0,OPTIMAL,374,163,78,85,0.48,0.52,0.16,8.79,8.75,0.03,0.02,0.93,0.92,0.0
1,colgen,set2/Q1C3N3B1W1_7_BPP,200,1,1,10366.67,6.29,10366.67,0,OPTIMAL,699,187,175,12,0.94,0.06,0.38,5.37,5.35,0.03,0.06,0.85,0.85,0.0
1,colgen,set2/Q1C3N3B1W1_8_BPP,200,1,1,11650.0,7.47,11650.0,0,OPTIMAL,306,140,78,62,0.56,0.44,0.16,6.84,6.82,0.02,0.02,0.92,0.91,0.0
1,colgen,set2/Q1C3N3B1W1_9_BPP,200,1,1,11582.58,7.1,11582.58,0,OPTIMAL,387,191,100,91,0.52,0.48,0.17,6.4,6.36,0.04,0.02,0.9,0.9,0.01
1,colgen,set2/Q1C3N3B2W1_0_BPP,200,1,1,9525.0,10.37,9525.0,0,OPTIMAL,1076,319,276,43,0.87,0.13,0.86,8.84,8.71,0.13,0.08,0.85,0.84,0.01
