volume,class_1,class_2,class_3,class_4
1.14,17,0,29,32
3.08,23,4,49,50
1.76,40,19,7,45
4.2,0,17,19,11
4.34,20,15,1,55
3.9,17,17,52,61
4.03,7,0,10,6
1.74,2,14,49,18
3.69,9,19,54,8
4.5,21,10,25,46
4.03,7,15,29,62
4.92,35,22,43,12
1.1,3,6,31,8
1.38,21,1,18,56
3.45,33,22,45,9
2.17,47,8,6,48
4.32,35,20,44,34
1.51,24,10,5,3
2.83,27,12,21,12
3.98,8,12,40,62
3.74,35,14,26,54
4.99,43,0,42,9
4.87,24,8,41,57
1.82,34,9,27,61
2.17,47,17,12,35
1.57,41,5,13,34
1.25,16,9,25,25
4.58,35,13,2,14
4.86,19,1,53,29
1.59,36,1,18,49
2.49,6,1,18,14
4.1,12,16,44,43
4.61,35,10,24,53
3.21,4,16,37,2
2.81,16,12,23,53
1.21,34,1,21,46
3.18,44,11,54,18
1.82,16,4,50,26
3.19,40,21,49,59
4.99,20,13,16,15
3.6,27,2,52,3
4.47,42,11,32,3
1.13,26,20,54,48
1.58,19,0,49,26
2.54,32,0,51,62
4.68,24,13,37,20
2.58,13,10,17,5
4.93,18,17,26,58
3.98,11,3,15,41
3.27,6,8,9,15
2.04,22,18,56,14
3.18,39,18,57,59
2.66,36,6,19,50
2.63,20,12,10,60
3.36,26,19,47,24
1.91,48,8,41,1
1.25,22,7,14,16
2.86,2,8,16,32
1.22,35,6,6,47
4.13,28,13,1,18
1.32,1,15,2,33
1.93,38,1,33,8
3.95,0,14,5,48
3.76,36,21,13,43
2.77,20,3,17,30
4.38,20,13,25,36
3.86,24,13,16,14
1.17,9,19,4,62
3.18,42,14,31,28
4.37,21,22,27,38
1.34,9,15,42,22
3.95,7,13,52,19
3.04,13,22,45,49
2.17,24,20,10,28
1.83,46,0,24,19
2.68,29,14,16,24
4.75,13,11,12,59
4.81,30,15,20,43
3.35,24,19,33,2
1.97,14,1,48,41
1.5,41,12,37,5
1.2,48,3,43,37
3.02,22,5,0,22
1.24,14,21,31,39
4.5,21,6,51,12
4.08,21,22,40,39
1.0,4,20,26,62
2.71,0,9,56,7
1.07,23,6,45,36
4.98,2,8,18,59
3.38,32,7,51,12
2.29,42,6,8,45
2.84,6,13,20,22
1.34,14,6,50,36
4.06,47,20,54,2
4.71,27,12,26,30
1.68,5,8,10,49
3.62,24,21,53,47
2.47,15,21,8,46
1.98,20,22,15,31
4.17,27,3,40,8
1.91,33,9,41,0
4.19,34,14,19,61
4.8,23,17,33,30
2.19,39,21,13,12
4.19,20,11,59,23
3.14,13,9,23,2
4.86,22,9,36,34
4.36,48,10,24,33
2.58,7,15,28,41
2.43,1,10,22,17
1.1,32,9,55,24
2.34,30,15,47,26
2.07,36,19,56,37
2.55,12,14,48,57
3.05,48,10,46,53
2.06,8,12,7,58
4.01,7,17,31,61
3.38,39,2,52,37
2.19,30,21,3,4
3.76,35,18,23,28
3.14,16,3,34,17
1.34,3,12,36,13
1.56,27,22,37,16
3.5,19,3,0,28
4.11,43,7,36,60
4.76,17,14,13,19
3.74,28,17,1,30
1.68,46,12,32,19
2.96,24,13,29,23
3.37,44,15,22,17
3.3,32,11,7,5
3.28,28,21,58,35
1.9,27,21,22,2
4.46,26,20,29,45
4.95,45,7,36,14
3.44,13,21,29,55
2.83,0,8,34,38
4.93,33,4,21,22
3.43,42,2,10,43
3.64,5,7,27,13
2.43,5,21,25,2
3.34,25,6,44,36
2.24,18,8,36,45
4.86,16,6,5,9
4.15,22,8,12,34
4.62,11,5,10,44
2.8,2,10,32,61
1.03,40,16,15,38
2.22,39,6,54,45
3.5,41,12,19,53
2.54,47,16,20,59
2.92,33,6,12,51
4.79,2,22,22,31
3.7,0,22,59,45
3.79,34,1,9,0
4.39,36,13,59,22
1.16,34,9,14,56
1.33,21,14,17,2
3.64,22,9,8,59
3.22,8,7,15,27
1.37,26,17,29,57
1.69,32,22,41,44
3.36,11,15,17,19
2.01,20,20,32,7
2.41,31,19,30,33
4.66,19,4,31,40
3.53,31,8,55,54
2.15,27,11,55,50
1.82,42,11,37,1
4.93,3,5,35,20
3.49,8,4,36,60
4.58,20,3,57,19
4.98,44,6,5,29
2.6,5,0,16,36
1.48,1,7,58,4
2.2,3,17,2,57
3.31,38,20,53,28
2.53,10,18,6,35
4.77,25,10,43,50
2.22,42,13,6,20
