bin,item
0,146
0,31
0,172
1,6
2,163
2,87
2,125
2,123
3,33
4,19
5,170
6,126
7,78
8,114
8,64
8,117
8,18
9,186
9,187
10,80
10,77
10,195
11,183
11,180
12,162
12,159
13,16
13,166
14,12
15,158
16,8
16,91
16,5
17,48
17,71
18,20
19,169
20,70
21,174
21,88
22,121
23,97
23,177
24,155
24,157
25,0
25,102
26,184
27,35
28,89
29,36
29,149
30,194
30,42
31,38
31,182
32,43
33,190
34,14
34,15
35,118
35,152
36,13
36,122
37,4
37,144
38,105
38,82
39,112
40,56
41,54
42,109
42,47
43,143
43,145
44,93
45,57
45,138
46,139
46,133
47,99
47,67
48,111
48,69
49,50
49,176
50,107
50,161
51,17
51,81
51,108
52,141
52,113
53,94
53,86
53,32
54,154
54,85
55,173
55,21
56,167
56,178
57,40
58,153
59,37
60,45
60,44
61,30
61,164
62,136
62,131
63,74
63,120
64,185
64,104
64,96
65,171
65,151
66,188
66,29
67,135
67,198
68,60
68,3
69,1
69,90
70,65
70,168
71,55
71,2
72,28
72,129
73,83
73,127
74,11
74,52
75,124
75,119
75,59
76,73
76,22
77,189
77,7
78,150
78,51
79,191
79,160
80,128
80,140
81,34
81,179
82,110
82,132
83,196
83,46
84,193
84,75
85,49
85,100
86,116
86,66
87,197
87,199
88,9
88,134
89,95
89,137
90,181
90,192
91,103
91,39
92,165
92,63
93,58
93,84
94,156
94,26
95,27
95,62
96,92
96,147
97,106
97,68
98,53
98,79
99,61
99,24
100,41
100,23
101,175
101,142
102,130
102,115
103,10
103,76
104,25
104,101
105,72
105,148
106,98
