bin,item
0,143
0,121
1,159
1,85
2,183
2,14
3,115
3,160
4,37
4,47
5,154
5,101
6,140
6,173
7,76
7,108
8,199
8,25
9,187
9,11
10,8
10,21
11,105
11,128
12,88
12,19
13,166
13,111
14,171
14,117
15,194
15,113
16,176
16,162
17,103
17,98
18,75
18,89
19,109
19,198
20,172
20,46
20,49
21,66
21,58
22,2
22,177
23,169
23,63
24,79
24,135
25,149
25,71
25,28
26,137
26,180
26,33
27,45
27,72
27,158
28,26
28,39
29,186
29,136
30,192
30,185
30,120
31,56
31,5
32,150
32,77
32,43
33,145
33,34
33,114
34,163
34,35
34,78
35,48
35,127
35,30
36,129
36,52
36,102
37,4
37,15
37,40
38,1
38,126
38,7
39,138
39,74
39,147
40,27
40,90
40,41
41,65
41,29
41,196
42,32
42,57
42,87
43,42
43,92
44,60
44,31
44,67
45,22
45,107
45,81
46,0
46,9
46,178
47,148
47,61
47,179
48,151
48,59
48,36
49,167
49,68
49,123
50,6
50,175
50,51
51,182
51,191
51,165
52,141
52,142
52,131
53,73
53,122
53,156
54,164
54,18
55,188
55,96
55,91
56,134
56,10
56,132
57,155
57,38
58,106
58,174
58,125
59,94
59,93
59,197
60,82
60,3
60,16
61,130
61,152
61,153
62,55
62,70
62,80
63,12
63,83
63,84
64,190
64,110
64,95
65,112
65,146
65,193
66,54
66,86
66,64
67,161
67,69
67,184
68,118
68,116
68,133
69,124
69,157
69,50
70,13
70,181
70,17
71,139
71,144
71,44
72,170
72,62
72,195
73,53
73,23
73,99
74,97
74,20
74,100
75,104
75,189
75,24
76,168
76,119
