volume,class_1,class_2
37,0,9
29,0,7
28,0,7
39,0,9
42,0,8
47,0,7
32,0,7
33,0,6
45,0,3
34,0,5
38,0,3
43,0,3
43,0,5
37,0,5
34,0,6
47,0,8
47,0,6
40,0,2
25,0,4
49,0,0
32,0,3
47,0,5
39,0,4
43,0,8
30,1,8
34,1,4
28,1,6
25,1,2
33,1,1
34,1,3
28,1,9
45,1,1
46,1,8
42,1,6
38,1,0
38,1,5
40,1,5
34,1,6
34,1,4
25,2,8
50,2,2
40,2,4
41,2,0
50,2,6
43,2,6
28,2,6
29,2,8
45,2,9
33,2,6
32,2,8
29,2,3
48,2,3
32,2,5
39,2,0
32,2,7
47,2,0
44,2,0
27,2,1
50,2,7
49,3,2
44,3,7
25,3,6
25,3,1
50,3,0
35,3,4
31,3,1
29,3,9
42,3,0
29,3,8
41,3,1
49,3,0
29,3,1
29,3,7
32,3,2
35,3,3
32,3,6
35,3,5
38,3,3
36,4,4
39,4,0
38,4,3
31,4,0
43,4,4
50,4,6
40,4,2
29,4,7
25,4,7
44,4,2
37,4,6
43,4,9
30,4,7
33,4,0
28,4,7
34,4,9
34,4,2
29,4,5
25,4,8
42,4,9
33,4,6
44,4,2
50,4,5
42,4,9
43,4,8
34,5,8
46,5,2
45,5,9
28,5,3
31,5,7
46,5,6
37,5,1
35,5,1
44,5,0
32,5,9
44,5,3
38,5,1
35,5,1
40,5,0
28,5,1
28,5,2
31,5,5
42,5,7
42,5,5
48,5,4
45,5,9
27,5,1
38,5,6
33,5,8
32,6,8
38,6,0
32,6,3
48,6,3
31,6,4
49,6,9
50,6,5
33,6,8
32,6,7
47,6,9
36,6,4
38,6,1
40,6,0
38,6,5
40,6,5
45,6,5
47,6,0
44,6,9
42,6,7
44,6,7
48,6,2
48,6,1
37,6,4
27,6,3
32,6,4
38,7,8
45,7,0
25,7,8
34,7,1
26,7,0
29,7,5
43,7,6
47,7,6
30,7,3
45,7,4
31,7,7
43,7,5
50,7,9
29,7,9
49,7,4
36,7,5
45,8,2
25,8,8
34,8,4
40,8,4
34,8,1
40,8,2
38,8,2
50,8,1
29,8,7
39,8,2
42,8,2
40,8,9
35,8,9
27,9,2
26,9,6
37,9,8
46,9,1
40,9,4
47,9,3
27,9,4
31,9,5
42,9,9
40,9,3
30,9,7
25,9,8
50,9,3
27,9,0
46,9,1
48,9,2
48,9,4
26,9,2
44,9,3
