volume,class_1,class_2
39,0,4
47,0,7
49,0,0
45,0,2
39,0,5
43,0,0
66,0,9
66,0,2
67,0,1
42,0,7
67,0,4
41,0,4
70,0,4
60,0,9
40,0,2
46,0,7
46,0,3
72,0,2
65,0,4
49,0,0
54,0,6
42,1,8
55,1,2
75,1,5
58,1,4
75,1,5
47,1,8
61,1,9
65,1,1
72,1,6
69,1,6
55,1,4
59,1,4
60,1,1
64,1,7
67,1,4
40,1,8
49,1,4
63,1,3
47,1,8
39,1,8
38,1,2
71,1,2
44,1,5
38,1,9
41,1,3
73,2,4
42,2,9
68,2,5
39,2,0
62,2,2
43,2,7
55,2,5
67,2,2
61,2,0
53,2,6
75,2,4
37,2,2
52,2,1
46,2,9
75,2,7
38,2,8
66,2,6
71,2,9
65,2,3
57,3,0
41,3,8
71,3,5
61,3,7
50,3,3
59,3,3
67,3,9
37,3,5
40,3,3
45,3,8
43,3,1
57,3,9
58,3,4
71,3,4
39,3,3
66,3,6
52,3,6
69,3,3
58,3,4
48,3,1
75,3,6
49,4,7
50,4,7
60,4,5
69,4,6
58,4,8
41,4,1
62,4,9
60,4,9
42,4,7
66,4,6
42,4,8
55,4,5
67,4,9
49,4,3
46,4,7
61,4,1
45,4,6
48,4,4
64,4,9
49,4,9
61,4,0
73,4,4
75,4,3
48,4,1
75,4,5
37,4,5
51,4,5
44,4,2
64,4,8
68,4,4
42,4,3
55,5,8
71,5,1
70,5,5
42,5,8
45,5,9
74,5,0
70,5,4
51,5,1
64,5,3
75,5,6
61,5,6
67,5,7
53,5,6
64,5,9
43,5,0
37,5,2
44,5,3
48,5,3
71,5,3
70,6,3
51,6,8
69,6,7
63,6,7
39,6,6
47,6,3
62,6,2
75,6,7
64,6,1
65,6,1
73,6,2
74,6,0
43,7,2
71,7,7
43,7,5
72,7,5
73,7,8
71,7,7
66,7,8
57,7,8
39,7,2
38,7,4
53,7,9
38,7,8
67,7,2
68,7,9
63,7,0
49,7,1
70,7,0
62,8,0
37,8,2
55,8,8
42,8,6
66,8,1
58,8,3
40,8,2
56,8,0
51,8,1
63,8,1
73,8,5
50,8,6
63,8,2
74,9,8
60,9,7
66,9,6
70,9,0
71,9,1
61,9,0
72,9,7
71,9,0
61,9,7
58,9,0
50,9,6
68,9,9
52,9,0
60,9,1
49,9,5
54,9,5
50,9,9
66,9,1
66,9,6
60,9,0
75,9,3
75,9,5
