volume,class_1,class_2,class_3,class_4,class_5
1.34,13,0,25,10,1
3.35,18,2,15,2,7
4.62,8,3,16,7,6
3.33,4,3,7,8,6
4.38,4,4,7,8,4
3.26,11,4,8,8,2
2.64,12,5,21,6,4
1.84,0,5,14,3,0
2.17,12,1,24,9,4
3.96,6,2,3,9,4
3.85,18,2,3,14,0
2.84,1,6,17,11,2
3.31,12,3,1,13,0
2.32,15,2,12,4,5
2.26,8,5,13,12,6
4.32,10,0,10,9,5
2.53,16,4,18,3,6
1.0,16,0,25,1,2
3.22,19,5,13,0,3
1.1,7,1,19,6,1
2.01,11,6,1,12,0
3.07,10,5,17,5,0
2.32,11,2,7,9,8
1.48,19,3,1,0,1
3.07,7,5,16,12,8
2.63,2,1,1,14,4
4.22,5,0,14,16,6
1.37,19,3,12,15,2
3.74,15,3,22,5,0
2.09,4,0,19,17,1
3.26,14,1,11,10,6
4.05,5,2,21,5,4
4.12,13,5,25,8,4
2.88,12,5,6,17,1
3.33,1,2,6,11,1
3.91,17,5,4,9,2
3.87,12,5,24,5,7
3.18,0,0,11,4,0
2.67,6,5,19,2,1
3.39,18,5,25,4,8
3.78,4,2,12,9,4
1.73,17,0,7,15,8
4.24,0,4,2,10,3
4.97,16,3,11,14,4
2.29,18,3,21,0,5
4.06,15,0,7,7,7
1.21,5,6,14,2,1
2.58,17,5,7,1,4
4.03,8,5,13,0,7
1.76,14,2,0,4,1
4.61,3,6,7,10,6
3.67,15,0,15,3,0
3.12,4,0,21,11,1
3.73,6,3,24,13,3
1.24,15,2,15,5,5
2.63,0,1,2,1,8
3.14,6,4,6,14,3
4.88,0,5,5,1,2
1.18,18,0,7,17,6
1.79,18,2,13,16,5
3.86,8,2,8,11,4
3.76,2,4,23,15,3
1.46,2,3,3,4,6
1.23,19,0,12,0,8
2.98,9,6,3,11,7
1.15,13,2,14,12,6
4.65,9,3,8,3,0
4.85,4,5,10,12,0
2.97,6,5,5,9,5
2.16,15,4,21,2,7
2.92,2,5,15,2,5
