volume,class_1,class_2,class_3,class_4,class_5
2.29,8,7,3,19,1
3.31,10,0,2,27,5
2.61,12,17,6,29,4
1.61,1,2,17,30,6
2.43,2,8,16,8,10
3.85,17,22,13,19,9
4.5,7,10,7,19,9
1.18,5,23,2,15,13
4.73,11,10,15,12,10
2.65,9,23,18,29,5
2.45,0,6,11,0,13
2.02,0,23,9,26,3
3.87,2,5,7,27,4
3.76,16,1,18,4,2
3.58,9,10,18,31,4
2.77,18,17,13,5,10
3.31,1,21,13,33,8
1.82,9,1,1,24,10
1.56,21,14,8,32,2
4.52,10,4,2,12,3
2.83,1,15,7,6,9
2.51,1,2,15,10,5
2.49,7,18,5,17,9
4.93,21,14,5,2,7
2.49,0,18,13,27,9
2.14,19,14,18,10,14
1.05,7,18,4,8,12
1.04,22,8,4,5,14
2.91,20,11,11,15,7
1.99,18,3,2,27,11
1.98,0,14,3,4,0
4.2,9,13,17,8,4
3.58,1,22,13,20,1
4.94,0,18,1,16,2
1.8,13,5,6,12,8
2.69,18,6,11,30,11
4.75,19,7,0,19,10
4.01,23,10,8,30,9
3.78,5,11,15,9,8
3.8,15,1,3,26,5
4.54,23,1,11,1,9
4.95,15,5,2,1,12
2.54,19,13,2,3,13
1.33,4,0,7,19,6
3.9,9,11,3,26,0
3.49,13,5,18,22,11
4.88,20,13,0,28,0
2.66,20,20,16,14,5
1.6,9,2,1,14,7
2.06,18,0,2,8,10
3.65,1,3,2,2,12
1.73,13,15,18,9,0
1.17,17,23,11,25,2
4.26,13,21,18,28,6
2.51,22,14,10,22,14
4.02,17,9,10,4,10
3.03,9,19,11,29,2
4.44,10,10,14,30,4
2.11,5,3,8,20,9
3.05,3,1,9,31,4
4.11,9,18,2,8,6
4.19,2,17,12,0,3
4.19,2,6,10,8,14
4.96,20,11,8,1,0
4.91,5,22,13,0,4
4.14,20,6,17,0,0
2.05,4,17,9,24,4
4.6,13,10,6,1,7
1.98,12,9,1,9,7
4.84,23,12,15,5,3
2.86,19,19,4,23,13
2.81,20,23,12,25,4
3.92,15,10,6,32,2
1.62,22,18,17,3,7
4.04,18,17,7,26,13
3.41,19,8,3,11,5
1.48,11,19,15,19,1
2.45,9,9,1,27,13
4.76,0,18,9,21,7
2.29,16,14,1,17,11
4.81,20,2,9,2,10
3.42,12,15,5,16,12
1.05,17,8,15,5,1
1.34,5,9,12,6,11
1.62,3,9,0,12,2
1.85,12,23,6,20,10
2.51,1,10,10,27,4
3.97,14,15,10,32,6
3.47,0,13,11,19,11
3.94,17,12,8,24,2
2.32,8,23,2,20,1
3.27,15,8,15,9,8
4.69,0,9,7,3,5
2.85,9,20,10,31,10
