volume,class_1,class_2
48,0,8
46,0,9
38,0,19
37,0,15
45,1,22
43,1,15
25,1,14
42,1,18
31,1,6
47,2,4
33,2,0
40,2,4
29,3,10
34,3,0
34,3,5
37,4,5
37,4,10
35,5,19
38,6,17
40,6,4
40,6,1
37,6,20
25,6,12
47,6,22
33,7,3
30,8,24
33,8,14
29,8,2
36,9,3
38,9,19
49,9,7
41,9,7
30,9,2
30,10,18
37,11,2
35,11,23
47,11,1
28,12,18
43,12,23
28,12,7
33,12,18
36,13,6
35,13,21
49,13,14
46,13,9
47,13,11
29,13,1
30,13,24
26,14,6
46,14,8
38,14,2
49,14,17
36,15,4
28,15,17
45,16,15
31,16,2
35,16,13
48,17,6
43,17,20
41,17,3
47,17,13
34,18,14
35,18,19
42,18,12
25,18,9
25,19,2
32,19,9
28,19,16
40,19,22
32,19,10
35,19,21
44,19,11
43,19,13
40,19,20
31,20,22
25,20,6
41,20,6
49,20,23
39,20,21
34,21,14
46,21,0
40,22,19
37,23,3
42,23,6
25,23,22
38,23,16
40,24,21
25,24,5
29,24,21
28,24,12
49,24,11
28,24,18
41,24,10
27,24,13
36,25,10
42,25,4
49,25,24
43,25,17
47,26,0
25,27,15
32,27,12
42,27,1
46,27,20
46,27,14
44,28,9
39,29,24
39,30,8
30,31,11
28,31,1
32,31,18
41,31,3
26,31,18
39,32,5
49,32,15
32,32,22
29,32,4
46,33,1
38,33,18
25,33,15
35,34,5
31,34,12
42,35,10
36,35,10
46,35,8
49,36,0
28,36,23
31,36,1
34,36,24
46,36,0
25,36,7
44,36,16
43,36,7
49,37,16
46,37,11
44,37,17
27,37,17
47,38,4
25,38,20
38,38,8
50,38,20
28,38,24
31,38,17
43,39,16
25,39,15
42,39,11
34,39,3
28,39,8
44,39,5
44,39,17
29,40,20
36,40,13
39,40,13
42,40,9
32,40,10
27,40,3
35,41,21
39,41,4
28,41,20
40,41,9
48,41,0
50,42,1
27,42,14
49,42,12
38,42,21
49,42,11
49,43,2
28,43,12
47,43,23
30,43,5
32,43,15
28,44,7
38,44,7
42,44,22
49,44,23
50,45,22
33,45,7
38,45,11
46,45,23
27,45,0
49,45,8
47,46,3
25,46,8
46,46,23
35,46,16
41,46,12
46,46,14
29,46,19
46,47,19
26,47,24
43,47,16
50,47,13
29,47,2
38,47,24
47,47,13
48,47,5
42,48,6
31,49,9
30,49,21
43,49,16
42,49,19
