volume,class_1,class_2,class_3,class_4
4.1,4,17,11,14
3.81,6,10,10,0
2.88,1,21,11,12
1.06,8,15,2,17
4.82,0,11,9,14
3.41,4,16,6,2
3.89,10,7,13,2
4.55,2,12,11,4
3.09,4,4,12,17
3.92,6,21,11,15
3.97,5,8,5,7
1.57,11,15,11,13
2.32,0,17,2,0
1.47,4,18,12,12
3.22,10,13,9,17
1.84,1,17,13,14
1.88,0,2,13,7
4.46,0,8,6,8
4.99,10,4,4,14
4.17,1,9,10,4
2.6,8,8,5,1
2.5,2,13,13,11
3.9,9,18,2,3
3.63,0,10,16,8
4.1,0,4,5,3
1.03,12,7,15,8
4.31,6,13,10,13
3.51,0,17,17,12
3.49,11,20,0,3
4.52,12,11,16,3
4.21,11,16,2,7
3.86,11,10,8,15
1.38,1,13,17,6
2.58,1,9,0,11
2.5,10,3,10,18
2.69,4,9,12,1
1.86,3,8,15,11
3.96,11,11,6,1
2.69,7,18,12,4
1.83,11,16,8,4
2.62,5,18,5,7
1.29,12,4,13,4
3.39,5,7,1,5
3.21,4,11,1,13
4.43,7,13,8,6
1.72,0,0,4,9
2.86,4,8,1,8
2.63,0,16,10,6
1.74,5,1,13,13
1.72,8,6,9,4
2.35,7,2,2,6
2.62,7,6,12,1
3.48,10,14,4,3
3.73,7,13,3,18
4.11,7,3,12,16
3.57,4,16,10,17
4.65,12,20,4,3
1.77,11,19,3,16
3.12,3,5,1,1
1.76,5,1,3,13
3.95,7,7,4,17
2.53,8,19,13,12
2.99,9,18,12,14
4.01,12,9,16,12
3.49,12,10,15,18
2.35,6,12,2,17
2.78,9,17,11,13
3.39,6,8,13,0
1.56,1,13,15,9
4.71,0,20,11,12
2.76,4,8,15,2
1.39,10,3,9,16
2.58,6,11,1,3
3.4,11,8,8,16
3.07,0,18,7,16
1.31,9,16,6,1
4.29,3,5,1,8
1.87,8,0,12,8
4.05,1,19,6,4
1.98,7,9,14,18
4.41,9,11,8,7
2.49,2,9,4,4
1.9,1,18,14,9
1.84,4,10,14,19
2.3,1,17,5,6
2.0,11,8,15,0
3.1,11,11,11,3
3.77,1,20,8,6
3.45,0,18,12,13
2.33,10,8,6,11
1.01,6,8,8,19
2.9,10,7,8,5
2.47,7,10,10,14
2.62,1,9,0,1
3.93,12,15,3,12
2.22,6,4,1,16
1.29,12,18,10,1
3.76,10,4,11,9
2.24,11,18,13,16
1.87,9,8,3,14
1.52,1,11,4,18
2.2,0,16,5,16
2.11,5,12,10,18
1.33,9,10,3,8
3.68,9,10,0,10
1.71,7,17,11,7
3.46,1,12,14,10
4.63,11,4,10,5
1.67,8,0,2,13
4.32,10,21,1,4
4.03,5,12,0,2
4.46,10,6,16,7
4.64,2,1,5,11
1.63,0,7,8,1
4.49,5,7,2,14
4.37,5,1,4,5
1.96,3,8,0,19
1.28,8,10,5,18
1.3,5,18,1,7
3.75,7,11,9,17
2.29,1,4,14,3
4.45,10,12,7,19
4.52,9,5,6,19
3.42,9,11,7,18
4.39,9,19,0,13
8.75,2,19,0,10
7.23,3,5,11,15
8.06,6,6,14,6
7.28,8,20,14,0
9.56,9,10,6,5
7.89,5,10,14,1
9.39,4,4,0,1
9.06,10,18,15,6
8.33,7,5,16,1
7.01,5,10,4,15
5.11,8,10,5,6
8.09,5,19,7,10
7.33,8,20,15,9
9.73,0,14,9,10
8.19,11,10,13,9
6.92,2,7,12,10
5.64,11,2,12,11
5.71,11,13,3,17
9.02,5,8,15,17
7.7,6,9,1,12
5.87,3,3,13,13
