volume,class_1
116,0
130,0
14,0
15,0
13,0
37,0
150,0
31,0
26,0
119,0
24,0
143,0
133,0
11,0
117,0
124,0
112,0
133,0
137,0
22,0
130,0
21,0
147,0
132,0
126,1
18,1
7,1
37,1
141,1
17,1
35,1
6,1
149,1
127,1
148,1
135,1
149,1
3,1
18,1
20,1
130,1
4,1
22,1
119,2
148,2
14,2
23,2
132,2
25,2
12,2
22,2
138,2
22,2
143,2
125,2
28,2
132,2
9,2
35,3
118,3
24,3
31,3
13,3
115,3
3,3
5,3
4,3
33,3
128,3
14,3
23,3
35,3
149,3
19,3
2,3
118,3
9,3
139,3
20,4
17,4
24,4
14,4
3,4
136,4
130,4
3,4
17,4
20,4
117,4
123,4
15,4
14,5
14,5
142,5
2,5
20,5
142,5
32,5
124,5
15,5
114,5
35,5
138,5
142,5
121,5
24,5
114,5
114,5
112,5
35,5
149,5
121,6
37,6
120,6
122,6
29,6
125,6
29,6
122,6
136,6
15,6
19,6
37,6
7,6
36,6
149,6
6,6
120,6
1,6
134,6
145,6
149,6
15,6
35,6
125,6
128,6
142,6
133,7
25,7
120,7
147,7
133,7
141,7
132,7
149,7
14,7
136,7
7,7
147,7
16,7
122,7
148,7
36,8
143,8
131,8
132,8
11,8
113,8
33,8
137,8
1,8
4,8
17,8
16,8
132,8
142,8
35,8
1,8
4,8
120,8
25,8
31,8
143,8
133,9
144,9
146,9
12,9
27,9
138,9
4,9
21,9
5,9
112,9
29,9
32,9
19,9
36,9
143,9
146,9
115,9
119,9
28,9
8,9
146,9
35,9
115,9
33,9
127,9
118,9
15,9
