bin,item
0,144
0,83
0,48
0,237
1,32
1,42
1,6
1,132
1,155
1,158
2,72
2,229
2,27
2,25
2,20
3,94
3,71
3,162
3,112
4,120
4,14
4,109
4,90
5,36
5,22
5,124
5,19
5,77
5,69
63,227
63,97
63,67
63,62
63,147
63,85
63,215
63,13
64,181
64,55
64,183
64,137
64,238
64,245
64,9
64,0
64,125
65,150
65,164
65,193
65,126
65,241
65,59
65,151
65,244
66,175
66,219
66,222
66,35
66,211
66,185
66,51
66,135
66,1
67,187
67,118
67,107
67,129
67,110
67,173
67,23
67,231
67,171
68,190
68,21
68,230
68,86
68,163
68,161
68,212
69,145
69,7
69,139
69,138
69,17
69,188
69,189
69,176
69,208
70,157
70,3
70,143
70,225
70,76
70,122
70,131
70,15
70,18
70,10
71,103
71,89
71,63
71,82
71,224
71,221
71,174
71,34
71,39
72,228
72,56
72,105
72,154
72,210
72,213
72,236
72,53
72,57
73,249
73,80
73,168
73,64
73,33
73,203
73,43
73,156
74,243
74,191
74,148
74,205
74,130
74,70
75,182
75,248
75,206
75,180
75,116
75,54
75,146
75,108
76,214
76,37
76,234
76,242
76,119
76,60
76,31
76,133
77,68
77,29
77,178
77,179
77,142
77,4
77,195
77,165
77,115
78,186
78,91
78,66
78,92
78,26
78,217
78,98
78,5
78,141
79,104
79,46
79,79
79,93
79,87
79,149
79,50
79,113
79,201
79,81
80,78
80,88
80,153
80,41
80,196
80,216
80,200
80,49
81,136
81,117
81,106
81,95
81,198
81,30
81,52
81,140
81,47
81,169
82,152
82,114
82,28
82,246
82,220
82,96
82,247
82,65
83,84
83,99
83,58
83,235
83,199
83,204
83,44
83,74
84,207
84,38
84,61
84,134
84,8
84,160
84,197
84,101
84,167
85,209
85,170
85,218
85,166
85,192
85,184
85,24
85,128
86,45
86,2
86,75
86,177
86,240
86,233
86,172
86,12
86,121
86,11
87,102
87,111
87,232
87,123
87,202
87,194
87,127
87,100
88,226
88,239
88,40
88,223
88,16
88,159
88,73
