volume,class_1,class_2,class_3,class_4
1.33,8,1,6,45
4.72,6,8,12,19
3.34,12,10,19,0
2.56,20,6,4,1
4.07,20,11,14,1
1.07,11,5,6,10
2.89,2,11,8,3
1.12,23,6,3,20
4.37,19,13,5,10
1.1,18,1,6,33
2.65,14,0,0,23
1.83,4,12,15,3
4.37,20,2,16,24
1.33,2,13,2,25
2.82,7,2,7,28
2.63,2,13,5,20
4.97,13,5,7,14
1.88,5,9,4,5
1.46,1,7,4,33
3.71,23,5,18,22
1.17,20,2,15,46
2.88,13,11,2,45
4.55,18,5,1,32
1.25,23,5,3,8
1.81,0,4,19,19
3.03,14,11,9,23
5.0,19,5,7,43
3.05,13,3,16,36
1.61,4,10,16,44
3.29,16,9,3,1
4.75,0,7,7,42
2.64,4,13,1,9
2.53,9,13,9,36
2.14,18,11,3,25
3.73,8,11,16,0
1.43,7,9,0,16
3.05,22,8,4,15
3.73,17,4,4,31
2.46,9,0,15,17
2.81,23,9,21,36
1.72,17,1,4,30
4.79,7,7,21,26
4.16,11,11,1,20
4.73,21,11,5,27
2.67,13,8,15,15
3.65,14,4,10,8
2.55,22,6,20,3
1.69,7,4,11,8
2.27,6,4,18,6
2.59,4,7,1,38
4.25,10,5,14,35
2.9,4,10,18,10
2.53,3,10,6,10
4.55,10,12,11,41
2.11,7,8,20,5
3.95,4,8,20,46
3.86,5,9,5,47
4.6,18,8,12,46
3.76,1,5,6,1
1.11,13,9,19,2
3.2,6,9,2,38
4.46,0,5,6,14
4.98,6,3,7,17
1.8,23,6,4,38
4.93,18,11,13,10
3.94,9,5,15,34
4.22,9,4,0,20
3.07,3,3,6,29
4.23,0,3,21,8
1.03,0,12,5,45
3.59,19,3,17,30
2.32,22,4,5,31
3.44,11,11,1,36
2.26,23,7,9,24
2.23,23,7,3,11
3.56,11,11,1,25
1.24,0,11,16,26
2.43,18,2,19,0
3.66,16,8,7,17
4.01,13,4,2,16
1.5,20,13,3,18
3.52,9,5,10,23
3.02,0,1,8,11
3.17,6,11,3,28
4.37,20,9,16,25
2.65,4,3,8,28
4.34,13,7,19,2
3.27,22,10,8,35
3.45,14,12,0,13
2.26,3,4,11,37
2.4,22,3,2,42
1.71,20,8,6,3
2.76,15,8,15,12
1.26,19,6,1,26
2.19,19,7,16,13
1.68,2,7,3,16
2.16,10,2,8,26
1.54,12,9,1,16
3.18,12,4,6,24
4.14,2,9,19,6
2.53,8,8,10,48
3.87,6,1,4,38
4.09,11,7,10,17
1.82,13,13,18,12
4.11,11,9,0,5
1.88,19,7,16,34
4.53,15,2,20,5
4.39,4,8,1,35
3.51,1,7,10,7
1.44,18,12,13,27
3.56,9,9,0,47
4.77,15,3,4,3
3.72,12,9,11,24
4.84,20,11,5,9
3.46,18,2,2,10
4.78,9,1,8,26
2.44,22,5,21,1
1.13,13,13,13,23
3.62,8,10,14,5
1.2,17,12,9,11
3.82,22,1,19,11
4.11,9,8,12,19
2.71,5,11,14,2
2.21,5,10,14,31
2.13,13,3,8,17
6.8,12,1,19,17
7.48,9,4,8,36
8.9,10,3,7,27
9.06,7,1,14,45
6.04,14,4,2,10
6.83,9,12,11,8
8.49,17,0,5,3
6.72,22,6,21,37
7.09,4,5,10,27
6.09,16,3,9,45
7.96,12,5,18,48
6.21,16,3,6,44
5.83,7,1,7,23
9.54,1,2,1,11
9.61,11,2,20,15
6.2,3,4,2,31
8.11,23,6,12,43
6.49,7,1,3,45
8.22,4,12,20,44
9.14,4,5,20,27
8.68,15,4,4,40
7.59,4,4,19,33
7.46,11,11,8,19
7.71,2,13,19,34
6.2,23,3,2,23
8.96,21,4,16,19
7.56,9,4,16,44
8.95,21,6,16,18
7.68,10,1,18,48
5.92,11,3,13,1
5.03,18,8,20,2
7.97,23,2,9,21
6.77,7,8,0,43
6.49,16,4,12,2
6.66,15,0,5,9
9.82,20,1,8,0
6.85,8,4,20,24
7.13,8,12,21,19
7.42,4,10,10,14
5.44,12,4,5,2
6.2,11,9,1,14
9.23,17,0,11,32
7.95,1,0,10,45
8.35,15,11,15,37
7.57,6,5,20,16
6.16,8,8,17,39
7.86,5,4,8,6
7.8,12,6,8,25
5.23,3,13,12,41
8.65,12,13,14,20
8.58,0,3,4,10
9.38,13,10,6,32
6.42,9,11,5,22
6.49,8,3,16,37
8.81,20,10,6,7
6.4,3,5,7,35
9.36,21,13,1,46
8.11,17,4,1,18
5.4,17,3,4,28
8.11,23,5,3,48
6.29,15,12,7,28
7.29,14,4,9,19
7.67,17,12,20,29
7.79,12,4,7,11
6.43,7,7,10,45
7.82,14,3,10,38
6.67,11,13,16,5
5.81,23,13,20,48
7.74,7,8,7,33
8.36,5,7,1,15
6.67,23,2,2,25
6.58,12,6,17,1
7.5,3,0,18,1
8.24,17,13,3,45
5.64,20,6,15,11
8.03,12,6,6,30
9.92,1,2,16,10
5.4,10,9,9,15
8.92,9,8,2,26
7.78,16,1,21,16
6.78,20,6,10,37
9.84,22,3,15,20
6.28,6,7,2,40
8.49,22,13,19,47
5.55,9,13,8,7
7.76,18,1,17,32
8.51,5,7,7,40
5.75,23,2,21,40
5.57,5,0,2,38
8.09,4,6,11,6
8.57,13,11,1,2
7.81,9,9,1,14
5.8,11,7,11,39
9.42,17,0,10,16
7.82,9,3,10,12
8.31,16,2,21,2
9.86,1,13,11,36
6.3,9,2,5,31
5.32,5,13,14,42
8.39,16,1,0,35
7.5,12,0,13,28
9.11,9,11,20,39
5.94,13,6,19,18
6.02,13,9,14,19
6.09,18,13,5,7
