volume,class_1,class_2,class_3
4.58,50,83,62
3.74,51,37,69
4.39,3,1,4
1.06,19,30,63
2.02,55,57,26
4.08,70,31,5
3.47,54,54,63
4.75,66,83,3
1.25,53,28,27
3.36,65,2,62
4.53,69,85,10
1.17,40,33,33
2.22,18,4,53
4.48,62,26,37
4.03,60,4,28
4.69,32,34,63
3.16,28,46,14
2.64,61,79,46
1.21,3,32,58
4.31,0,77,46
2.82,60,92,66
1.2,36,73,7
2.71,1,68,49
4.1,16,14,7
2.98,42,34,62
4.3,57,33,41
3.29,33,73,26
2.39,40,37,80
1.02,70,27,39
3.25,1,38,65
4.96,36,71,5
2.93,18,78,11
1.39,71,1,9
3.93,67,30,0
1.86,61,29,17
1.37,67,56,70
2.49,60,62,53
4.09,33,52,35
3.03,45,48,9
4.15,6,68,25
3.18,64,11,50
4.93,68,28,47
2.18,46,74,69
1.07,10,5,63
4.19,73,81,25
4.07,65,20,2
1.97,17,9,39
1.57,9,6,25
1.07,3,40,49
4.59,1,4,72
1.0,3,21,26
2.29,31,60,74
4.59,31,51,68
4.42,37,49,77
3.7,72,60,61
2.79,48,23,80
2.73,51,72,30
3.11,29,46,64
1.34,0,86,70
2.26,10,91,12
1.5,60,87,31
4.66,9,45,81
3.32,3,45,46
4.22,58,59,53
1.55,46,0,43
4.11,10,32,25
4.51,16,34,46
4.48,20,68,33
1.11,8,73,37
1.4,1,55,65
1.51,6,42,22
2.26,41,1,57
2.74,48,23,50
1.07,63,76,35
4.56,5,18,29
1.92,51,81,36
2.67,58,83,6
4.64,40,34,1
3.2,51,77,8
3.02,60,2,2
4.78,10,2,3
3.58,74,31,21
3.59,57,69,60
4.95,32,82,68
4.13,44,70,7
2.56,19,75,14
4.13,42,24,1
4.73,72,81,74
1.58,33,45,65
1.62,10,1,17
4.78,55,65,75
1.5,29,75,21
4.97,0,57,28
2.94,31,35,1
4.15,8,43,11
3.59,58,14,73
1.01,55,92,34
1.54,74,20,36
2.23,24,55,21
2.47,66,66,79
2.1,8,43,65
2.61,67,54,1
4.16,53,78,77
1.08,6,87,75
4.2,38,12,50
2.82,41,50,81
3.21,8,63,8
3.8,34,83,56
1.99,27,46,54
4.41,27,46,14
2.72,26,91,71
1.78,68,87,11
3.77,4,33,35
2.78,56,52,34
4.58,20,12,38
3.14,6,40,43
1.09,57,45,50
4.32,11,82,80
4.22,71,27,45
1.11,68,35,8
1.11,56,42,3
4.96,70,45,9
2.06,45,52,23
3.97,31,79,48
2.71,65,61,2
4.36,33,37,20
4.02,64,29,25
2.05,60,71,59
1.72,35,85,31
2.03,70,79,29
4.85,44,32,8
4.65,56,53,60
2.94,38,37,51
1.53,21,31,52
1.87,72,55,47
3.8,53,92,25
2.57,32,17,26
2.05,45,56,74
3.49,15,46,14
2.7,25,33,15
1.05,29,23,3
2.88,0,30,69
4.14,34,44,49
4.6,45,29,33
4.97,63,74,3
4.95,35,54,35
2.79,1,73,69
3.4,13,74,76
4.57,22,71,61
4.87,2,8,47
2.87,61,43,7
4.62,71,21,43
1.07,6,51,34
4.39,9,37,22
1.36,69,35,37
4.69,74,1,42
1.56,64,23,49
3.21,26,35,25
4.98,43,87,36
3.72,9,83,65
2.84,10,59,43
3.74,59,6,26
3.0,57,11,34
2.45,22,2,16
1.7,39,62,23
4.95,49,3,50
4.68,36,73,47
1.54,17,62,54
2.44,3,31,21
3.99,19,1,41
2.69,57,38,29
1.56,55,51,19
1.33,15,37,42
3.14,74,38,52
2.97,8,41,22
1.63,44,20,72
4.92,36,49,54
2.19,61,42,17
4.68,56,16,5
1.43,43,13,13
2.83,46,87,16
4.79,25,30,47
1.45,48,31,18
3.25,66,85,7
2.68,20,26,9
3.39,17,65,69
3.63,47,3,0
2.81,64,29,64
1.98,0,7,43
2.27,59,72,33
4.22,68,31,61
3.88,4,44,9
4.66,13,75,80
4.74,18,61,31
2.42,6,25,80
2.41,25,60,40
4.01,57,12,71
3.93,40,8,79
2.59,32,71,25
2.12,15,79,74
3.57,1,40,18
3.4,16,34,70
3.85,15,32,58
2.23,48,50,45
1.76,28,55,48
3.42,65,64,54
4.64,24,88,4
3.01,5,86,4
2.38,71,2,4
1.75,8,86,8
2.03,59,64,7
1.04,35,56,44
4.4,51,68,71
2.92,29,21,47
3.44,72,32,7
2.63,48,30,39
4.21,34,37,73
2.92,13,74,53
2.73,52,89,26
4.15,11,40,26
1.73,21,47,56
4.73,27,87,48
4.06,61,73,53
1.14,27,76,51
3.34,4,68,65
2.88,24,59,22
4.8,47,67,32
3.14,55,4,23
3.19,11,40,53
1.5,62,48,79
2.09,13,50,22
2.53,24,47,38
4.96,72,52,21
3.09,39,2,23
2.02,29,42,40
2.43,16,39,7
2.23,8,59,3
4.78,33,69,12
1.49,15,20,58
4.18,1,15,9
3.56,5,81,80
4.16,45,76,44
2.3,54,1,17
1.5,30,38,74
2.2,41,21,50
1.79,72,42,12
3.67,64,24,57
3.64,61,73,59
3.48,56,86,46
4.16,46,6,16
1.92,54,27,51
3.66,22,25,59
2.36,62,0,44
2.04,50,63,14
3.03,29,79,43
2.64,70,32,20
3.94,29,64,2
1.97,31,79,67
2.61,35,89,64
4.98,45,19,38
3.54,57,0,70
2.78,65,63,66
3.36,71,68,11
4.56,73,73,70
3.14,61,62,79
4.26,69,91,14
1.85,0,87,8
1.7,65,35,43
3.31,59,86,63
1.67,64,83,31
4.77,48,33,78
2.36,50,46,75
3.31,42,8,69
2.36,69,19,59
4.54,37,91,26
1.37,46,53,73
2.15,6,82,81
1.95,32,63,10
4.41,49,33,30
1.14,50,18,38
4.47,12,44,12
4.14,13,13,18
1.31,18,58,21
4.17,39,36,61
2.63,55,0,43
2.35,32,35,33
1.26,17,79,69
1.48,66,80,0
4.25,19,49,22
1.97,53,70,20
2.54,2,45,44
2.12,37,15,4
2.34,10,12,8
2.99,28,39,31
1.52,35,63,81
3.17,30,62,51
4.9,71,2,15
4.07,15,31,10
1.81,16,22,6
4.63,24,85,33
2.76,26,91,7
1.88,54,49,81
4.43,28,73,18
2.39,33,77,2
3.58,14,56,33
3.23,7,80,9
3.38,41,50,76
4.48,13,91,74
3.65,14,48,17
4.83,8,22,44
1.28,6,58,43
1.23,60,5,53
1.09,68,49,25
1.44,59,78,32
1.4,50,59,65
3.78,49,51,51
2.9,54,85,14
3.16,51,6,69
3.96,7,39,24
2.56,64,45,61
3.3,45,43,76
2.41,11,45,54
3.56,1,50,55
2.91,5,30,74
2.6,36,13,33
1.74,34,31,40
3.62,45,82,21
4.85,30,90,62
1.63,34,57,18
2.27,48,90,1
3.05,70,59,60
2.46,65,45,34
3.35,64,33,46
4.15,55,46,71
2.49,52,12,0
3.5,31,70,27
