volume,class_1,class_2,class_3
6,0,13,13
112,0,4,2
20,0,9,24
14,0,10,19
34,0,21,16
19,0,8,14
28,0,11,11
36,0,8,7
36,0,22,9
16,0,4,1
148,0,22,15
142,0,3,5
133,0,9,13
142,0,7,19
12,0,14,0
143,0,5,8
129,0,4,20
12,0,12,10
114,0,10,11
9,0,10,8
145,0,12,13
118,0,4,9
118,0,16,10
36,0,3,24
130,0,21,19
9,0,8,12
36,1,9,0
17,1,21,20
131,1,20,7
36,1,18,4
128,1,22,23
113,1,23,19
115,1,15,11
37,1,2,21
116,1,13,10
146,1,15,6
20,1,16,16
119,1,11,21
22,1,17,22
115,1,21,24
34,1,21,1
126,1,5,12
125,1,24,2
14,1,15,2
21,1,4,11
18,1,1,4
35,2,2,13
26,2,22,0
37,2,14,10
146,2,14,9
22,2,16,18
23,2,19,8
120,2,17,5
115,2,24,4
148,2,10,10
147,2,15,3
12,2,7,11
132,2,0,12
135,2,0,8
1,2,22,8
129,2,21,15
33,2,6,8
119,2,11,17
16,2,22,14
124,2,2,11
33,2,15,2
27,2,3,18
119,2,12,22
18,2,2,21
7,3,17,15
31,3,11,24
143,3,9,5
36,3,10,3
121,3,14,1
121,3,7,1
128,3,24,7
19,3,19,24
37,3,5,23
5,3,22,3
32,3,18,19
10,3,20,6
133,3,13,13
123,3,21,9
130,3,0,0
12,3,0,3
17,3,9,3
7,3,19,14
149,3,11,14
119,3,2,2
125,3,24,3
32,4,7,10
120,4,15,7
142,4,24,8
112,4,2,24
14,4,24,6
10,4,16,20
142,4,13,17
139,4,23,0
117,4,23,3
143,4,8,18
136,4,13,14
124,4,6,1
37,4,16,14
4,4,24,18
3,4,23,4
37,4,17,0
22,5,6,9
25,5,17,17
36,5,6,6
144,5,8,4
20,5,8,9
11,5,1,6
4,5,3,0
150,5,10,15
121,5,3,11
113,5,12,5
18,5,5,7
26,5,4,10
141,5,20,15
118,5,10,11
11,5,12,12
26,5,13,21
16,5,19,23
139,5,0,5
34,6,4,19
117,6,6,21
120,6,7,16
9,6,18,22
144,6,8,15
141,6,0,18
29,6,16,12
136,6,5,21
15,6,16,14
26,6,19,22
32,6,14,6
126,6,17,6
2,6,12,5
36,6,12,19
8,6,20,18
28,6,17,3
131,6,18,21
32,6,5,22
4,6,8,23
144,6,2,4
114,6,23,17
25,7,14,20
11,7,11,2
15,7,11,21
137,7,3,10
123,7,12,4
127,7,18,15
29,7,21,15
121,7,13,20
25,7,13,17
137,7,1,1
10,7,15,16
116,7,22,5
132,7,23,17
7,7,18,22
28,7,1,20
35,7,19,7
150,7,6,13
16,7,0,24
141,8,11,7
122,8,20,23
133,8,5,17
125,8,5,24
114,8,20,16
114,8,20,23
145,8,1,22
124,8,4,9
30,8,7,12
121,8,17,1
24,8,18,8
19,8,9,18
128,8,23,5
15,8,18,16
22,8,1,23
23,9,24,4
122,9,9,17
33,9,14,14
145,9,6,0
135,9,7,2
29,9,19,16
29,9,19,6
29,9,3,1
122,9,14,9
30,9,9,7
9,9,6,12
126,9,2,22
7,9,10,20
22,9,7,13
123,9,15,19
13,9,1,16
26,9,0,2
148,9,3,20
32,9,23,23
13,9,1,13
35,9,20,18
149,9,16,12
