volume,class_1
17.3252,7
32.5157,10
2.6988,5
19.3138,4
32.2401,2
14.4682,8
18.5353,3
8.8977,4
0.6292,3
19.8674,3
38.6654,5
4.2847,1
4.0045,4
5.8688,1
11.3896,7
0.5828,1
16.9638,10
14.0776,9
7.2151,10
10.9435,5
16.6206,3
17.4679,6
8.39,4
2.0695,0
8.0378,5
23.1691,2
15.8248,5
18.2943,9
23.5771,4
17.8514,3
5.8086,5
1.4387,1
8.7676,8
6.1968,9
17.999000000000002,9
1.204,9
2.5097,1
3.9502,3
8.8902,3
3.1864,0
6.6855,3
2.2695,6
6.2022,1
13.1474,4
5.8231,8
14.6573,1
17.177,1
5.9691,0
8.908,10
5.8443,0
14.4353,4
4.6855,5
1.4161,7
3.5416,7
3.3275,2
13.8279,1
10.2389,8
23.2564,5
11.1688,1
33.5701,8
4.9218,10
0.4942,2
31.104,2
30.7826,2
36.9868,2
1.0909,5
2.1783,4
20.4989,1
30.6469,8
0.2419,9
6.2636,4
7.6486,2
18.6996,3
5.9727,2
9.4424,8
9.2699,0
29.5067,5
4.5694,9
26.2841,10
2.3129,8
3.239,3
2.1225,2
24.1709,4
5.3,6
6.8396,8
19.9334,2
14.8033,0
4.6225,10
4.3523,3
14.4938,4
9.5808,1
24.6596,10
25.8042,7
1.1887,6
21.0025,8
2.8947,4
8.8597,8
19.373,7
16.5633,8
2.2865,7
