volume,class_1,class_2,class_3,class_4,class_5
4.4,18,19,3,14,15
3.81,0,7,11,4,16
1.07,9,11,8,1,4
5.0,7,6,9,19,14
4.12,4,18,3,19,16
3.04,13,14,2,6,6
1.31,20,19,7,10,0
2.31,15,14,4,17,17
4.22,17,10,4,8,10
3.71,22,5,5,9,8
4.21,10,18,9,10,10
4.9,21,8,11,13,1
3.3,2,17,9,18,9
1.93,9,4,8,16,14
2.18,3,16,4,6,4
4.39,12,21,8,13,9
3.04,13,1,6,1,18
3.62,15,1,11,6,3
2.48,8,20,2,5,20
4.26,17,11,9,2,10
2.83,17,8,10,17,6
2.67,18,14,8,18,7
4.9,0,17,7,19,14
2.96,0,4,3,19,4
2.62,18,18,5,8,0
4.27,14,13,4,3,6
3.08,21,8,5,16,11
4.8,0,9,9,8,17
4.72,17,17,6,18,2
1.35,14,14,4,11,7
4.12,20,8,6,15,18
4.62,22,14,4,11,0
2.73,9,3,3,11,10
3.99,22,21,8,8,3
3.72,16,7,3,0,3
3.94,3,18,10,17,6
2.38,14,17,11,3,16
3.17,10,13,1,8,20
3.97,20,0,3,11,17
2.72,3,15,9,18,0
1.23,13,13,1,18,12
1.35,9,9,6,11,1
3.69,0,4,11,17,12
5.0,18,22,2,6,15
1.76,0,14,4,14,4
4.49,3,14,7,11,17
2.06,6,5,6,19,6
4.07,13,16,6,18,3
4.32,18,1,7,7,0
3.01,16,8,2,4,16
2.47,20,20,6,10,1
4.45,6,4,4,1,0
4.23,19,15,10,16,5
3.94,4,12,11,8,16
2.39,6,21,2,7,8
4.11,19,15,11,14,6
4.96,19,10,8,12,17
1.1,6,8,6,6,19
2.22,21,3,7,14,0
1.78,12,21,3,8,16
4.18,12,21,8,10,15
2.72,16,7,9,9,20
3.48,10,10,9,12,6
2.54,11,1,3,13,20
2.29,20,2,7,0,12
2.46,17,1,8,0,8
4.21,1,10,3,16,11
1.04,18,10,9,10,2
4.3,8,9,9,2,1
4.34,19,18,6,7,19
3.98,15,6,3,12,16
4.73,7,0,0,9,5
3.47,6,13,4,2,12
2.43,4,20,4,7,6
2.44,15,3,11,14,7
2.41,11,19,4,14,6
4.2,1,5,11,15,14
4.93,10,5,5,2,3
2.61,5,7,3,11,5
1.04,1,18,10,15,3
1.53,5,19,11,3,19
