volume,class_1,class_2,class_3
4,0,6,11
28,0,15,33
30,1,7,10
1,1,14,7
29,1,0,41
13,1,13,20
1,2,8,27
18,2,1,8
31,2,22,32
9,2,8,35
18,2,23,33
35,3,13,2
35,3,12,30
29,3,14,47
12,3,22,20
5,3,14,44
27,3,1,15
21,4,20,7
22,4,15,24
24,4,1,46
17,4,18,1
31,5,17,12
2,5,4,22
15,5,10,21
32,5,20,2
23,5,21,9
15,5,21,16
1,5,3,34
8,5,9,36
37,6,14,0
27,6,0,17
26,7,15,15
22,7,22,41
27,7,23,41
30,8,18,24
31,8,23,23
19,8,0,44
9,8,19,33
28,8,23,16
35,8,20,13
35,9,2,30
7,9,7,24
25,9,0,28
19,10,15,19
21,10,21,40
11,10,21,29
5,10,10,48
19,10,20,10
5,10,4,0
5,10,9,34
21,11,24,6
37,11,8,0
9,11,8,37
16,11,12,21
1,11,6,13
30,11,12,23
10,12,12,22
25,12,5,36
29,12,6,33
31,13,9,29
6,13,13,40
4,13,17,44
20,13,1,25
4,13,13,7
11,13,19,28
1,14,2,4
32,14,7,26
25,14,8,39
37,14,0,5
12,14,2,14
30,14,5,5
34,14,21,42
29,15,3,7
5,15,17,14
24,15,3,18
14,15,5,3
22,15,11,46
10,16,22,43
14,17,22,39
23,17,14,42
12,17,16,47
8,18,4,36
31,18,6,9
30,18,16,22
7,19,24,9
30,19,2,17
37,19,10,20
19,20,22,21
23,20,24,35
26,20,7,22
26,20,7,37
25,21,6,26
36,21,1,5
37,21,13,21
3,21,22,31
6,21,1,1
30,21,9,17
37,22,18,36
17,22,3,29
35,22,5,1
33,22,18,4
12,23,24,47
37,24,13,38
2,24,10,25
31,25,10,3
33,25,15,27
30,25,11,15
16,25,8,10
34,25,15,20
24,26,4,10
30,26,17,37
18,26,18,38
18,26,6,0
27,26,23,8
3,26,16,48
5,26,24,49
20,27,21,6
10,27,18,12
9,28,2,39
32,28,1,5
7,28,9,49
28,29,19,9
13,29,16,25
33,29,13,31
10,29,0,18
26,30,22,44
1,31,24,29
5,31,21,4
30,31,4,19
11,31,16,12
28,32,5,35
27,32,23,34
6,32,4,18
36,33,18,6
17,33,23,31
2,33,3,38
36,33,19,41
10,34,10,2
18,35,11,35
26,35,2,47
15,35,5,32
29,36,7,43
18,36,19,40
14,36,11,8
22,36,20,4
15,36,15,28
1,36,12,25
19,37,17,28
4,37,9,45
2,38,0,13
14,38,3,16
10,39,9,46
14,39,7,15
37,39,21,46
14,39,14,42
19,39,2,23
27,39,1,26
26,39,2,16
32,40,24,48
5,40,10,24
28,40,17,19
34,40,20,13
28,40,6,32
9,40,12,37
17,41,11,30
20,41,10,1
21,41,4,32
10,41,4,3
20,42,6,26
33,42,20,6
23,42,5,43
6,42,18,14
30,43,3,45
5,43,8,14
24,44,11,49
19,44,16,31
28,44,17,34
15,44,20,11
21,44,17,45
20,44,11,30
15,45,9,23
23,45,8,48
35,45,12,43
5,45,11,3
32,45,24,39
3,45,3,8
36,46,5,27
5,46,14,18
33,46,23,42
18,46,16,38
11,47,0,11
19,47,19,49
4,47,7,2
9,47,19,19
18,48,14,45
26,48,13,40
32,49,19,12
23,49,15,27
29,49,16,11
13,49,12,17
