bin,item
30,4
30,24
30,28
30,35
30,46
30,60
30,62
30,18
31,48
31,63
31,57
31,83
31,61
31,3
90,20
90,75
90,6
90,9
90,30
91,44
91,81
91,27
91,91
92,25
92,19
92,98
92,88
92,12
93,8
93,36
93,90
94,59
94,85
94,66
94,52
95,26
95,93
95,58
95,21
95,97
95,22
95,1
95,56
96,72
96,70
96,43
96,73
97,79
97,78
97,87
97,33
98,96
98,47
98,7
98,64
98,51
99,14
99,80
99,94
99,77
100,69
100,10
100,89
100,82
101,86
101,99
101,38
101,23
102,31
102,2
102,71
102,53
102,34
103,54
103,5
104,42
104,67
104,0
104,41
104,29
104,17
105,16
105,40
105,39
105,50
105,74
105,15
105,37
105,49
106,45
106,11
106,13
106,76
107,68
107,95
107,32
107,84
107,55
107,65
107,92
