bin,item
90,43
90,74
90,78
90,60
90,31
90,68
90,16
90,1
90,46
91,97
91,87
91,9
91,15
91,73
91,58
91,12
92,50
92,53
92,7
92,81
92,88
93,3
93,54
93,91
94,92
94,47
94,24
94,13
94,69
94,20
95,49
95,39
95,86
96,38
96,89
96,45
96,5
97,32
97,71
97,42
97,65
97,63
97,29
98,76
98,79
98,41
98,23
99,19
99,62
99,37
100,40
100,44
100,18
100,6
100,59
100,57
100,8
101,77
101,83
101,82
101,98
101,72
102,61
102,70
102,84
102,22
102,56
103,0
103,75
103,99
103,96
104,28
104,85
104,52
104,80
104,36
104,51
104,66
105,48
105,30
106,33
106,14
106,67
106,55
106,11
106,35
106,93
107,21
107,94
107,64
107,95
107,25
108,90
108,17
108,34
108,26
108,10
109,2
109,4
109,27
