bin,item
30,11
30,20
30,86
30,99
30,2
30,18
30,12
31,13
31,36
31,10
31,15
31,26
32,4
32,24
32,53
32,90
32,1
33,50
33,93
33,79
33,71
33,83
34,80
34,34
34,41
34,87
90,70
90,8
90,61
90,76
91,21
91,14
91,33
92,43
92,91
92,0
92,66
92,55
92,95
93,96
93,25
93,40
93,56
93,59
94,62
94,89
94,23
94,73
94,75
94,85
95,54
95,97
95,98
95,57
95,69
96,88
96,82
96,37
96,35
96,94
97,51
97,29
97,72
97,65
97,31
98,92
98,45
98,27
98,49
98,3
98,67
99,32
99,47
99,74
100,42
100,58
100,19
100,22
100,16
101,84
101,28
101,60
101,52
101,78
102,39
102,7
102,64
102,68
102,6
102,9
103,44
103,63
103,38
103,48
103,17
103,5
104,81
104,46
104,77
104,30
