volume,class_1
39,0
40,0
69,0
74,0
61,0
41,0
59,0
47,0
45,0
43,0
67,0
47,1
42,1
44,1
42,1
42,1
66,1
74,1
73,1
70,1
67,1
72,2
50,2
48,2
47,2
65,2
59,2
72,2
56,2
74,2
60,2
63,2
66,3
66,3
37,3
54,3
51,3
52,4
47,4
75,4
37,4
37,4
70,4
54,4
60,4
56,4
40,4
48,5
37,5
58,5
46,5
37,6
52,7
38,7
58,7
38,7
63,7
69,7
64,7
52,7
50,7
64,7
59,7
46,7
59,8
69,8
66,8
46,8
50,9
71,9
41,9
70,9
58,9
56,9
49,10
74,10
70,10
63,10
40,10
38,10
40,11
52,11
41,11
47,11
47,11
74,11
68,12
74,12
44,12
59,12
71,12
47,12
73,12
49,12
75,13
54,13
44,13
68,13
60,13
38,13
48,13
65,13
49,14
50,14
56,14
44,14
38,14
55,14
57,14
49,14
54,14
71,14
45,14
42,15
68,15
52,15
38,15
55,15
42,15
42,15
69,15
72,16
57,16
64,16
67,16
72,16
64,16
64,16
70,16
67,17
38,17
62,17
61,17
40,17
51,17
55,17
39,17
50,17
70,17
46,18
51,18
72,18
63,18
55,18
58,18
40,18
47,18
70,18
52,18
75,18
49,19
39,19
41,19
74,19
62,19
59,19
65,19
71,19
53,19
63,19
75,20
49,20
73,20
62,20
42,20
71,21
71,21
53,21
65,21
47,21
54,21
61,21
72,21
69,22
66,22
52,22
62,22
62,22
56,22
56,22
58,22
51,22
48,22
61,23
41,23
37,23
73,23
43,23
64,23
73,23
63,24
61,24
40,24
60,24
43,24
44,24
62,24
70,24
53,24
58,24
