volume,class_1,class_2,class_3
1.67,3,1,0
1.92,2,6,1
1.58,1,1,7
1.86,9,2,6
4.56,8,5,6
4.05,2,4,4
3.55,9,0,4
1.99,9,0,0
3.24,1,4,3
1.2,0,0,3
4.51,7,4,1
1.09,1,8,7
2.8,1,4,2
1.07,10,5,3
2.72,6,1,0
2.85,3,6,2
1.54,8,7,4
4.64,6,3,4
3.17,4,4,4
4.93,0,0,7
2.96,5,5,3
1.77,9,5,3
2.4,0,6,1
2.36,6,8,1
4.14,9,2,7
3.45,10,2,7
3.26,3,8,2
2.91,2,4,2
1.35,10,1,7
4.56,4,1,2
3.62,2,6,7
4.44,1,6,5
2.6,8,7,6
4.05,1,4,6
3.52,7,1,0
1.73,5,0,6
2.29,1,7,2
4.85,5,4,1
4.87,7,6,5
4.63,6,0,1
2.01,7,6,1
2.15,6,0,3
1.87,3,5,4
2.74,0,0,1
2.44,5,8,4
3.67,4,1,4
1.66,2,7,4
3.62,10,2,1
4.22,6,5,5
1.44,0,0,1
4.42,7,7,3
1.72,10,7,2
3.04,4,5,7
4.26,2,5,0
4.51,6,3,1
2.99,0,0,5
1.52,8,3,7
3.73,6,0,2
3.2,0,6,4
1.93,8,5,7
4.04,10,8,5
3.27,3,2,0
2.57,7,7,4
8.33,6,2,2
5.12,4,2,4
5.96,1,1,5
9.72,0,1,5
7.18,4,1,0
7.59,9,0,7
9.36,4,8,6
9.67,2,8,0
5.81,8,1,2
7.84,1,1,5
5.42,4,4,6
6.05,10,1,0
8.92,10,2,4
9.68,9,5,7
6.44,1,7,3
7.9,1,6,1
6.0,0,5,0
5.34,2,4,3
7.12,7,4,0
5.04,8,0,6
8.72,0,2,1
7.04,5,3,3
8.07,8,8,0
6.46,9,2,4
8.68,9,6,4
8.97,9,4,0
9.89,8,8,2
9.61,10,1,4
6.59,9,2,1
5.2,6,1,4
8.99,10,4,7
7.99,6,8,4
6.34,9,6,1
6.3,3,2,3
5.59,2,3,1
8.57,4,8,3
5.9,6,8,5
7.03,8,8,4
5.62,8,5,3
5.22,1,2,0
7.03,0,6,4
9.16,0,3,3
9.61,3,1,5
9.0,3,6,3
6.67,1,3,2
5.82,7,1,2
6.84,5,0,5
8.86,7,3,2
5.69,2,6,7
9.93,7,8,4
7.92,2,6,4
7.78,5,7,1
5.69,1,6,6
7.28,5,3,5
8.39,10,3,5
5.26,4,4,7
5.34,5,3,3
7.26,1,4,0
8.32,3,4,1
5.31,5,3,1
5.39,10,8,0
5.04,2,5,6
5.73,7,6,3
6.8,2,0,6
8.83,6,8,5
5.36,1,1,3
6.51,6,7,7
9.29,4,0,5
7.55,1,5,2
7.34,4,2,1
8.65,3,3,2
6.49,4,4,5
5.61,2,1,2
9.39,2,7,2
5.91,6,4,2
6.06,4,5,6
9.59,10,2,1
9.78,4,7,6
9.84,7,8,2
9.43,10,1,4
6.23,7,1,4
6.46,2,8,4
6.02,2,2,7
5.85,10,0,0
9.73,10,0,7
8.05,1,6,4
8.34,4,3,1
9.52,7,2,7
8.66,8,1,6
7.14,0,8,5
6.27,9,3,4
5.42,2,4,0
7.9,1,1,2
7.19,10,0,2
6.39,7,6,7
8.72,2,6,7
8.59,6,8,6
5.78,0,8,6
6.27,10,0,5
5.56,5,7,5
7.57,7,1,0
8.67,8,5,4
6.87,5,8,6
6.21,2,8,0
9.84,3,1,3
9.69,0,0,7
5.99,7,0,6
7.51,6,3,1
9.05,6,6,0
5.78,0,7,3
9.36,9,0,5
6.75,1,8,0
9.59,5,5,2
8.18,5,6,6
7.57,5,8,7
7.41,3,7,4
7.2,8,1,1
7.66,2,2,2
6.37,10,0,0
5.94,9,5,0
6.84,7,3,1
9.84,10,0,3
5.27,5,6,3
8.29,2,0,1
8.6,4,1,6
12.48,4,4,7
10.48,0,2,5
12.74,1,2,0
13.66,9,7,0
10.92,0,0,5
13.13,9,1,3
14.95,7,4,0
10.54,5,0,1
10.72,6,1,0
11.31,0,8,4
11.3,9,4,6
11.37,8,8,1
11.37,9,1,0
12.57,1,6,5
11.09,7,1,2
11.26,9,7,4
14.22,3,6,3
12.91,8,1,6
11.85,2,0,6
13.1,3,6,5
14.86,7,8,4
10.71,10,2,0
14.17,1,8,5
13.19,3,4,5
11.33,3,2,1
10.6,10,1,7
13.42,6,8,5
12.79,7,5,3
14.7,0,7,7
11.03,4,4,1
14.56,2,2,5
10.21,3,0,2
14.66,1,2,0
14.42,10,2,4
13.7,2,1,1
12.11,7,4,7
10.87,7,7,0
11.49,5,5,4
13.84,0,3,1
13.88,7,0,7
14.92,5,8,3
14.35,0,5,5
12.68,7,1,4
12.74,9,3,0
10.82,6,3,0
11.27,6,3,7
10.48,3,4,5
13.42,3,4,6
14.51,5,8,7
13.54,0,2,6
13.02,4,6,4
13.98,6,7,5
14.71,10,2,3
14.59,6,2,0
13.24,10,2,7
14.32,4,1,0
13.61,1,7,7
10.13,8,7,1
12.85,5,4,3
12.51,9,6,4
14.04,4,7,0
14.69,9,8,7
