volume,class_1,class_2
57,0,15
57,0,24
43,0,34
45,0,8
38,0,25
65,0,40
67,0,22
74,0,33
57,0,38
69,0,31
61,0,35
68,0,4
60,0,37
56,0,20
56,0,21
42,0,26
67,0,25
44,0,1
60,0,39
65,0,2
53,0,12
61,0,3
66,0,31
73,1,17
55,1,42
62,1,0
49,1,11
55,1,8
73,1,21
63,1,20
50,1,31
66,1,23
60,1,45
52,1,31
73,1,10
59,1,22
59,1,6
57,1,7
71,2,43
47,2,28
44,2,32
39,2,44
48,2,38
47,2,20
65,2,14
48,2,5
66,2,25
63,2,11
41,2,18
53,2,15
41,2,40
50,2,20
45,2,43
72,2,47
62,2,24
64,2,37
52,2,32
44,2,27
50,2,0
72,2,19
39,3,30
68,3,21
63,3,3
60,3,33
39,3,17
63,3,39
43,3,12
45,3,16
75,3,33
46,3,43
61,3,39
40,3,49
74,3,49
42,3,2
65,3,18
59,3,46
37,3,48
60,3,0
68,3,39
45,4,41
41,4,29
75,4,48
43,4,7
75,4,28
56,4,14
38,4,36
61,4,49
62,4,16
40,4,5
72,4,6
62,4,46
69,4,26
66,4,35
66,4,49
37,5,46
43,5,7
39,5,12
72,5,14
66,5,29
49,5,44
37,5,41
43,5,13
59,5,26
71,5,22
65,5,10
51,5,16
58,5,19
50,5,15
53,5,1
42,5,13
62,5,17
54,6,3
45,6,38
62,6,12
40,6,44
50,6,28
52,6,37
58,6,23
72,6,22
60,6,1
41,6,9
51,6,18
50,6,15
69,6,42
65,6,2
72,6,5
68,6,44
75,6,19
61,6,27
61,6,32
48,6,36
44,6,24
38,6,30
61,6,8
75,7,40
64,7,23
61,7,18
48,7,47
48,7,36
69,7,25
50,7,26
54,7,46
49,7,38
73,7,13
70,7,40
60,7,9
61,7,42
39,7,3
37,7,36
69,7,34
71,7,17
67,7,35
69,7,5
40,7,45
44,7,13
37,7,47
71,7,10
52,7,41
56,7,43
57,7,48
39,7,30
38,8,0
42,8,4
42,8,34
70,8,29
49,8,42
54,8,30
38,8,7
72,8,6
54,8,19
51,8,6
50,8,11
73,8,29
38,8,4
61,8,37
69,8,48
54,8,9
57,8,45
58,8,14
47,8,47
58,8,1
42,8,32
54,8,11
49,8,35
46,9,41
74,9,21
40,9,8
74,9,27
42,9,23
71,9,34
47,9,10
72,9,9
51,9,2
60,9,24
66,9,16
46,9,33
44,9,45
58,9,27
38,9,4
45,9,28
