item,profit
1,11.00000000000017,
2,19.999999999999975,
3,7.000000000000037,
4,7.9999999999999325,
5,8.999999999999645,
6,16.000000000000057,
7,18.99999999999993,
8,6.000000000000039,
9,15.99999999999995,
10,12.999999999999527,
11,4.999999999999574,
12,12.99999999999937,
13,13.000000000000332,
14,18.999999999999716,
15,18.00000000000044,
16,0.9999999999994564,
17,11.000000000000163,
18,11.999999999999773,
19,19.000000000000085,
20,22.999999999999893,
21,3.0000000000000426,
22,3.9999999999998828,
23,16.999999999999854,
24,15.999999999999979,
25,20.000000000000718,
26,8.999999999999972,
27,12.999999999999986,
28,8.999999999999694,
29,15.99999999999978,
30,23.000000000000192,
31,16.99999999999988,
32,2.0000000000002,
33,4.000000000000335,
34,25.000000000000338,
35,20.00000000000019,
36,6.000000000000006,
37,20.999999999999687,
38,9.999999999999982,
39,11.999999999999723,
40,19.999999999999627,
41,16.00000000000005,
42,15.000000000000277,
43,3.000000000000025,
44,19.999999999999623,
45,17.00000000000015,
46,21.999999999999844,
47,19.000000000000302,
48,0.9999999999997273,
49,3.9999999999997975,
50,24.999999999999844,
51,20.999999999999865,
52,10.000000000000338,
53,1.9999999999995346,
54,9.000000000000062,
55,6.000000000000126,
56,17.999999999999638,
57,19.999999999999947,
58,9.000000000000105,
59,16.999999999999723,
60,25.000000000000245,
61,3.9999999999997726,
62,24.000000000000224,
63,12.000000000000334,
64,13.000000000000018,
65,3.000000000000348,
66,15.999999999999773,
67,11.00000000000029,
68,4.000000000000487,
69,3.0000000000001013,
70,16.99999999999954,
71,2.9999999999997797,
72,5.999999999999628,
73,14.999999999999808,
74,18.00000000000027,
75,8.999999999999966,
76,8.999999999999577,
77,25.000000000000377,
78,16.999999999999975,
79,7.999999999999773,
80,19.999999999999947,
81,7.999999999999989,
82,3.000000000000422,
83,21.999999999999645,
84,14.000000000000018,
85,22.000000000000572,
86,19.000000000000128,
87,2.0000000000001563,
88,22.999999999999762,
89,22.000000000000053,
90,7.000000000000341,
91,10.000000000000233,
92,25.000000000000206,
93,18.99999999999989,
94,8.99999999999992,
95,5.999999999999987,
96,4.00000000000003,
97,21.00000000000015,
98,21.000000000000142,
99,21.00000000000036,
100,1.9999999999998108,
101,8.99999999999985,
102,8.999999999999215,
103,23.000000000000572,
104,7.99999999999952,
105,7.0000000000006715,
106,23.000000000000206,
107,2.9999999999999742,
108,10.999999999999636,
109,23.99999999999983,
110,13.000000000000071,
111,0.9999999999997327,
112,7.999999999999542,
113,7.999999999999932,
114,8.00000000000044,
115,21.00000000000006,
116,12.999999999999668,
117,11.999999999999886,
118,7.000000000000296,
119,10.00000000000022,
120,9.000000000000048,
121,9.00000000000021,
122,22.00000000000006,
123,8.99999999999992,
124,18.00000000000003,
125,22.00000000000024,
126,13.99999999999966,
127,14.999999999999801,
128,20.00000000000035,
129,4.000000000000087,
130,21.000000000000014,
131,21.000000000000046,
132,0.9999999999995524,
133,9.000000000000203,
134,12.000000000000224,
135,12.999999999999904,
136,24.999999999999886,
137,22.99999999999969,
138,3.999999999999747,
139,14.99999999999951,
140,15.99999999999983,
141,8.000000000000206,
142,14.99999999999995,
143,0.999999999999666,
144,22.000000000000824,
145,17.00000000000014,
146,11.999999999999872,
147,13.000000000000044,
148,14.999999999999979,
149,9.000000000000137,
150,11.000000000000396,
151,7.9999999999997025,
152,16.00000000000001,
153,10.000000000000131,
154,6.000000000000263,
155,13.000000000000057,
156,15.99999999999958,
157,21.99999999999987,
158,15.00000000000027,
159,11.000000000000185,
160,12.999999999999666,
161,21.000000000000057,
162,9.999999999999364,
163,13.000000000000352,
164,17.000000000000178,
165,24.000000000000494,
166,24.000000000000014,
167,24.99999999999973,
168,7.999999999999773,
169,10.00000000000024,
170,7.999999999999969,
171,3.999999999999633,
172,11.999999999999794,
173,15.000000000000082,
174,17.99999999999968,
175,7.000000000000025,
176,16.000000000000092,
177,6.000000000000123,
178,11.99999999999999,
179,19.000000000000547,
180,0.999999999999943,
181,18.999999999999726,
182,21.000000000000384,
183,24.00000000000009,
184,14.000000000000178,
185,25.0,
186,22.999999999999865,
187,15.000000000000021,
188,18.999999999999886,
189,13.000000000000263,
190,16.00000000000069,
191,8.000000000000146,
192,21.00000000000032,
193,2.0000000000001315,
194,25.000000000000284,
195,18.000000000000163,
196,4.999999999999398,
197,20.000000000000053,
198,4.999999999999641,
199,14.000000000000494,
200,19.9999999999997,
