volume,class_1
13.9816,8
1.0394,3
3.352,4
14.9745,5
16.083,9
40.7106,8
16.0786,4
8.3914,5
15.6447,5
7.6882,5
7.3526,1
15.4727,4
12.4391,3
19.4338,9
7.2209,7
29.4402,2
14.3069,9
6.1641,8
14.2429,1
3.8843,5
33.3676,0
9.9952,6
6.3315,1
7.7993,6
11.3441,2
3.5795,2
6.3765,5
2.161,1
14.9146,9
4.5901,9
4.8704,6
31.665,1
5.1397,9
4.2062,8
9.9007,3
12.6865,9
13.657,1
14.5726,4
8.5244,5
1.3085,4
2.5916,9
24.9626,8
34.3741,1
9.5927,7
3.4703,4
26.1344,1
8.4766,0
7.5705,4
13.1377,0
6.47,9
16.363,10
26.2299,0
16.099,1
16.1549,6
15.3929,1
25.5206,0
12.2064,3
2.3549,3
1.4435,9
9.2826,6
13.8226,2
24.0099,1
27.1887,7
14.6305,2
12.3455,10
23.0705,3
17.2544,2
10.2231,1
3.0681,6
5.9274,6
24.8054,8
2.6798,4
4.1673,8
7.8916,4
8.9584,7
14.331,5
35.5324,1
15.009,3
0.2853,10
2.5134,5
1.6182,0
1.9024,0
15.722000000000001,0
23.4177,4
13.9591,9
21.8683,5
11.8349,7
8.783999999999999,6
2.722,5
14.9942,6
3.0824,1
11.669,1
9.7538,5
20.3276,9
7.7204,7
17.1101,1
37.3914,4
14.3254,3
5.3464,9
16.9047,8
