volume,class_1
16,0
2,1
3,1
20,1
24,1
12,2
6,2
11,2
7,2
22,2
25,3
7,4
23,4
1,4
17,4
24,4
18,5
24,5
23,5
3,5
8,6
14,6
3,6
18,7
25,7
21,7
20,7
17,8
2,8
25,8
23,8
14,8
11,9
22,9
20,9
20,9
12,9
6,9
11,9
15,10
4,10
5,10
10,11
9,11
2,11
5,12
12,12
1,12
14,12
24,13
9,13
16,14
20,14
11,14
2,14
15,15
7,15
21,15
21,16
7,16
18,16
9,16
6,16
6,16
18,17
17,17
19,17
17,17
2,17
2,17
19,18
25,18
16,18
19,18
19,19
15,19
19,19
12,19
10,20
5,20
9,20
8,21
11,21
8,21
1,21
25,22
22,22
9,22
7,22
7,22
22,22
15,22
17,22
8,23
11,23
5,24
12,24
3,24
4,24
25,25
7,25
11,25
24,25
8,25
19,26
3,26
9,26
7,26
3,27
6,27
23,27
16,27
8,27
4,27
18,28
21,28
7,28
3,29
14,30
25,30
24,30
10,30
12,31
10,31
19,32
4,32
17,32
24,32
19,33
15,33
3,33
12,33
14,33
12,34
9,34
20,34
23,34
23,34
20,34
7,35
4,35
23,36
24,36
6,36
21,36
1,37
5,37
9,37
9,38
11,38
13,38
16,38
8,38
15,38
18,38
9,39
10,40
24,40
24,40
8,40
15,40
24,41
11,41
7,41
22,41
4,42
8,42
5,42
12,42
3,43
9,43
11,43
3,43
16,43
17,43
4,43
1,43
4,44
6,44
23,45
23,45
8,45
14,45
1,45
8,46
22,46
12,46
20,47
23,47
9,47
22,47
19,47
5,47
8,47
7,48
21,48
4,48
17,49
7,49
5,49
