volume,class_1,class_2,class_3,class_4,class_5
4.36,21,37,19,9,28
2.52,23,3,23,13,26
3.66,23,14,28,3,4
3.81,29,23,14,5,23
3.63,21,32,14,22,32
2.31,12,19,11,15,16
1.54,14,4,27,5,11
4.39,12,11,5,4,6
2.65,28,0,0,9,16
3.3,15,34,24,0,0
3.91,25,30,33,21,35
4.46,15,27,28,19,24
2.43,18,22,24,13,22
2.35,10,11,22,3,11
2.68,10,26,27,19,1
1.41,34,10,0,10,27
1.83,22,23,29,13,39
2.41,5,2,29,24,38
1.7,27,44,18,17,7
1.68,23,36,30,11,0
1.08,16,33,21,4,17
2.5,24,26,31,10,26
2.81,5,43,25,21,37
3.92,5,7,16,8,11
1.0,28,19,32,22,10
3.69,24,18,27,20,32
4.34,32,6,16,15,34
2.83,0,5,3,4,21
4.39,23,27,18,7,6
3.44,8,33,26,15,16
3.02,27,42,21,22,4
3.04,6,0,31,3,34
2.15,22,28,7,12,5
3.68,27,3,18,14,3
2.12,19,27,7,2,22
3.35,32,14,4,12,23
3.97,26,8,20,0,8
4.96,15,41,2,11,5
1.07,32,32,25,3,36
3.79,15,44,17,2,0
3.1,23,24,33,22,15
3.05,17,10,28,0,21
1.61,1,27,14,10,24
4.47,1,8,24,15,26
4.89,13,15,8,7,25
4.91,12,4,9,19,36
3.68,12,13,11,15,21
3.66,3,19,20,3,12
4.57,17,32,15,4,29
1.06,12,11,23,2,0
3.96,1,25,23,4,30
1.67,9,7,32,19,20
3.76,19,0,2,5,30
4.7,20,20,17,24,34
3.61,8,35,33,4,34
4.84,20,8,16,7,28
4.37,23,32,13,10,35
1.61,31,16,17,12,1
2.96,16,4,31,8,4
2.19,5,5,14,15,0
2.72,8,37,33,2,8
4.52,6,14,13,16,4
3.86,30,0,24,2,23
4.2,2,3,12,10,5
4.23,21,29,10,8,38
1.62,27,41,8,10,20
3.34,4,8,6,6,3
1.02,16,44,10,14,21
1.44,14,35,22,9,4
3.16,26,5,10,0,25
3.47,15,36,22,18,7
2.14,13,5,8,8,28
2.0,13,43,28,0,9
4.11,8,36,28,3,31
2.69,13,24,21,5,15
4.78,27,38,5,10,39
4.52,1,14,25,24,3
1.8,23,16,25,19,9
4.69,16,18,0,6,18
4.45,16,15,2,19,7
3.55,4,11,25,20,24
2.99,32,25,16,19,29
4.15,18,44,32,4,0
3.23,31,12,10,24,5
1.38,7,35,9,0,36
3.48,19,2,19,20,33
1.32,31,35,3,19,30
4.77,5,2,29,18,19
1.51,4,43,14,5,8
3.32,26,7,24,11,17
1.77,19,43,4,12,38
1.0,21,26,20,8,6
2.73,7,11,19,0,13
1.29,26,6,14,13,34
1.6,13,13,9,5,13
3.89,3,17,27,22,32
1.48,23,7,20,0,26
2.74,23,26,14,9,24
3.07,12,29,8,6,27
1.05,11,42,4,0,33
3.19,33,39,20,8,26
4.52,10,34,0,8,24
2.96,19,30,2,13,36
4.3,8,36,18,20,26
3.18,27,15,17,15,37
3.43,19,8,16,9,18
2.69,19,7,31,14,7
1.15,31,40,26,18,30
3.93,23,3,5,7,15
3.68,23,39,3,16,8
2.42,21,10,1,17,18
2.2,3,22,15,4,28
2.39,31,38,15,4,24
2.08,26,40,2,7,12
4.67,0,8,26,5,27
2.19,26,12,25,6,16
3.41,16,7,7,7,19
1.42,14,37,6,2,36
3.41,5,6,9,24,25
2.24,21,21,27,18,28
3.87,27,3,28,21,30
1.65,24,6,7,9,34
2.44,14,13,29,20,3
3.78,9,9,22,17,34
1.1,20,6,32,11,36
3.3,22,1,27,5,9
1.74,4,23,0,16,8
2.09,14,37,26,17,24
4.85,31,44,1,3,13
3.09,23,27,31,2,24
1.03,13,1,2,13,20
1.86,32,26,9,2,6
3.4,32,17,7,0,35
3.07,34,26,31,21,34
4.45,28,19,22,13,29
4.17,5,33,20,19,13
1.73,23,34,21,6,29
3.33,2,34,12,10,27
2.99,12,10,23,11,3
3.82,30,30,8,5,17
3.9,30,3,8,4,8
2.63,34,23,15,12,17
4.63,15,2,3,17,18
3.12,28,28,18,20,20
1.12,12,3,32,23,37
1.36,34,29,28,21,23
2.37,29,6,28,21,4
1.61,3,40,6,15,11
2.68,19,8,6,21,5
1.03,34,35,18,24,18
4.32,27,17,17,24,10
1.44,9,31,4,13,28
1.72,5,5,15,2,22
2.6,23,12,20,16,22
1.46,23,13,15,6,33
1.09,32,44,12,2,23
1.35,29,4,4,2,13
1.23,12,3,14,24,12
2.52,9,6,26,10,16
1.58,7,23,22,22,38
3.6,34,38,13,8,27
2.36,1,16,1,1,2
4.15,2,11,1,14,20
2.06,34,8,17,10,38
3.05,30,33,23,11,37
1.72,25,30,0,2,2
1.99,28,43,19,19,17
2.88,34,13,1,9,11
2.2,25,21,28,19,35
3.18,11,4,17,12,16
4.14,14,27,2,0,36
2.48,23,12,24,7,31
4.04,1,36,18,19,23
2.24,14,41,2,17,30
3.55,26,42,1,24,30
4.28,32,29,14,0,27
3.9,0,38,24,12,38
2.57,20,5,11,9,28
1.96,13,23,32,19,34
3.89,17,40,20,16,18
4.84,28,44,23,3,38
1.13,27,39,17,6,8
1.96,10,27,5,16,0
4.39,17,41,15,24,34
4.14,33,30,0,23,36
3.18,28,14,3,13,39
1.77,29,15,27,21,21
4.19,33,22,10,4,36
1.67,32,6,19,7,19
4.96,33,19,3,19,18
2.33,15,8,15,4,31
4.79,34,38,11,9,31
3.73,27,18,25,19,32
3.98,27,27,27,5,9
1.92,9,3,0,23,32
2.66,11,16,4,24,29
2.07,7,30,14,0,33
2.87,7,38,5,6,5
1.32,21,0,24,3,9
1.78,17,7,17,3,30
1.99,28,41,3,20,33
4.12,14,20,30,24,31
