id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate
1,bfdc-a,set2_1class/Q1C1N3B1W1_0_BPP,200,1,1,10200.0,102,0,0,0,102,0.06,0.98,0.45,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_0_BPP,200,1,1,10200.0,102,0,0,0,102,0.1,0.98,0.79,1.0
1,cf,set2_1class/Q1C1N3B1W1_0_BPP,200,1,1,10200.0,102,0,0,0,102,0.08,0.98,0.46,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_0_BPP,200,1,1,10200.0,102,0,0,0,102,0.07,0.98,0.45,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_1_BPP,200,1,1,10800.0,108,0,0,0,108,0.06,0.97,0.57,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_1_BPP,200,1,1,10800.0,108,0,0,0,108,0.09,0.97,0.73,1.0
1,cf,set2_1class/Q1C1N3B1W1_1_BPP,200,1,1,10900.0,109,0,0,0,109,0.06,0.96,0.42,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_1_BPP,200,1,1,10800.0,108,0,0,0,108,0.08,0.97,0.57,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_2_BPP,200,1,1,10200.0,102,0,0,0,102,0.05,0.97,0.1,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_2_BPP,200,1,1,10200.0,102,0,0,0,102,0.08,0.97,0.1,1.0
1,cf,set2_1class/Q1C1N3B1W1_2_BPP,200,1,1,10200.0,102,0,0,0,102,0.06,0.97,0.67,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_2_BPP,200,1,1,10200.0,102,0,0,0,102,0.07,0.97,0.1,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_3_BPP,200,1,1,11300.0,113,0,0,0,113,0.06,0.93,0.43,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_3_BPP,200,1,1,11300.0,113,0,0,0,113,0.09,0.93,0.59,1.0
1,cf,set2_1class/Q1C1N3B1W1_3_BPP,200,1,1,11300.0,113,0,0,0,113,0.06,0.93,0.43,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_3_BPP,200,1,1,11300.0,113,0,0,0,113,0.06,0.93,0.43,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_4_BPP,200,1,1,10600.0,106,0,0,0,106,0.05,0.98,0.76,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_4_BPP,200,1,1,10600.0,106,0,0,0,106,0.09,0.98,0.77,1.0
1,cf,set2_1class/Q1C1N3B1W1_4_BPP,200,1,1,10700.0,107,0,0,0,107,0.08,0.97,0.3,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_4_BPP,200,1,1,10600.0,106,0,0,0,106,0.07,0.98,0.76,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_5_BPP,200,1,1,9800.0,98,0,0,0,98,0.06,0.98,0.67,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_5_BPP,200,1,1,9800.0,98,0,0,0,98,0.1,0.98,0.68,1.0
1,cf,set2_1class/Q1C1N3B1W1_5_BPP,200,1,1,9900.0,99,0,0,0,99,0.06,0.97,0.39,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_5_BPP,200,1,1,9900.0,99,0,0,0,99,0.07,0.97,0.11,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_6_BPP,200,1,1,10800.0,108,0,0,0,108,0.08,0.94,0.46,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_6_BPP,200,1,1,10800.0,108,0,0,0,108,0.09,0.94,0.55,1.0
1,cf,set2_1class/Q1C1N3B1W1_6_BPP,200,1,1,10800.0,108,0,0,0,108,0.06,0.94,0.46,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_6_BPP,200,1,1,10800.0,108,0,0,0,108,0.07,0.94,0.46,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_7_BPP,200,1,1,10800.0,108,0,0,0,108,0.05,0.97,0.33,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_7_BPP,200,1,1,10800.0,108,0,0,0,108,0.1,0.97,0.59,1.0
1,cf,set2_1class/Q1C1N3B1W1_7_BPP,200,1,1,10900.0,109,0,0,0,109,0.06,0.96,0.37,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_7_BPP,200,1,1,10800.0,108,0,0,0,108,0.06,0.97,0.33,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_8_BPP,200,1,1,10900.0,109,0,0,0,109,0.06,0.97,0.42,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_8_BPP,200,1,1,10900.0,109,0,0,0,109,0.09,0.97,0.42,1.0
1,cf,set2_1class/Q1C1N3B1W1_8_BPP,200,1,1,10900.0,109,0,0,0,109,0.07,0.97,0.42,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_8_BPP,200,1,1,10900.0,109,0,0,0,109,0.09,0.97,0.42,1.0
1,bfdc-a,set2_1class/Q1C1N3B1W1_9_BPP,200,1,1,11300.0,113,0,0,0,113,0.06,0.95,0.61,1.0
1,bfdc-b,set2_1class/Q1C1N3B1W1_9_BPP,200,1,1,11300.0,113,0,0,0,113,0.09,0.95,0.61,1.0
1,cf,set2_1class/Q1C1N3B1W1_9_BPP,200,1,1,11300.0,113,0,0,0,113,0.08,0.95,0.61,1.0
1,ffdc,set2_1class/Q1C1N3B1W1_9_BPP,200,1,1,11300.0,113,0,0,0,113,0.07,0.95,0.61,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_0_BPP,200,1,1,9900.0,99,0,0,0,99,0.07,0.98,0.09,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_0_BPP,200,1,1,9800.0,98,0,0,0,98,0.09,0.99,0.74,1.0
1,cf,set2_1class/Q1C1N3B2W1_0_BPP,200,1,1,9900.0,99,0,0,0,99,0.08,0.98,0.36,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_0_BPP,200,1,1,9900.0,99,0,0,0,99,0.07,0.98,0.19,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_1_BPP,200,1,1,10200.0,102,0,0,0,102,0.05,0.99,0.78,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_1_BPP,200,1,1,10200.0,102,0,0,0,102,0.09,0.99,0.77,1.0
1,cf,set2_1class/Q1C1N3B2W1_1_BPP,200,1,1,10300.0,103,0,0,0,103,0.06,0.98,0.34,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_1_BPP,200,1,1,10200.0,102,0,0,0,102,0.07,0.99,0.78,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_2_BPP,200,1,1,10500.0,105,0,0,0,105,0.06,0.96,0.63,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_2_BPP,200,1,1,10500.0,105,0,0,0,105,0.09,0.96,0.73,1.0
1,cf,set2_1class/Q1C1N3B2W1_2_BPP,200,1,1,10500.0,105,0,0,0,105,0.06,0.96,0.63,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_2_BPP,200,1,1,10500.0,105,0,0,0,105,0.06,0.96,0.63,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_3_BPP,200,1,1,10800.0,108,0,0,0,108,0.08,0.96,0.52,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_3_BPP,200,1,1,10800.0,108,0,0,0,108,0.09,0.96,0.6,1.0
1,cf,set2_1class/Q1C1N3B2W1_3_BPP,200,1,1,10800.0,108,0,0,0,108,0.08,0.96,0.52,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_3_BPP,200,1,1,10800.0,108,0,0,0,108,0.09,0.96,0.52,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_4_BPP,200,1,1,9400.0,94,0,0,0,94,0.08,0.99,0.82,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_4_BPP,200,1,1,9400.0,94,0,0,0,94,0.09,0.99,0.84,1.0
1,cf,set2_1class/Q1C1N3B2W1_4_BPP,200,1,1,9500.0,95,0,0,0,95,0.06,0.98,0.84,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_4_BPP,200,1,1,9600.0,96,0,0,0,96,0.06,0.97,0.11,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_5_BPP,200,1,1,10500.0,105,0,0,0,105,0.06,0.97,0.29,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_5_BPP,200,1,1,10500.0,105,0,0,0,105,0.09,0.97,0.29,1.0
1,cf,set2_1class/Q1C1N3B2W1_5_BPP,200,1,1,10500.0,105,0,0,0,105,0.08,0.97,0.29,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_5_BPP,200,1,1,10500.0,105,0,0,0,105,0.08,0.97,0.29,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_6_BPP,200,1,1,10800.0,108,0,0,0,108,0.07,0.97,0.35,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_6_BPP,200,1,1,10800.0,108,0,0,0,108,0.09,0.97,0.35,1.0
1,cf,set2_1class/Q1C1N3B2W1_6_BPP,200,1,1,10900.0,109,0,0,0,109,0.05,0.97,0.41,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_6_BPP,200,1,1,10800.0,108,0,0,0,108,0.08,0.97,0.53,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_7_BPP,200,1,1,10000.0,100,0,0,0,100,0.07,0.97,0.31,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_7_BPP,200,1,1,10000.0,100,0,0,0,100,0.09,0.97,0.31,1.0
1,cf,set2_1class/Q1C1N3B2W1_7_BPP,200,1,1,10000.0,100,0,0,0,100,0.06,0.97,0.31,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_7_BPP,200,1,1,10000.0,100,0,0,0,100,0.08,0.97,0.31,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_8_BPP,200,1,1,9500.0,95,0,0,0,95,0.06,0.97,0.19,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_8_BPP,200,1,1,9400.0,94,0,0,0,94,0.09,0.98,0.88,1.0
1,cf,set2_1class/Q1C1N3B2W1_8_BPP,200,1,1,9600.0,96,0,0,0,96,0.07,0.96,0.35,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_8_BPP,200,1,1,9500.0,95,0,0,0,95,0.07,0.97,0.17,1.0
1,bfdc-a,set2_1class/Q1C1N3B2W1_9_BPP,200,1,1,9900.0,99,0,0,0,99,0.06,0.97,0.25,1.0
1,bfdc-b,set2_1class/Q1C1N3B2W1_9_BPP,200,1,1,9900.0,99,0,0,0,99,0.09,0.97,0.25,1.0
1,cf,set2_1class/Q1C1N3B2W1_9_BPP,200,1,1,9900.0,99,0,0,0,99,0.06,0.97,0.25,1.0
1,ffdc,set2_1class/Q1C1N3B2W1_9_BPP,200,1,1,9900.0,99,0,0,0,99,0.09,0.97,0.25,1.0
