id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate
1,bfdc-a,set3_t1_corr/I250_C3_1,250,3,1,6258.32,35,0,22,0,57,0.11,0.48,0.01,0.97
1,bfdc-b,set3_t1_corr/I250_C3_1,250,3,1,5756.81,35,0,18,0,53,0.15,0.5,0.17,0.85
1,cf,set3_t1_corr/I250_C3_1,250,3,1,4606.05,26,0,16,0,42,0.12,0.58,0.09,0.91
1,ffdc,set3_t1_corr/I250_C3_1,250,3,1,5882.19,35,0,19,0,54,0.12,0.49,0.17,0.91
1,bfdc-a,set3_t1_corr/I250_C3_10,250,3,1,6217.34,35,21,2,0,58,0.1,0.44,0.02,1
1,bfdc-b,set3_t1_corr/I250_C3_10,250,3,1,5865.49,35,18,2,0,55,0.24,0.47,0.04,1
1,cf,set3_t1_corr/I250_C3_10,250,3,1,4661.79,30,12,2,0,44,0.11,0.57,0.04,1
1,ffdc,set3_t1_corr/I250_C3_10,250,3,1,5962.94,35,21,0,0,56,0.13,0.47,0.16,0.96
1,bfdc-a,set3_t1_corr/I250_C3_2,250,3,1,7176.88,35,28,2,0,65,0.1,0.43,0.02,1
1,bfdc-b,set3_t1_corr/I250_C3_2,250,3,1,6914.66,35,28,0,0,63,0.15,0.42,0.1,0.83
1,cf,set3_t1_corr/I250_C3_2,250,3,1,5217.09,29,19,0,0,48,0.11,0.53,0.04,0.99
1,ffdc,set3_t1_corr/I250_C3_2,250,3,1,7045.77,35,28,1,0,64,0.11,0.43,0.12,0.93
1,bfdc-a,set3_t1_corr/I250_C3_3,250,3,1,5494.92,35,0,17,0,52,0.09,0.52,0.03,0.98
1,bfdc-b,set3_t1_corr/I250_C3_3,250,3,1,5377.58,35,0,16,0,51,0.15,0.53,0.23,0.98
1,cf,set3_t1_corr/I250_C3_3,250,3,1,3994.92,20,0,17,0,37,0.12,0.6,0.09,0.99
1,ffdc,set3_t1_corr/I250_C3_3,250,3,1,5494.92,35,0,17,0,52,0.1,0.53,0.03,0.98
1,bfdc-a,set3_t1_corr/I250_C3_4,250,3,1,5076.54,30,16,1,0,47,0.11,0.51,0.07,0.96
1,bfdc-b,set3_t1_corr/I250_C3_4,250,3,1,5054.81,31,15,1,0,47,0.15,0.53,0.03,0.96
1,cf,set3_t1_corr/I250_C3_4,250,3,1,4162.06,22,14,2,0,38,0.11,0.62,0.04,0.97
1,ffdc,set3_t1_corr/I250_C3_4,250,3,1,5082.4,35,13,0,0,48,0.1,0.61,0.19,0.99
1,bfdc-a,set3_t1_corr/I250_C3_5,250,3,1,5572.22,35,0,16,0,51,0.09,0.51,0.03,0.96
1,bfdc-b,set3_t1_corr/I250_C3_5,250,3,1,5701.73,35,0,17,0,52,0.14,0.49,0.03,0.96
1,cf,set3_t1_corr/I250_C3_5,250,3,1,4231.24,19,0,18,0,37,0.11,0.58,0.07,0.94
1,ffdc,set3_t1_corr/I250_C3_5,250,3,1,5572.22,35,0,16,0,51,0.08,0.51,0.03,0.96
1,bfdc-a,set3_t1_corr/I250_C3_6,250,3,1,5092.04,35,0,13,0,48,0.09,0.56,0.06,1
1,bfdc-b,set3_t1_corr/I250_C3_6,250,3,1,5092.04,35,0,13,0,48,0.17,0.56,0.04,1
1,cf,set3_t1_corr/I250_C3_6,250,3,1,3604.36,14,0,18,0,32,0.11,0.65,0.15,0.96
1,ffdc,set3_t1_corr/I250_C3_6,250,3,1,5092.04,35,0,13,0,48,0.08,0.56,0.06,1
1,bfdc-a,set3_t1_corr/I250_C3_7,250,3,1,7307.56,35,28,3,0,66,0.09,0.43,0.02,0.97
1,bfdc-b,set3_t1_corr/I250_C3_7,250,3,1,7307.56,35,28,3,0,66,0.16,0.43,0.02,0.97
1,cf,set3_t1_corr/I250_C3_7,250,3,1,5579.28,35,17,0,0,52,0.13,0.57,0.04,0.98
1,ffdc,set3_t1_corr/I250_C3_7,250,3,1,7307.56,35,28,3,0,66,0.1,0.45,0.02,0.97
1,bfdc-a,set3_t1_corr/I250_C3_8,250,3,1,5283.77,35,15,0,0,50,0.1,0.53,0.04,0.95
1,bfdc-b,set3_t1_corr/I250_C3_8,250,3,1,4808.1,35,11,0,0,46,0.15,0.63,0.33,0.96
1,cf,set3_t1_corr/I250_C3_8,250,3,1,3940.52,18,18,0,0,36,0.11,0.63,0.08,1
1,ffdc,set3_t1_corr/I250_C3_8,250,3,1,4827.01,34,12,0,0,46,0.08,0.62,0.26,0.98
1,bfdc-a,set3_t1_corr/I250_C3_9,250,3,1,5203.54,35,0,14,0,49,0.1,0.51,0.02,0.94
1,bfdc-b,set3_t1_corr/I250_C3_9,250,3,1,4838.5,35,0,11,0,46,0.16,0.6,0.21,0.96
1,cf,set3_t1_corr/I250_C3_9,250,3,1,3446.9,15,0,16,0,31,0.12,0.68,0.27,0.99
1,ffdc,set3_t1_corr/I250_C3_9,250,3,1,4703.54,30,0,14,0,44,0.08,0.59,0.21,0.98
1,bfdc-a,set3_t1_noncorr/I250_C3_1,250,3,1,6183.84,35,0,22,0,57,0.09,0.43,0.04,0.9
1,bfdc-b,set3_t1_noncorr/I250_C3_1,250,3,1,6061.85,35,0,21,0,56,0.16,0.46,0.18,0.85
