volume,class_1,class_2
26,0,7
14,0,40
18,0,33
26,0,23
124,0,4
23,0,26
33,0,38
18,0,12
1,0,27
22,0,15
136,0,24
133,0,17
36,0,13
136,0,28
34,0,33
7,0,15
7,1,42
5,1,35
23,1,0
1,1,31
115,1,22
2,1,0
3,1,47
144,1,30
26,1,48
31,1,23
2,1,23
144,1,20
31,1,18
24,1,1
139,1,41
20,1,30
137,1,21
132,1,7
132,1,48
8,1,28
142,2,19
11,2,7
141,2,10
114,2,39
113,2,19
1,2,30
150,2,4
7,2,4
20,2,45
25,2,6
141,2,39
19,2,7
124,2,29
113,2,41
143,2,14
127,2,10
21,2,32
143,2,20
116,2,4
20,2,40
21,2,5
115,3,22
139,3,48
134,3,47
7,3,26
7,3,34
12,3,27
14,3,46
31,3,39
135,3,46
145,3,14
11,3,29
114,3,8
142,3,16
16,4,5
33,4,25
134,4,16
145,4,45
118,4,25
141,4,11
129,4,19
1,4,24
126,4,32
34,4,41
34,4,17
124,4,36
17,4,36
115,4,2
19,4,27
133,4,46
31,4,3
16,4,48
125,4,10
139,4,16
140,4,23
121,4,32
20,4,30
30,4,11
25,4,5
118,5,28
117,5,6
132,5,36
1,5,25
149,5,11
140,5,27
140,5,26
145,5,8
30,5,29
37,5,14
129,5,49
116,5,33
146,5,13
29,5,3
19,5,8
24,5,49
122,5,9
150,5,44
143,5,42
27,5,2
120,5,31
130,5,1
136,5,46
120,5,17
27,5,2
31,5,35
147,5,24
4,5,45
16,5,0
148,5,38
16,6,34
119,6,44
16,6,3
123,6,42
8,6,16
144,6,38
32,6,31
17,6,22
20,6,49
2,6,43
116,6,41
126,6,44
23,6,9
141,6,26
149,6,12
133,6,44
15,6,6
133,6,33
134,7,21
141,7,24
7,7,40
115,7,21
147,7,15
11,7,22
31,7,20
132,7,47
9,7,8
145,7,42
143,7,40
148,7,21
143,7,3
13,7,37
21,7,38
115,7,6
33,7,17
6,7,1
33,8,34
2,8,36
4,8,10
121,8,34
32,8,14
3,8,12
16,8,45
1,8,20
7,8,31
37,8,35
127,8,37
131,8,0
18,8,2
4,8,5
9,8,13
11,8,29
14,8,25
16,8,43
5,8,11
124,9,9
135,9,18
33,9,15
30,9,39
136,9,47
122,9,43
121,9,37
2,9,12
136,9,1
7,9,35
15,9,13
141,9,32
21,9,28
25,9,9
32,9,18
25,9,37
20,9,49
28,9,19
30,9,18
119,9,43
