volume,class_1
84,0
20,0
26,0
21,0
52,0
14,0
61,0
51,0
16,0
50,0
2,0
51,0
27,0
13,0
85,0
98,0
99,0
67,0
70,1
87,1
89,1
15,1
83,1
9,1
70,1
23,1
93,1
87,1
81,1
98,1
58,1
71,1
76,1
89,1
65,1
27,1
50,1
44,2
89,2
69,2
9,2
52,2
72,2
49,2
64,2
63,2
34,2
13,2
32,2
71,2
43,2
76,2
15,2
16,2
3,3
73,3
54,3
83,3
39,3
73,3
81,3
68,3
83,3
98,3
71,3
31,3
55,3
41,3
74,3
4,3
87,3
42,3
76,3
50,3
44,3
49,4
60,4
35,4
22,4
82,4
29,4
92,4
3,4
90,4
18,4
3,4
50,4
66,4
81,4
75,4
15,4
31,4
92,4
35,4
8,4
82,4
5,4
52,5
36,5
42,5
52,5
85,5
34,5
51,5
89,5
24,5
2,5
16,5
89,5
15,5
72,5
40,5
6,5
82,5
18,5
6,5
85,5
40,5
42,5
86,6
4,6
57,6
88,6
89,6
23,6
27,6
40,6
65,6
36,6
61,6
40,6
79,6
13,6
82,6
89,6
65,7
14,7
18,7
1,7
81,7
89,7
29,7
94,7
13,7
61,7
9,7
52,7
72,7
63,7
71,7
97,7
84,7
16,7
78,7
78,7
1,7
89,7
44,8
96,8
59,8
100,8
9,8
89,8
84,8
51,8
33,8
71,8
88,8
98,8
62,8
27,8
4,8
75,8
80,8
81,8
93,8
94,8
100,8
10,8
17,8
69,8
47,8
80,8
56,8
94,9
49,9
86,9
27,9
40,9
40,9
63,9
27,9
3,9
24,9
49,9
49,9
76,9
100,9
38,9
28,9
