bin,item
0,121
0,127
0,106
0,119
0,128
0,83
0,73
0,23
0,36
0,39
0,45
0,44
1,168
1,166
1,171
1,131
1,142
1,47
2,32
2,26
2,25
2,34
2,30
2,40
2,41
2,35
2,70
3,118
3,113
3,116
3,117
3,115
3,110
4,191
4,195
4,199
4,109
4,107
4,111
4,126
5,59
5,57
5,49
5,50
5,53
5,60
5,52
5,62
5,48
5,63
5,33
6,167
6,169
6,174
6,164
6,172
6,163
6,173
6,55
6,179
7,194
7,182
7,183
7,197
7,189
8,16
8,6
8,18
8,20
8,8
8,19
8,13
8,0
8,17
8,1
9,123
9,112
9,105
9,108
9,124
10,178
10,192
10,181
10,187
10,193
10,176
10,188
10,190
10,185
10,196
11,67
11,71
11,77
11,78
11,74
11,79
11,69
11,72
11,27
12,88
12,86
12,100
12,101
12,92
12,93
12,85
12,89
13,130
13,136
13,133
13,140
13,132
13,139
13,141
13,134
13,82
14,120
14,122
14,125
14,157
14,160
14,104
14,98
14,102
15,87
15,94
15,95
15,97
15,99
15,137
15,170
15,165
15,175
15,138
15,91
16,198
16,184
16,180
16,11
16,4
16,21
16,10
16,2
16,15
16,38
16,42
16,43
16,3
17,158
17,155
17,152
17,149
17,147
17,156
17,150
17,159
17,148
17,151
17,162
17,144
18,145
18,146
18,153
18,154
18,161
18,68
19,56
19,54
19,61
19,64
19,58
19,51
20,14
20,12
20,22
20,5
20,7
20,9
20,129
21,75
21,80
21,76
21,81
21,65
21,66
21,114
22,46
22,28
22,37
22,29
22,24
22,31
23,90
23,84
23,103
23,96
23,135
23,143
23,186
23,177
