bin,item
0,68
0,67
0,65
0,66
0,197
0,8
0,9
0,10
0,196
1,76
1,75
1,25
1,30
1,0
2,187
2,188
2,77
2,160
2,162
2,165
2,166
2,74
2,164
2,163
3,173
3,172
3,43
3,44
3,41
3,90
3,92
4,36
4,37
4,45
4,49
4,46
4,171
4,38
5,71
5,70
5,52
5,54
5,153
6,157
6,156
6,155
6,116
6,112
6,184
7,113
7,114
7,111
7,53
7,115
7,86
8,7
8,5
8,158
8,161
8,159
8,34
8,35
9,95
9,124
9,122
9,123
9,143
9,146
9,147
10,97
10,96
10,100
10,119
10,118
10,117
10,56
10,55
11,149
11,148
11,150
11,194
11,195
11,193
11,93
12,24
12,23
12,22
12,102
12,101
12,4
12,6
12,3
13,91
13,89
13,129
13,131
13,94
13,130
13,88
13,133
13,42
14,175
14,174
14,107
14,108
14,2
14,1
14,176
15,139
15,137
15,136
15,185
15,186
15,138
15,141
15,140
15,48
15,47
16,14
16,103
16,12
16,13
16,78
16,11
17,144
17,142
17,145
17,61
17,19
17,63
17,59
17,60
18,73
18,51
18,132
18,50
18,72
19,20
19,18
19,17
19,15
19,16
19,21
19,179
19,177
19,32
19,178
20,126
20,79
20,83
20,154
20,152
20,80
20,151
21,180
21,181
21,183
21,182
21,87
21,64
22,84
22,39
22,40
22,105
22,104
22,106
22,85
22,82
22,81
23,190
23,189
23,191
23,192
23,135
23,121
23,120
23,134
24,125
24,199
24,99
24,128
24,127
24,198
24,98
25,31
25,28
25,27
25,29
25,26
25,110
25,69
25,109
26,57
26,62
26,58
26,167
26,170
26,168
26,169
26,33
