bin,item
0,34
1,155
1,13
1,11
1,50
1,51
1,46
1,15
2,174
3,37
4,67
5,195
5,107
5,25
5,27
5,24
6,191
7,44
7,63
8,16
8,147
9,4
9,35
9,31
10,70
11,131
11,124
12,110
12,5
13,143
13,164
14,123
15,30
16,21
16,121
17,122
18,158
18,142
19,43
19,162
19,109
20,113
20,118
21,197
21,57
22,193
23,39
23,154
24,104
24,120
25,111
25,52
26,38
26,178
27,146
27,10
28,186
29,189
29,181
30,47
30,45
31,161
31,166
32,23
32,136
32,96
33,98
33,103
34,187
35,86
36,128
36,148
37,1
37,14
38,80
38,199
39,41
39,90
40,74
40,68
40,85
40,87
40,33
41,40
41,177
42,126
42,134
43,17
43,82
44,9
44,194
45,29
45,64
45,152
46,180
46,183
46,32
47,66
47,101
48,179
48,165
49,58
49,53
50,88
50,97
50,62
51,28
51,36
52,20
52,72
53,54
53,169
54,145
54,144
55,163
55,81
56,92
56,49
57,173
57,125
58,93
59,102
59,114
59,108
59,105
59,106
59,156
60,129
60,153
61,100
61,99
62,190
62,188
62,3
63,157
63,176
64,69
64,65
65,127
65,139
66,94
66,91
67,7
67,138
68,79
68,95
68,0
69,76
69,6
70,159
71,26
71,167
72,119
73,73
73,2
74,172
74,170
74,175
74,192
74,61
74,171
74,71
75,135
76,84
76,89
77,19
77,59
78,141
78,151
78,132
78,137
78,75
78,77
78,140
79,150
79,112
80,18
80,184
81,198
81,60
82,116
82,149
83,56
83,42
84,117
85,12
85,133
86,196
86,115
87,22
87,168
88,78
88,55
89,48
89,83
90,185
90,130
91,160
91,8
92,182
