volume,class_1,class_2
11.0619,3,0
0.0121,6,2
9.7555,0,2
3.4156,7,8
9.362,10,6
26.4227,8,3
6.9026,10,8
14.525,7,3
34.4553,8,10
17.4301,0,6
28.0822,10,9
24.3061,5,10
14.2491,10,6
9.9277,0,4
27.4131,2,3
3.1066,0,4
25.7447,1,1
9.3961,4,4
5.6591,2,6
15.8279,9,4
21.0763,2,0
10.4189,8,0
1.713,9,3
2.9453,9,7
4.1244,2,9
26.1453,8,0
6.8637,6,3
16.6449,5,1
8.1817,3,9
17.6971,10,6
8.1268,9,3
17.4452,7,1
3.6549,10,6
13.4701,4,8
7.3774,7,0
5.8368,5,9
30.1139,6,4
1.0103,0,2
7.4418,3,5
5.6753,9,2
25.107,5,6
20.5216,3,4
8.0758,10,1
6.3574,6,8
26.3415,5,10
31.2334,8,7
7.0108,8,3
18.0113,1,0
8.8966,1,2
0.6697,2,2
1.9344,8,3
1.8087,4,5
19.3258,9,8
16.2144,4,5
41.5514,5,5
12.7124,1,4
15.1062,3,9
12.9366,7,2
9.3702,9,8
27.7581,1,5
6.4354,0,6
9.2877,1,6
6.3542,2,2
8.6875,5,1
11.8738,9,9
2.6114,6,1
2.0947,9,8
1.2242,3,9
20.96,1,4
28.7348,5,4
24.5658,9,8
17.1751,1,7
26.5466,4,1
10.4464,0,4
4.7331,0,9
14.1489,10,0
2.5163,1,6
6.6047,1,0
18.5608,3,3
19.7707,9,6
26.1251,2,1
18.8133,7,2
2.8815,10,3
10.3707,2,1
12.7987,6,6
18.6432,8,4
38.9747,8,4
16.128,7,5
4.0945,1,3
8.2595,10,5
3.2164,0,0
5.9301,0,4
1.2922,9,5
14.6221,7,6
7.815,5,6
13.4917,1,1
21.7311,5,9
9.7553,7,1
7.4444,4,3
18.5985,9,8
