volume,class_1,class_2,class_3
4.1,4,17,11
3.81,9,11,8
2.88,7,0,2
1.06,12,13,10
4.82,8,15,2
3.41,11,0,9
3.89,7,16,6
4.55,9,7,2
3.09,10,7,13
3.92,1,4,9
3.97,8,4,6
1.57,2,14,15
2.32,6,21,11
1.47,10,10,7
3.22,4,8,16
1.84,9,14,11
1.88,0,17,2
4.46,0,7,14
4.99,8,13,13
4.17,8,12,15
2.6,1,17,13
2.5,9,0,1
3.9,9,8,0
3.63,4,7,7
4.1,10,4,4
1.03,9,2,7
4.31,7,4,12
3.51,5,6,1
3.49,2,13,13
4.52,7,15,15
4.21,1,3,1
3.86,6,19,7
1.38,0,4,5
2.58,2,21,6
2.5,11,8,8
2.69,8,12,12
1.86,0,17,17
3.96,8,18,16
2.69,0,4,17
1.83,6,20,3
2.62,11,16,2
1.29,4,19,8
3.39,5,16,1
3.21,8,21,6
4.43,1,9,0
1.72,7,18,2
2.86,7,20,6
2.63,5,14,1
1.74,3,8,15
1.72,7,19,9
2.35,4,1,9
2.62,10,15,3
3.48,11,16,8
3.73,3,8,15
4.11,3,8,17
3.57,2,16,3
4.65,5,7,1
1.77,3,7,9
3.12,1,15,10
1.76,7,10,5
3.95,0,0,4
2.53,6,6,6
2.99,0,8,0
4.01,9,13,5
3.49,5,1,13
2.35,8,15,5
2.78,7,4,10
3.39,1,3,5
1.56,7,6,12
4.71,1,18,12
2.76,3,3,10
1.39,7,4,16
2.58,7,3,12
3.4,10,7,13
3.07,7,19,17
1.31,11,5,2
4.29,11,19,3
1.87,10,5,4
4.05,1,1,7
1.98,0,4,12
4.41,7,7,4
2.49,11,13,15
1.9,10,13,12
1.84,11,15,13
2.3,12,9,16
2.0,7,20,8
3.1,10,20,9
3.77,7,2,15
3.45,9,17,11
2.33,8,11,7
1.01,9,0,2
2.9,8,19,8
2.47,0,20,11
2.62,8,7,6
3.93,10,2,14
2.22,1,11,14
1.29,6,11,1
3.76,2,20,7
2.24,5,18,0
1.87,11,9,14
1.52,9,16,6
2.2,1,5,4
2.11,0,8,11
1.33,0,15,7
3.68,1,19,6
1.71,2,13,7
3.46,10,19,12
4.63,6,10,7
1.67,2,9,4
4.32,2,2,15
4.03,10,10,6
4.46,5,17,17
4.64,1,17,5
1.63,4,19,6
4.49,11,1,15
4.37,6,14,2
1.96,1,20,8
1.28,4,0,14
1.3,8,15,15
3.75,5,8,10
2.29,6,8,8
4.45,12,17,5
4.52,6,5,10
3.42,5,13,13
4.39,1,9,0
8.75,0,20,12
7.23,2,14,8
8.06,2,1,15
7.28,12,18,10
9.56,1,17,4
7.89,8,10,16
9.39,10,16,14
9.06,9,8,3
8.33,9,2,9
7.01,3,19,0
5.11,9,6,15
8.09,5,12,10
7.33,12,16,8
9.73,2,9,13
8.19,5,1,9
6.92,7,17,11
5.64,4,2,10
5.71,10,11,15
9.02,2,13,5
7.7,8,0,2
5.87,9,17,17
6.95,1,5,7
9.13,7,0,2
9.28,10,6,16
9.02,5,4,1
8.77,4,13,1
5.4,4,9,1
6.16,5,7,2
7.02,9,9,0
5.17,3,6,5
7.02,5,0,17
9.33,8,10,5
6.01,12,10,15
7.19,0,8,10
9.54,6,12,15
7.54,1,4,14
6.98,2,18,10
7.11,5,21,13
6.01,3,7,17
9.18,9,11,7
7.35,12,16,15
7.3,0,15,3
9.78,11,0,9
8.91,3,5,11
6.55,10,10,5
6.87,10,7,11
5.23,12,17,0
7.53,9,10,6
5.82,3,8,8
9.59,10,1,5
6.7,2,0,1
9.12,10,18,15
8.43,4,12,4
6.99,12,1,8
7.86,5,5,13
6.9,8,10,5
9.9,4,9,15
6.61,5,11,11
6.29,12,18,8
7.28,0,14,9
8.7,6,19,8
7.09,9,10,3
5.33,4,15,9
8.41,11,2,12
8.24,7,18,11
5.98,2,19,8
9.18,4,18,15
9.24,6,9,1
5.44,8,5,2
6.13,9,14,8
7.28,10,21,5
9.23,6,18,12
9.1,4,12,17
6.89,5,3,3
8.55,1,8,15
7.7,10,14,0
9.53,1,13,16
8.84,9,9,0
9.21,2,5,17
7.93,8,12,10
9.69,6,4,16
7.43,12,11,3
7.13,11,5,4
7.29,6,12,8
7.56,11,13,2
9.02,11,7,3
6.91,10,10,17
7.85,12,19,3
12.51,10,7,13
10.99,8,9,8
11.41,12,4,10
10.17,5,16,12
13.46,9,7,3
14.78,3,7,0
11.21,4,7,6
12.95,2,4,8
10.71,0,21,11
11.51,3,19,6
11.96,11,6,2
10.36,1,11,3
12.99,1,6,12
11.66,1,17,9
10.29,4,21,3
11.65,2,1,15
13.62,2,19,9
10.24,5,21,8
11.41,6,7,10
11.97,6,4,10
14.98,7,1,2
12.49,8,15,16
14.63,9,8,10
14.24,9,21,10
11.98,12,0,7
12.66,5,18,4
14.26,8,6,4
11.05,3,14,7
10.93,8,4,13
12.83,3,2,16
14.85,11,5,1
11.21,5,12,7
14.77,1,14,15
12.6,2,13,11
14.63,10,9,0
14.41,3,3,0
13.46,11,11,13
