bin,item
0,470
0,68
0,65
0,268
0,825
1,737
1,282
1,360
1,478
2,515
2,129
2,182
2,429
3,742
3,252
3,336
3,340
3,333
3,390
4,730
4,140
4,299
4,618
4,341
4,92
5,631
5,779
5,181
5,10
6,587
6,736
6,193
6,616
7,931
7,189
7,109
7,139
7,235
8,869
8,221
8,82
8,194
8,254
8,149
9,852
9,135
9,382
9,273
9,29
10,98
10,62
10,406
10,439
10,339
10,697
11,670
11,6
11,362
11,453
11,516
11,34
12,666
12,584
12,277
12,423
12,233
13,845
13,507
13,484
13,644
13,323
14,961
14,218
14,714
14,165
14,622
15,809
15,466
15,609
15,799
15,209
16,296
16,21
16,42
16,188
16,17
16,248
16,985
17,970
17,153
17,650
17,293
17,27
17,337
18,738
18,8
18,198
18,163
18,810
19,994
19,659
19,301
19,114
19,525
20,536
20,729
20,108
20,292
20,757
21,595
21,370
21,626
21,134
21,713
21,490
22,912
22,586
22,9
22,187
22,0
22,298
23,993
23,447
23,96
23,843
23,217
24,556
24,533
24,185
24,247
24,602
25,16
25,422
25,308
25,388
25,634
25,864
26,502
26,319
26,137
26,817
26,249
26,434
27,766
27,541
27,192
27,338
27,596
28,751
28,807
28,14
28,814
28,613
29,503
29,410
29,598
29,776
29,402
30,877
30,386
30,450
30,823
30,162
31,965
31,201
31,487
31,676
31,259
32,581
32,106
32,315
32,396
32,798
32,174
33,709
33,724
33,274
33,5
33,569
34,417
34,204
34,57
34,456
34,854
35,538
35,445
35,219
35,375
35,590
35,480
36,628
36,344
36,816
36,102
36,413
36,237
37,859
37,561
37,326
37,496
37,61
38,523
38,665
38,785
38,191
38,830
38,197
39,715
39,148
39,290
39,70
39,37
39,821
40,916
40,457
40,760
40,295
40,115
40,328
41,534
41,329
41,353
41,543
41,401
41,138
42,794
42,678
42,359
42,601
42,432
43,983
43,357
43,253
43,175
43,321
43,15
44,745
44,331
44,172
44,546
44,229
44,176
45,514
45,562
45,418
45,405
45,517
46,981
46,289
46,404
46,703
46,285
47,982
47,58
47,284
47,408
47,446
47,387
48,886
48,350
48,73
48,206
48,90
49,521
49,309
49,152
49,744
49,330
49,550
50,920
50,123
50,144
50,363
50,411
50,761
50,483
51,635
51,145
51,460
51,605
51,674
52,593
52,468
52,3
52,199
52,93
52,575
53,746
53,213
53,668
53,307
53,94
53,658
54,980
54,600
54,348
54,647
54,393
55,801
55,427
55,685
55,246
55,433
55,448
56,768
56,20
56,238
56,80
56,778
56,33
57,526
57,630
57,424
57,498
57,848
58,567
58,836
58,127
58,130
58,430
59,735
59,88
59,369
59,67
59,707
59,56
60,725
60,642
60,216
60,316
60,545
61,890
61,677
61,202
61,28
61,358
61,374
62,732
62,257
62,438
62,210
62,960
63,718
63,832
63,208
63,179
63,813
64,998
64,440
64,343
64,662
64,342
64,228
65,885
65,384
65,226
65,150
65,83
65,474
66,535
66,777
66,444
66,499
66,155
66,47
67,552
67,603
67,656
67,383
67,146
68,604
68,305
68,579
68,78
68,489
69,939
69,710
69,720
69,272
69,437
70,773
70,52
70,416
70,481
70,278
70,72
70,749
71,508
71,391
71,690
71,580
71,436
72,858
72,454
72,488
72,46
72,667
73,672
73,788
73,54
73,224
73,740
74,513
74,702
74,664
74,479
74,303
74,161
75,911
75,335
75,195
75,317
75,588
76,505
76,696
76,142
76,623
76,214
77,756
77,542
77,421
77,22
77,283
77,297
78,819
78,59
78,695
78,519
78,118
79,629
79,381
79,49
79,136
79,173
79,407
80,834
80,186
80,166
80,151
80,461
80,267
80,419
81,896
81,717
81,60
81,398
81,266
82,919
82,372
82,245
82,379
82,84
82,815
83,775
83,462
83,356
83,99
83,394
83,839
84,583
84,352
84,698
84,578
84,428
84,493
85,827
85,694
85,465
85,803
85,395
85,412
86,645
86,748
86,141
86,251
86,287
86,164
87,996
87,131
87,425
87,704
87,294
87,300
88,837
88,540
88,271
88,687
88,112
88,451
89,846
89,691
89,75
89,318
89,608
90,671
90,473
90,87
90,719
90,211
91,511
91,661
91,111
91,232
91,566
92,759
92,261
92,767
92,570
93,950
93,171
93,314
93,617
93,236
93,464
94,527
94,743
94,680
94,18
94,85
95,968
95,38
95,2
95,371
95,1
95,614
96,990
96,686
96,655
96,240
96,324
96,222
97,833
97,769
97,415
97,945
98,909
98,207
98,364
98,276
98,979
99,997
99,53
99,599
99,169
99,231
100,504
100,269
100,355
100,120
100,646
100,721
101,648
101,97
101,643
101,177
101,559
102,653
102,551
102,477
102,143
102,770
102,726
103,649
103,4
103,43
103,774
103,241
103,158
104,755
104,443
104,25
104,458
104,797
104,325
104,31
105,627
105,74
105,679
105,215
105,378
105,347
106,771
106,291
106,50
106,104
106,332
106,530
106,475
107,574
107,529
107,497
107,652
107,40
107,304
108,924
108,520
108,12
108,354
108,452
108,23
109,992
109,183
109,26
109,585
109,242
109,547
110,948
110,280
110,494
110,255
110,431
110,727
111,918
111,13
111,376
111,486
111,625
111,482
112,531
112,811
112,469
112,780
112,275
112,495
113,882
113,147
113,651
113,79
113,76
113,220
114,758
114,225
114,610
114,132
114,565
115,958
115,11
115,157
115,327
115,765
115,125
116,795
116,660
116,48
116,260
116,831
116,485
117,692
117,367
117,796
117,762
117,806
117,113
118,991
118,86
118,91
118,699
118,103
118,227
119,925
119,156
119,334
119,170
119,684
120,537
120,455
120,409
120,772
120,459
120,205
121,895
121,288
121,977
121,35
121,476
122,844
122,223
122,119
122,7
122,312
122,122
122,30
123,902
123,397
123,548
123,302
123,560
123,380
124,747
124,792
124,110
124,200
124,472
124,689
125,553
125,349
125,441
125,892
125,41
126,509
126,184
126,420
126,154
126,984
127,620
127,19
127,841
127,286
127,510
127,399
128,953
128,377
128,279
128,263
128,641
128,463
129,946
129,491
129,100
129,389
129,345
129,467
130,563
130,808
130,564
130,190
130,180
130,449
131,849
131,178
131,403
131,750
131,637
131,471
132,733
132,311
132,549
132,270
132,568
132,262
133,764
133,528
133,522
133,256
133,51
134,921
134,168
134,24
134,557
134,414
134,320
135,663
135,621
135,435
135,791
135,682
136,913
136,55
136,313
136,322
136,734
137,850
137,167
137,69
137,392
137,804
137,706
138,712
138,426
138,782
138,701
138,492
138,212
139,842
139,39
139,105
139,258
139,107
139,128
250,893
250,681
250,847
250,400
250,160
251,963
251,822
251,829
251,64
251,592
252,915
252,693
252,368
252,524
252,44
252,824
253,855
253,786
253,577
253,554
253,784
254,975
254,763
254,63
254,500
254,95
254,928
255,856
255,81
255,36
255,887
255,361
255,878
256,933
256,951
256,239
256,873
256,934
256,234
257,868
257,932
257,591
257,971
257,544
257,731
258,947
258,126
258,243
258,976
258,708
258,927
258,244
259,894
259,752
259,922
259,818
259,346
259,857
259,89
260,949
260,265
260,203
260,615
260,673
260,640
260,872
260,741
261,898
261,638
261,633
261,840
261,900
261,793
261,365
262,954
262,607
262,802
262,875
262,908
262,943
263,988
263,45
263,800
263,783
263,904
263,790
263,539
263,532
264,876
264,838
264,967
264,351
264,753
264,558
264,705
265,923
265,942
265,867
265,880
265,826
265,159
265,230
266,973
266,77
266,962
266,124
266,941
266,781
266,914
267,905
267,310
267,619
267,373
267,835
267,937
267,955
267,133
268,989
268,639
268,969
268,669
268,828
268,889
269,935
269,899
269,999
269,789
269,196
269,917
269,594
270,938
270,853
270,874
270,611
270,250
270,871
270,805
271,883
271,851
271,728
271,636
271,860
271,700
272,881
272,964
272,71
272,683
272,624
272,940
272,787
273,910
273,597
273,555
273,571
273,512
273,116
273,754
273,879
274,966
274,117
274,861
274,264
274,936
274,978
274,66
275,944
275,930
275,306
275,907
275,866
275,987
276,952
276,582
276,972
276,385
276,863
276,891
277,901
277,929
277,654
277,723
277,576
277,501
277,739
277,281
278,956
278,974
278,888
278,657
278,688
278,903
279,865
279,518
279,812
279,897
279,572
279,884
279,606
280,957
280,632
280,716
280,612
280,711
280,722
280,906
281,995
281,986
281,506
281,926
281,589
281,820
281,366
282,959
282,862
282,870
282,32
282,573
282,675
282,121
282,442
282,101
