bin,item
0,89
0,458
1,88
1,42
2,416
2,119
3,318
3,198
4,72
4,96
4,90
5,46
5,150
5,94
6,182
6,75
7,265
7,126
8,91
8,174
8,452
9,378
9,397
9,133
10,51
10,462
10,356
11,314
11,303
11,173
12,36
12,383
12,30
13,339
13,456
14,449
14,262
14,344
15,403
15,305
15,497
16,359
16,348
16,109
17,445
17,422
17,437
18,395
18,181
18,337
19,345
19,219
19,223
20,165
20,149
20,66
21,111
21,400
21,92
22,189
22,218
22,114
23,187
23,77
23,329
24,618
24,196
24,283
25,122
25,326
25,323
26,280
26,105
26,208
27,286
27,254
27,160
28,349
28,472
28,384
29,315
29,12
29,14
30,365
30,346
30,475
31,421
31,132
31,394
32,59
32,206
32,393
33,469
33,118
33,242
34,140
34,231
34,653
35,807
35,272
35,240
36,485
36,9
36,57
37,737
37,488
37,67
38,43
38,81
38,309
38,244
39,651
39,106
39,295
40,155
40,428
40,461
41,33
41,48
41,716
42,335
42,0
42,560
43,776
43,482
43,239
44,578
44,300
44,201
45,848
45,99
45,342
46,162
46,104
46,49
47,611
47,299
47,103
48,519
48,481
48,63
49,399
49,811
49,157
50,351
50,279
50,685
51,137
51,322
51,411
51,271
52,842
52,211
52,203
53,245
53,226
53,233
54,757
54,194
54,141
55,780
55,25
55,446
56,641
56,65
56,281
56,84
57,216
57,282
57,637
58,251
58,170
58,554
59,629
59,401
59,380
60,255
60,176
60,153
61,609
61,257
61,229
62,577
62,468
62,17
63,678
63,238
63,117
64,711
64,110
64,336
65,534
65,367
65,476
66,370
66,200
66,825
67,810
67,161
68,490
68,331
68,15
68,463
69,5
69,466
69,128
69,45
70,548
70,828
70,64
71,610
71,148
71,188
71,158
72,621
72,310
72,443
73,635
73,550
73,129
74,538
74,477
74,93
74,434
75,676
75,184
75,402
76,981
76,177
76,58
77,703
77,509
77,454
78,306
78,289
78,100
78,473
79,984
79,332
79,115
79,1
80,547
80,192
80,442
80,204
81,796
81,131
81,470
82,684
82,222
82,304
82,34
83,527
83,467
83,220
84,787
84,480
84,819
85,744
85,499
85,800
86,982
86,424
86,325
87,642
87,372
87,13
87,175
88,869
88,53
88,78
89,710
89,230
89,138
89,252
90,166
90,124
90,543
91,798
91,62
91,307
92,897
92,23
92,804
93,839
93,429
93,687
94,524
94,224
94,60
94,290
95,506
95,502
95,364
95,261
96,617
96,308
96,844
96,55
97,778
97,338
97,180
97,391
97,29
98,813
98,414
98,237
98,214
99,507
99,763
99,108
99,6
100,589
100,708
100,236
101,837
101,546
101,268
102,878
102,408
102,10
102,457
103,728
103,574
103,258
104,782
104,441
104,215
104,567
105,659
105,531
105,736
106,843
106,313
106,670
107,570
107,276
107,362
107,790
108,760
108,600
108,799
109,501
109,142
109,675
110,594
110,40
110,417
110,135
111,513
111,541
111,681
112,793
112,341
112,624
112,87
113,622
113,134
113,726
114,964
114,352
114,426
114,803
115,820
115,4
115,317
115,505
116,832
116,607
116,754
117,998
117,354
117,320
117,405
118,568
118,699
118,762
119,555
119,729
119,647
120,812
120,691
120,735
120,288
121,821
121,387
121,785
122,987
122,373
122,448
122,625
123,616
123,704
123,191
124,712
124,247
124,263
124,575
125,597
125,774
125,695
125,69
126,605
126,361
126,662
126,707
127,705
127,674
127,113
127,168
128,818
128,101
128,47
128,603
129,942
129,267
129,791
130,783
130,169
130,841
130,297
131,948
131,433
131,739
132,777
132,389
132,274
132,742
133,808
133,526
133,845
133,102
134,938
134,655
134,185
134,54
135,917
135,801
135,284
135,324
136,868
136,557
136,745
137,924
137,632
137,521
138,967
138,805
138,80
138,919
139,312
139,11
139,444
140,418
140,8
140,120
141,311
141,167
141,479
142,107
142,321
142,123
143,76
143,151
143,154
144,851
144,74
144,357
144,228
145,786
145,259
145,806
146,544
146,371
146,20
146,159
147,816
147,494
147,273
147,369
148,690
148,225
148,270
