volume,class_1,class_2,class_3,class_4
4.03,62,62,30,91
4.77,54,48,31,30
3.37,49,51,35,3
2.28,22,20,46,47
3.5,4,24,57,70
1.14,26,76,13,88
2.01,12,6,2,26
2.94,43,79,34,25
2.21,11,65,52,77
3.89,74,52,16,64
4.72,65,19,60,2
4.63,33,10,59,11
1.34,26,37,18,46
2.08,14,54,13,77
4.89,20,34,39,11
2.04,77,21,37,47
4.2,37,6,51,69
4.19,29,27,24,59
3.57,1,49,8,80
3.67,22,72,47,82
1.94,33,43,41,44
1.09,38,2,20,90
1.52,37,27,43,12
1.49,15,16,29,35
2.82,72,19,13,14
2.91,23,34,20,76
3.67,18,59,30,2
4.2,49,20,42,89
2.68,52,76,22,30
1.46,2,62,56,4
2.02,24,74,17,16
2.96,46,27,47,36
1.34,51,44,17,48
3.87,19,10,5,9
2.32,77,11,8,7
3.44,48,18,37,69
3.39,20,60,52,71
4.3,31,11,6,88
4.55,77,28,10,15
4.4,19,7,25,12
3.11,69,67,39,60
2.84,52,34,0,44
1.1,18,38,44,50
4.74,80,3,9,64
2.35,1,42,57,7
1.53,14,2,27,71
1.79,73,44,48,12
2.44,23,30,38,61
1.93,58,25,38,48
1.61,70,16,14,61
2.71,65,56,17,21
4.17,55,5,52,16
3.92,23,2,19,51
1.1,67,79,57,35
2.01,16,39,58,64
4.67,66,79,33,20
4.74,56,25,44,65
2.24,21,26,18,42
4.07,43,8,23,96
1.18,72,52,22,83
4.63,17,35,45,26
1.69,48,23,16,70
2.35,27,67,12,89
2.51,26,2,60,51
3.16,18,48,53,71
3.02,75,71,52,50
1.51,29,74,29,47
1.41,40,74,16,74
1.56,16,17,54,26
1.33,4,41,39,53
1.89,25,77,44,7
3.87,36,49,36,60
3.94,25,35,19,56
3.96,4,31,13,6
1.55,35,21,49,46
4.64,19,42,39,30
2.4,62,40,28,7
1.62,31,68,2,33
1.36,62,55,2,50
1.52,68,75,56,88
4.27,49,23,43,29
3.5,29,15,25,51
2.69,51,16,53,12
2.85,44,72,24,34
2.88,1,49,45,89
3.1,62,39,23,34
1.18,69,51,28,53
3.67,56,59,1,86
3.08,47,14,39,64
1.3,21,81,1,60
1.13,37,32,51,12
3.95,36,61,19,81
3.18,79,57,23,95
1.5,31,69,31,44
2.48,9,16,14,54
3.56,42,55,24,14
2.23,38,74,51,7
3.01,62,11,24,39
1.81,6,9,18,26
3.54,51,34,49,29
3.75,58,81,49,24
1.89,15,64,27,85
1.27,10,66,27,26
1.69,68,30,46,85
1.12,50,65,37,42
3.14,3,39,55,13
4.9,2,4,28,52
2.46,79,26,50,74
2.91,79,11,59,5
3.67,36,54,41,43
4.87,76,30,16,87
1.84,7,4,25,4
2.25,72,67,21,81
3.7,26,63,12,46
2.3,23,48,28,40
2.76,43,48,7,19
1.42,69,64,11,12
4.99,21,27,53,84
3.57,54,54,19,6
4.44,44,18,34,56
2.74,6,52,17,32
2.08,56,4,24,25
2.15,55,60,56,54
3.9,52,71,58,75
4.29,43,10,21,19
4.69,20,43,50,50
1.1,42,68,5,44
3.12,28,33,28,60
3.35,73,72,31,10
3.95,18,66,31,47
4.46,50,73,27,89
3.07,36,46,45,64
4.64,78,34,59,0
2.95,2,80,55,69
4.62,29,73,41,86
4.05,47,13,54,42
1.87,35,52,42,33
2.09,15,18,55,85
3.03,51,12,57,69
3.23,4,16,40,56
4.78,62,53,47,13
1.32,73,48,49,46
3.42,11,24,10,12
3.47,25,10,56,64
2.71,14,18,20,18
3.33,61,13,8,78
2.53,81,4,5,32
1.29,22,51,7,53
2.03,71,24,35,57
2.92,43,45,58,22
3.09,69,40,31,76
2.25,62,23,12,15
2.99,80,28,41,35
1.32,47,2,35,42
4.34,31,58,47,57
2.4,30,73,34,72
3.72,1,54,8,37
3.07,0,12,12,3
4.66,29,32,33,7
4.65,56,57,51,21
2.15,1,14,13,68
2.24,76,33,35,91
1.78,50,63,53,42
3.11,48,22,20,13
1.83,45,23,48,41
1.53,44,30,18,17
4.52,20,57,53,7
2.44,58,22,11,63
3.39,4,26,34,24
4.69,34,59,42,65
2.9,60,65,2,7
2.43,58,76,41,78
3.49,56,23,40,8
3.19,76,27,58,71
3.9,69,2,11,91
4.58,42,75,6,84
1.69,35,17,0,81
3.65,13,1,43,62
4.98,69,12,32,80
3.5,65,9,24,16
2.61,64,36,46,34
1.54,18,80,33,60
4.0,52,69,50,57
4.37,60,61,5,26
3.79,31,25,14,44
4.95,69,56,35,88
4.39,11,8,7,38
2.84,60,29,2,77
1.79,6,13,17,94
3.25,57,11,31,87
3.69,20,71,14,13
1.59,44,64,1,41
4.61,43,62,37,34
1.32,14,68,48,34
1.56,49,19,30,75
2.65,49,38,52,90
1.44,49,9,2,82
2.1,17,81,49,12
2.68,42,12,37,35
2.22,30,3,33,10
4.99,24,62,11,71
2.02,56,66,8,56
4.15,26,34,30,37
4.52,47,57,13,67
4.25,58,49,58,78
2.1,33,12,16,40
2.48,68,59,44,17
4.53,19,67,28,41
4.21,22,75,33,28
2.75,21,75,32,23
2.92,35,42,53,28
1.54,34,13,9,56
1.22,48,7,21,37
3.15,57,20,55,51
2.3,63,22,1,0
