volume,class_1,class_2,class_3,class_4
17.3252,0,5,6,5
32.5157,4,10,10,0
2.6988,9,6,6,6
19.3138,5,4,5,7
32.2401,3,10,9,8
14.4682,2,0,5,10
18.5353,1,8,2,8
8.8977,10,10,7,5
0.6292,1,9,0,7
19.8674,3,6,10,2
38.6654,6,3,1,3
4.2847,5,5,10,3
4.0045,10,7,7,5
5.8688,7,10,10,3
11.3896,6,7,6,8
0.5828,1,9,7,4
16.9638,2,2,0,6
14.0776,6,1,0,10
7.2151,1,2,7,6
10.9435,10,8,4,2
16.6206,2,8,1,4
17.4679,0,7,6,10
8.39,3,8,6,0
2.0695,8,3,6,2
8.0378,10,2,5,10
23.1691,3,1,8,8
15.8248,2,2,6,9
18.2943,0,8,3,6
23.5771,3,0,8,3
17.8514,8,9,10,8
5.8086,1,3,6,7
1.4387,1,9,10,0
8.7676,6,1,8,1
6.1968,10,7,0,8
17.999000000000002,3,0,0,4
1.204,7,4,6,2
2.5097,9,2,8,5
3.9502,8,10,7,8
8.8902,6,8,2,6
3.1864,6,3,7,4
6.6855,5,2,4,9
2.2695,4,2,9,1
6.2022,5,5,2,4
13.1474,4,4,5,6
5.8231,4,9,7,0
14.6573,2,2,4,3
17.177,3,1,9,8
5.9691,9,3,8,6
8.908,3,9,2,8
5.8443,7,6,3,1
14.4353,10,1,2,10
4.6855,0,0,6,6
1.4161,6,10,2,9
3.5416,9,2,10,8
3.3275,8,1,3,6
13.8279,2,4,3,10
10.2389,6,5,2,3
23.2564,4,2,5,7
11.1688,8,4,1,8
33.5701,4,3,7,0
4.9218,4,9,9,1
0.4942,9,5,7,4
31.104,9,0,0,5
30.7826,2,2,10,1
36.9868,1,6,10,9
1.0909,3,3,8,8
2.1783,6,1,3,6
20.4989,10,8,2,9
30.6469,4,0,1,3
0.2419,9,6,10,7
6.2636,8,9,3,4
7.6486,0,10,2,10
18.6996,10,8,8,3
5.9727,6,4,10,6
9.4424,6,4,7,1
9.2699,10,2,2,8
29.5067,0,7,0,7
4.5694,3,6,8,5
26.2841,3,1,1,10
2.3129,0,6,7,3
3.239,2,9,8,3
2.1225,8,6,8,5
24.1709,3,3,5,10
5.3,9,1,5,0
6.8396,7,0,9,2
19.9334,2,4,7,0
14.8033,9,8,1,9
4.6225,6,1,6,8
4.3523,9,10,4,6
14.4938,4,5,7,0
9.5808,8,7,0,6
24.6596,4,9,5,2
25.8042,9,9,8,4
1.1887,1,9,5,6
21.0025,6,8,0,9
2.8947,9,1,0,9
8.8597,8,0,1,5
19.373,5,5,8,0
16.5633,10,5,9,1
2.2865,7,10,1,8
