volume,class_1,class_2
11.335,7,10
4.9434,5,4
4.6,2,8
6.1081,3,4
6.5526,3,3
9.5539,5,1
2.9596,4,1
4.3961,7,1
23.3801,10,9
25.1606,10,5
5.162000000000001,3,6
14.487,4,0
2.9574,5,2
3.4411,5,9
18.7015,4,3
12.7507,5,1
15.8163,8,9
7.2397,9,9
3.7616,1,3
17.5884,3,0
10.6681,3,6
31.8829,1,4
1.4292,8,1
13.4466,1,0
10.136000000000001,10,0
7.8137,4,5
9.4087,7,7
5.3436,2,1
15.8051,8,5
20.9729,1,8
7.2067,10,2
13.3965,2,2
33.6923,2,5
16.8206,4,1
5.0749,8,9
17.2656,4,2
22.4778,3,2
13.347000000000001,8,0
32.1968,5,9
8.379,10,8
8.829,3,2
10.4756,4,6
3.7028,8,2
14.3116,0,10
1.1583,3,4
23.2681,1,10
12.3408,7,6
32.8901,8,4
15.6226,8,7
13.699000000000002,8,7
10.8722,0,6
19.7657,5,2
10.6733,4,7
20.7556,0,10
14.7081,6,9
14.1846,0,0
21.2173,5,9
18.2763,2,9
29.2982,2,2
7.8071,4,4
4.3747,6,9
9.8426,6,2
12.5187,9,1
2.1865,3,7
17.0981,0,2
11.3391,8,5
5.52,8,10
3.8548,7,10
9.9596,10,3
6.0183,3,5
33.0733,7,10
9.92,7,3
2.23,6,5
9.5237,8,9
1.2356,10,4
26.6087,10,3
1.0159,0,1
9.738999999999999,8,10
5.4304,5,2
14.9803,8,3
25.1722,4,4
37.9497,4,8
0.2487,5,2
2.8604,7,9
31.629,1,1
0.7209,9,8
11.1738,9,6
12.7656,2,2
8.3909,4,6
4.7895,3,9
11.0495,0,7
13.82,10,6
15.5311,10,5
14.8517,6,8
28.4098,2,8
8.3712,0,8
21.9022,1,4
9.6362,10,1
18.9702,4,1
4.7158,2,9
